Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
258881413025881;856.8463;
258881453020151;856.8463;
258881493019370;856.8400;
258881533013901;856.8275;
258881573003381;856.8212;
258881612994943;856.8175;
258881652994943;856.8175;
258881693016818;856.8137;
258881733021193;856.8050;
258881773027235;856.8050;
258881812995672;856.8025;
258881853019110;856.8012;
258881893017860;856.8087;
258881933022756;856.8100;
258881973001818;856.8000;
258882012995776;856.7962;
258882053002860;856.7975;
258882092994839;856.7962;
258882132995568;856.7937;
258882173016297;856.7913;
258882213020151;856.7962;
258882253024631;856.8012;
258882293025151;856.8025;
258882333022547;856.7975;
258882373023537;856.8000;
258882413023068;856.7937;
258882453022547;856.8012;
258882492997756;856.8012;
258882532999735;856.8025;
258882573002026;856.8037;
258882613032131;856.7975;
258882653018068;856.7925;
258882693016818;856.7925;
258882733019943;856.7913;
258882773020985;856.7888;
258882813017860;856.7925;
258882853025360;856.7925;
258882893020985;856.7888;
258882932998901;856.7937;
258882972998693;856.7950;
258883013004214;856.7987;
258883052997339;856.7962;
258883093020985;856.7987;
258883133022547;856.7975;
258883173019370;856.7950;
258883213018068;856.7950;
258883253024110;856.7962;
258883293022235;856.7962;
258883333020464;856.7987;
258883373018381;856.7937;
258883412996714;856.7950;
258883452996818;856.7925;
258883492995360;856.7937;
258883532996922;856.7937;
258883573019370;856.7888;
258883613019943;856.7863;
258883653023068;856.7850;
258883693018589;856.7900;
258883733022756;856.7975;
258883773023068;856.7913;
258883813019943;856.7888;
258883853019943;856.7913;
258883893005881;856.7925;
258883932995151;856.7937;
258883972999110;856.7925;
258884013020464;856.7937;
258884053019110;856.7937;
258884093023797;856.7925;
258884133023797;856.7950;
258884173025881;856.7925;
258884213026401;856.7825;
258884253022547;856.7850;
258884293017287;856.7900;
258884333034370;856.7913;
258884372999214;856.7900;
258884413004214;856.7950;
258884452995620;856.7962;
258884493025360;856.7900;
258884533018901;856.7863;
258884573018068;856.7913;
258884613023537;856.7950;
258884653018589;856.7950;
258884693023537;856.7987;
258884733022026;856.8012;
258884773019110;856.7987;
258884812996506;856.7962;
258884853004526;856.7987;
258884893005203;856.8075;
258884933018901;856.8125;
258884973028485;856.8125;
258885013019943;856.8100;
258885053018901;856.8062;
258885093024839;856.8100;
258885133020151;856.8087;
258885173021193;856.8100;
258885213027964;856.8062;
258885252996610;856.8075;
258885292997131;856.8100;
258885332994943;856.8075;
258885372994943;856.8100;
258885413023537;856.8087;
258885453032131;856.8075;
258885493022235;856.8037;
258885533020985;856.8037;
258885573019370;856.8000;
258885613024110;856.8025;
258885653018589;856.8000;
258885693024631;856.8075;
258885732996610;856.8137;
258885772995047;856.8150;
258885812994370;856.8125;
258885852993485;856.8050;
258885893021453;856.8087;
258885933019631;856.8100;
258885973044631;856.8062;
258886013022026;856.8012;
258886053029526;856.8025;
258886093022235;856.8000;
258886133029006;856.8012;
258886173012651;856.8000;
258886212996193;856.8037;
258886252997131;856.8062;
258886292995985;856.8050;
258886333022756;856.8012;
258886373023797;856.7962;
258886413023537;856.8012;
258886453019370;856.8000;
258886493022026;856.8025;
258886533019943;856.8025;
258886573023797;856.8037;
258886613021714;856.8012;
258886652995360;856.7975;
258886693004422;856.7962;
258886733004526;856.7900;
258886772994839;856.8025;
258886813021453;856.8050;
258886853022547;856.8125;
258886893022547;856.8012;
258886933019943;856.8012;
258886973025620;856.8012;
258887013023068;856.8025;
258887053022026;856.8025;
258887093020151;856.8000;
258887132995047;856.8037;
258887172997443;856.8050;
258887212994787;856.8075;
258887253019735;856.8062;
258887293023068;856.8087;
258887333020151;856.8037;
258887373026714;856.8012;
258887413017547;856.8000;
258887453028224;856.8025;
258887493024839;856.8012;
258887533026714;856.8062;
258887572999006;856.8062;
258887612994943;856.8050;
258887652997703;856.8062;
258887692994318;856.8025;
258887733024631;856.8100;
258887773021453;856.8112;
258887813024110;856.8100;
258887853022235;856.8112;
258887893024318;856.8137;
258887933019110;856.8075;
258887973024110;856.8075;
258888012992964;856.8100;
258888052995047;856.8100;
258888092997235;856.8150;
258888132995568;856.8087;
258888172993953;856.8050;
258888213020672;856.8037;
258888253025881;856.8037;
258888293023276;856.8000;
258888333025620;856.8012;
258888373027443;856.8037;
258888413022756;856.8050;
258888453021974;856.8075;
258888492994526;856.8075;
258888532996714;856.8087;
258888572995985;856.8112;
258888612996610;856.8137;
258888653026922;856.8100;
258888693020985;856.8100;
258888733023797;856.8100;
258888773020985;856.8100;
258888813024110;856.8125;
258888853021193;856.8112;
258888893019370;856.8162;
258888933023797;856.8062;
258888972996401;856.8050;
258889012995568;856.8025;
258889053000568;856.8037;
258889092997026;856.8062;
258889133019110;856.8037;
258889173025151;856.8087;
258889213025620;856.8125;
258889253019631;856.8025;
258889293021193;856.8012;
258889333021193;856.8012;
258889373024839;856.8025;
258889413024110;856.8012;
258889452995828;856.8000;
258889493012443;856.7975;
258889532996818;856.8050;
258889573012756;856.8100;
258889613019735;856.8025;
258889653021193;856.8012;
258889693021193;856.7975;
258889733023797;856.7962;
258889773020672;856.7925;
258889813028276;856.7863;
258889853027964;856.7975;
258889893012860;856.7962;
258889932998381;856.7987;
258889972991297;856.8037;
258890012997026;856.8012;
258890053023797;856.8000;
258890093021714;856.7950;
258890133022026;856.7937;
258890173023276;856.7937;
258890213023797;856.8037;
258890253025620;856.8050;
258890293021453;856.8012;
258890333018901;856.8087;
258890373010360;856.8125;
258890412994526;856.8112;
258890452993693;856.8062;
258890492994318;856.8050;
258890533021453;856.8025;
258890573022756;856.7975;
258890613021714;856.7825;
258890653024631;856.7838;
258890693023068;856.7875;
258890733025151;856.7913;
258890773020151;856.8012;
258890813013381;856.8012;
258890852995568;856.8012;
258890892999318;856.8050;
258890932996193;856.8025;
258890973046193;856.8012;
258891013025620;856.8000;
258891053020464;856.7950;
258891093023797;856.8000;
258891133021714;856.7962;
258891173018068;856.7975;
258891213025360;856.7975;
