Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
1179638394734804;869.0575;
1179638434710481;869.0625;
1179638474710742;869.0612;
1179638514713971;869.0562;
1179638554710481;869.0537;
1179638594710013;869.0487;
1179638634712304;869.0475;
1179638674711575;869.0500;
1179638714713138;869.0400;
1179638754713658;869.0338;
1179638794710013;869.0250;
1179638834713138;869.0262;
1179638874719388;869.0338;
1179638914719596;869.0350;
1179638954716992;869.0413;
1179638994715950;869.0450;
1179639034718346;869.0400;
1179639074719179;869.0363;
1179639114714179;869.0400;
1179639154718815;869.0450;
1179639194716054;869.0525;
1179639234687721;869.0500;
1179639274690533;869.0537;
1179639314686888;869.0487;
1179639354687929;869.0500;
1179639394714179;869.0487;
1179639434717304;869.0425;
1179639474715429;869.0462;
1179639514712929;869.0450;
1179639554711783;869.0450;
1179639594713138;869.0425;
1179639634706888;869.0400;
1179639674711054;869.0375;
1179639714709700;869.0375;
1179639754711888;869.0413;
1179639794711263;869.0475;
1179639834717096;869.0500;
1179639874715742;869.0450;
1179639914724075;869.0400;
1179639954719388;869.0413;
1179639994716054;869.0350;
1179640034713658;869.0413;
1179640074711054;869.0437;
1179640114714388;869.0425;
1179640154718867;869.0413;
1179640194712825;869.0425;
1179640234686158;869.0400;
1179640274689179;869.0500;
1179640314698346;869.0462;
1179640354695221;869.0388;
1179640394712304;869.0413;
1179640434709179;869.0425;
1179640474710221;869.0450;
1179640514710533;869.0437;
1179640554708398;869.0400;
1179640594711263;869.0363;
1179640634712096;869.0363;
1179640674714388;869.0325;
1179640714712096;869.0375;
1179640754714908;869.0375;
1179640794713867;869.0375;
1179640834720898;869.0425;
1179640874714388;869.0425;
1179640914722721;869.0425;
1179640954716731;869.0425;
1179640994716054;869.0450;
1179641034686367;869.0475;
1179641074716731;869.0413;
1179641114717825;869.0437;
1179641154718867;869.0462;
1179641194708971;869.0462;
1179641234680481;869.0425;
1179641274688138;869.0400;
1179641314688138;869.0425;
1179641354724596;869.0388;
1179641394707721;869.0437;
1179641434712304;869.0475;
1179641474710742;869.0487;
1179641514708971;869.0475;
1179641554703450;869.0500;
1179641594713138;869.0450;
1179641634713867;869.0525;
1179641674719596;869.0550;
1179641714720117;869.0562;
1179641754713138;869.0512;
1179641794714648;869.0487;
1179641834720221;869.0475;
1179641874716992;869.0500;
1179641914725429;869.0512;
1179641954714388;869.0512;
1179641994717825;869.0512;
1179642034714700;869.0525;
1179642074714908;869.0537;
1179642114712825;869.0537;
1179642154715950;869.0512;
1179642194688971;869.0512;
1179642234685065;869.0600;
1179642274687252;869.0587;
1179642314686158;869.0537;
1179642354711575;869.0575;
1179642394714700;869.0550;
1179642434712617;869.0487;
1179642474711315;869.0512;
1179642514708971;869.0475;
1179642554713138;869.0475;
1179642594711054;869.0500;
1179642634713138;869.0462;
1179642674720117;869.0462;
1179642714714648;869.0475;
1179642754714908;869.0425;
1179642794725638;869.0437;
1179642834713971;869.0475;
1179642874720117;869.0450;
1179642914724283;869.0487;
1179642954722981;869.0512;
1179642994722513;869.0487;
1179643034721992;869.0462;
1179643074719179;869.0450;
1179643114710013;869.0487;
1179643154717825;869.0525;
1179643194682408;869.0550;
1179643234689908;869.0575;
1179643274693763;869.0625;
1179643314701054;869.0612;
1179643354715742;869.0650;
1179643394719075;869.0625;
1179643434714908;869.0625;
1179643474713971;869.0637;
1179643514721471;869.0612;
1179643554716471;869.0612;
1179643594715742;869.0650;
1179643634709179;869.0700;
1179643674718815;869.0687;
1179643714715950;869.0687;
1179643754719908;869.0750;
1179643794724075;869.0737;
1179643834696158;869.0737;
1179643874710742;869.0737;
1179643914729231;869.0825;
1179643954713658;869.0787;
1179643994720898;869.0775;
1179644034723346;869.0800;
1179644074720429;869.0825;
1179644114710273;869.0850;
1179644154715950;869.0912;
1179644194690429;869.0887;
1179644234681992;869.0900;
1179644274686471;869.0925;
1179644314684804;869.0988;
1179644354721471;869.0887;
1179644394717513;869.0887;
1179644434714648;869.0887;
1179644474716731;869.1013;
1179644514715950;869.0862;
1179644554714492;869.0787;
1179644594711575;869.0737;
1179644634709492;869.0762;
1179644674718033;869.0812;
1179644714705273;869.0825;
1179644754719388;869.0837;
1179644794725638;869.0850;
1179644834719596;869.0862;
1179644874716731;869.0887;
1179644914715742;869.0912;
1179644954721158;869.1000;
1179644994719596;869.1062;
1179645034720221;869.1038;
1179645074717304;869.1125;
1179645114713346;869.1075;
1179645154715950;869.1025;
1179645194689596;869.1062;
1179645234685846;869.1075;
1179645274677721;869.1062;
1179645314685846;869.1137;
1179645354713658;869.1100;
1179645394712617;869.1112;
1179645434717617;869.1137;
1179645474710481;869.1112;
1179645514709700;869.1162;
1179645554712096;869.1087;
1179645594714179;869.1025;
1179645634710221;869.1025;
1179645674720898;869.1100;
1179645714716054;869.1062;
1179645754715950;869.1125;
1179645794718554;869.1137;
1179645834719908;869.1062;
1179645874717096;869.1087;
1179645914729804;869.1125;
1179645954723554;869.1150;
1179645994721992;869.1137;
1179646034717825;869.1137;
1179646074718815;869.1075;
1179646114721731;869.1100;
1179646154687617;869.1100;
1179646194693242;869.1150;
1179646234688763;869.1100;
1179646274678867;869.1162;
1179646314685065;869.1162;
1179646354709700;869.1125;
1179646394718658;869.1062;
1179646434713138;869.1162;
1179646474714908;869.1112;
1179646514708658;869.1175;
1179646554712565;869.1150;
1179646594711888;869.1187;
1179646634710481;869.1100;
1179646674720638;869.1112;
1179646714713658;869.1150;
1179646754714179;869.1100;
1179646794720742;869.1125;
1179646834714179;869.1137;
1179646874715950;869.1162;
1179646914714440;869.1175;
1179646954715221;869.1212;
1179646994724283;869.1200;
1179647034714231;869.1162;
1179647074716263;869.1212;
1179647114711523;869.1137;
1179647154686471;869.1137;
1179647194692148;869.1162;
1179647234687825;869.1175;
1179647274685065;869.1262;
1179647314726679;869.1287;
1179647354711054;869.1337;
1179647394716471;869.1350;
1179647434713971;869.1325;
1179647474708658;869.1325;
1179647514709752;869.1312;
1179647554712304;869.1300;
1179647594712565;869.1312;
1179647634712304;869.1312;
1179647674716783;869.1350;
1179647714707148;869.1337;
1179647754713658;869.1350;
1179647794716263;869.1325;
1179647834712408;869.1387;
1179647874720898;869.1325;
1179647914721471;869.1337;
