Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
974099779310171;26.5350;-8.2594;3.7942;
974099789310171;26.5350;-8.2594;3.7942;
974099800877046;23.6680;-8.0154;2.2692;
974099810877046;23.6436;-7.9422;2.1838;
974099820877046;23.6070;-7.9422;2.2326;
974099830877046;23.5948;-7.9056;2.2692;
974099840877046;23.5216;-7.9300;2.4156;
974099850877046;23.3874;-7.9666;2.5254;
974099860877046;23.2044;-7.9544;2.6718;
974099870877046;23.1068;-7.9666;2.7328;
974099880877046;23.3142;-7.9300;2.5620;
974099890877046;23.3752;-7.9788;2.4766;
974099900877046;23.3996;-7.9666;2.3668;
974099910877046;23.4118;-7.9788;2.2814;
974099920877046;23.4728;-7.9544;2.1228;
974099930877046;23.6070;-7.9422;1.9764;
974099940877046;23.6192;-7.9300;1.9276;
974099950877046;23.4850;-7.9056;2.0008;
974099960877046;23.2410;-8.0032;2.1838;
974099970877046;23.0458;-7.9910;2.4034;
974099980877046;22.9482;-7.9910;2.5498;
974099990877046;22.8384;-8.0032;2.6108;
974100000877046;22.6920;-7.9910;2.7694;
974100010877046;22.5944;-8.0154;2.9036;
974100020877046;22.6066;-8.0032;2.8914;
974100030877046;22.7408;-7.9788;2.8426;
974100040877046;22.9360;-7.9666;2.7694;
974100050877046;23.0580;-7.9422;2.6230;
974100060877046;23.2166;-7.9422;2.4644;
974100070877046;23.3996;-7.8934;2.3302;
974100080877046;23.6558;-7.8934;2.0740;
974100090877046;23.7900;-7.8568;1.8788;
974100100877046;23.9120;-7.8446;1.7812;
974100110877046;24.0218;-7.8324;1.5738;
974100120877046;24.0096;-7.7348;1.5250;
974100130877046;24.0218;-7.7226;1.5982;
974100140877046;23.9730;-7.7226;1.6470;
974100150877046;23.8754;-7.7470;1.7324;
974100160877046;23.6680;-7.7470;1.9886;
974100170877046;23.4850;-7.7470;2.2204;
974100180877046;23.3874;-7.7958;2.3546;
974100190877046;23.1800;-7.8568;2.6596;
974100200877046;23.0458;-7.9178;2.7816;
974100210877046;22.9970;-7.9544;2.8548;
974100220877046;22.7774;-7.9788;3.1598;
974100230877046;22.6676;-8.0154;3.3550;
974100240877046;22.6432;-8.0520;3.3794;
974100250877046;22.6310;-8.0642;3.4404;
974100260877046;22.6310;-8.0154;3.4648;
974100270877046;22.6432;-8.0032;3.5258;
974100280877046;22.7164;-8.0154;3.4770;
974100290877046;22.8384;-8.0032;3.3550;
974100300877046;22.9970;-7.9544;3.1110;
974100310877046;23.1434;-7.9544;2.9768;
974100320877046;23.3630;-7.9056;2.7450;
974100330877046;23.6070;-7.9056;2.5010;
974100340877046;23.7412;-7.9544;2.3912;
974100350877046;23.8754;-7.9788;2.1716;
974100360877046;23.8754;-8.0276;2.2692;
974100370877046;23.8754;-8.0642;2.2814;
974100380877046;23.9242;-8.1130;2.2936;
974100390877046;23.9486;-8.1008;2.3058;
974100400877046;23.9364;-8.1984;2.3546;
974100410877046;23.9364;-8.2350;2.3790;
974100420877046;23.8876;-8.2350;2.4522;
974100430877046;23.7656;-8.2350;2.6718;
974100440877046;23.7046;-8.2594;2.7816;
974100450877046;23.4972;-8.3082;3.0744;
974100460877046;23.3020;-8.3936;3.3672;
974100470877046;23.1068;-8.5156;3.6234;
974100480877046;22.8506;-8.5888;3.9528;
974100490877046;22.6066;-8.6498;4.3554;
974100500877046;22.3748;-8.7596;4.6238;
974100510877046;22.3260;-8.9182;4.6726;
974100520877046;22.2650;-9.0036;4.7092;
974100530877046;22.3260;-9.1012;4.6482;
974100540877046;22.4968;-9.1988;4.5262;
974100550877046;22.6554;-9.2598;4.3920;
974100560877046;22.8140;-9.3696;4.2822;
974100570877046;22.9116;-9.4916;4.0748;
974100580877046;23.0458;-9.6624;3.9650;
974100590877046;23.0458;-9.6990;4.0260;
974100600877046;22.9604;-9.7600;4.1724;
974100610877046;22.8506;-9.8576;4.3676;
974100620877046;22.7164;-9.9796;4.4652;
974100630877046;22.5822;-10.1260;4.6238;
974100640877046;22.4358;-10.2236;4.7336;
974100650877046;22.3260;-10.3456;4.9166;
974100660877046;22.2650;-10.3822;4.9532;
974100670877046;22.2528;-10.5286;4.8190;
974100680877046;22.3382;-10.6506;4.6970;
974100690877046;22.2284;-10.7848;4.8190;
974100700877046;22.0332;-10.8458;5.0630;
974100710877046;21.7892;-10.9922;5.3070;
974100720877046;21.7282;-11.1264;5.4290;
974100730877046;21.5452;-11.1996;5.6974;
974100740877046;21.3012;-11.3338;6.0268;
974100750877046;20.9596;-11.4314;6.5270;
974100760877046;20.6424;-11.5778;6.9052;
974100770877046;20.5448;-11.6510;6.9418;
974100780877046;20.5448;-11.7242;7.0028;
974100790877046;20.6424;-11.7730;6.8930;
974100800877046;20.5570;-11.7852;6.9540;
974100810877046;20.5570;-11.8706;6.7954;
974100820877046;20.6912;-11.9682;6.6246;
974100830877046;20.9962;-12.0170;6.2952;
974100840877046;21.2280;-12.0902;5.9780;
974100850877046;21.3378;-12.2122;5.9170;
974100860877046;21.4476;-12.2976;5.6974;
974100870877046;21.5086;-12.3830;5.5632;
974100880877046;21.5818;-12.4684;5.4656;
974100890877046;21.6184;-12.5538;5.5144;
974100900877046;21.6306;-12.6026;5.3558;
974100910877046;21.5696;-12.6514;5.3314;
974100920877046;21.5208;-12.6636;5.3070;
974100930877046;21.6184;-12.6880;5.1850;
974100940877046;21.6550;-12.6758;5.1850;
974100950877046;21.5574;-12.7002;5.2460;
974100960877046;21.5940;-12.7246;5.2582;
974100970877046;21.7770;-12.7734;4.9654;
974100980877046;21.9112;-12.7734;4.8800;
974100990877046;22.0210;-12.8466;4.7092;
974101000877046;22.0210;-12.9320;4.7336;
974101010877046;21.9722;-12.9564;4.6604;
974101020877046;21.9600;-13.0540;4.5506;
974101030877046;22.0820;-13.1272;4.3676;
974101040877046;22.1674;-13.1638;4.1602;
974101050877046;22.1186;-13.2004;4.1480;
974101060877046;21.9478;-13.2736;4.3188;
974101070877046;21.8014;-13.3102;4.4652;
974101080877046;21.7282;-13.3468;4.4774;
974101090877046;21.6550;-13.3956;4.5018;
974101100877046;21.5818;-13.4322;4.5872;
974101110877046;21.4476;-13.5054;4.6848;
974101120877046;21.4476;-13.5908;4.6604;
974101130877046;21.3256;-13.6762;4.8312;
974101140877046;21.2646;-13.7372;4.8678;
974101150877046;21.2158;-13.7494;4.9410;
974101160877046;21.2402;-13.7860;4.9044;
974101170877046;21.3012;-13.8104;4.8434;
974101180877046;21.3500;-13.9080;4.7092;
974101190877046;21.4232;-13.9080;4.5994;
974101200877046;21.3988;-13.9202;4.6116;
974101210877046;21.5208;-13.9324;4.4286;
974101220877046;21.5818;-13.9568;4.3676;
974101230877046;21.6062;-14.0544;4.2700;
974101240877046;21.5818;-14.1276;4.3310;
974101250877046;21.4354;-14.1764;4.5384;
974101260877046;21.2280;-14.2252;4.8312;
974101270877046;21.0328;-14.3228;5.0996;
974101280877046;20.8010;-14.3960;5.3314;
974101290877046;20.5814;-14.4570;5.5632;
974101300877046;20.4838;-14.4692;5.7096;
974101310877046;20.3618;-14.4936;5.8560;
974101320877046;20.2032;-14.5302;6.0268;
974101330877046;20.1056;-14.6278;6.0390;
974101340877046;20.0812;-14.6278;6.0390;
974101350877046;20.0690;-14.6400;6.0756;
974101360877046;20.1056;-14.7254;6.0390;
974101370877046;20.1788;-14.7742;6.0146;
974101380877046;20.2032;-14.8596;5.9414;
974101390877046;20.2398;-14.9084;5.8926;
974101400877046;20.3374;-14.9694;5.6852;
974101410877046;20.6302;-14.9938;5.4290;
974101420877046;20.7766;-15.0670;5.2338;
974101430877046;20.9230;-15.1524;5.0752;
974101440877046;20.8864;-15.1768;5.0508;
974101450877046;21.0084;-15.2744;4.8068;
974101460877046;21.0450;-15.3354;4.7336;
974101470877046;21.0816;-15.4330;4.6238;
974101480877046;21.2280;-15.4940;4.4408;
974101490877046;21.2036;-15.5306;4.3920;
974101500877046;21.2280;-15.6160;4.3310;
974101510877046;21.2280;-15.6648;4.2456;
974101520877046;21.3134;-15.7380;4.0870;
974101530877046;21.1548;-15.7746;4.2212;
974101540877046;21.2280;-15.8478;4.0504;
974101550877046;21.2280;-15.8478;4.0504;
974101560877046;21.1182;-15.9332;4.1358;
974101570877046;21.0572;-15.9820;4.1846;
974101580877046;21.1670;-15.9820;4.0870;
974101590877046;21.0938;-16.0064;4.1602;
974101600877046;20.9596;-15.9576;4.3310;
974101610877046;20.8742;-15.9454;4.5262;
974101620877046;20.6180;-15.9698;4.8312;
974101630877046;20.5448;-15.9698;4.9776;
974101640877046;20.3984;-15.8966;5.2460;
974101650877046;20.1788;-15.9088;5.4778;
974101660877046;19.8494;-15.9210;5.8560;
974101670877046;19.6664;-15.8844;6.0634;
974101680877046;19.4956;-15.9332;6.3196;
974101690877046;19.4590;-15.9698;6.2464;
974101700877046;19.3736;-15.9576;6.3318;
974101710877046;19.1662;-16.0186;6.4294;
974101720877046;19.2150;-16.0430;6.2952;
974101730877046;19.2638;-16.0796;6.2708;
974101740877046;19.2028;-16.0674;6.2952;
974101750877046;19.2150;-16.0430;6.2220;
974101760877046;19.3370;-16.0064;6.1244;
974101770877046;19.2028;-15.9698;6.3196;
974101780877046;19.3858;-15.9454;6.1366;
974101790877046;19.6298;-15.8600;5.9536;
974101800877046;19.6786;-15.7990;5.9048;
974101810877046;19.8250;-15.7380;5.7828;
974101820877046;20.0446;-15.7014;5.5510;
974101830877046;20.1666;-15.6770;5.4656;
974101840877046;20.2520;-15.6648;5.2948;
974101850877046;20.5448;-15.6404;4.9898;
974101860877046;20.6546;-15.6282;4.8922;
974101870877046;20.7034;-15.6282;4.9044;
974101880877046;20.6180;-15.6038;5.0020;
974101890877046;20.5570;-15.6160;5.0752;
974101900877046;20.4838;-15.6038;5.1484;
974101910877046;20.4350;-15.5916;5.1362;
974101920877046;20.4350;-15.5794;5.1240;
974101930877046;20.3252;-15.5794;5.2216;
974101940877046;20.1910;-15.5306;5.2704;
974101950877046;20.0934;-15.4940;5.3436;
974101960877046;20.1788;-15.4696;5.3070;
974101970877046;20.1788;-15.3842;5.2948;
974101980877046;20.1788;-15.3354;5.3070;
974101990877046;20.1788;-15.2988;5.3680;
974102000877046;20.3130;-15.2500;5.2704;
974102010877046;20.4228;-15.1768;5.0996;
974102020877046;20.5448;-15.1402;4.9532;
974102030877046;20.6668;-15.1402;4.7946;
974102040877046;20.7766;-15.1158;4.5750;
974102050877046;20.9840;-15.1524;4.3554;
974102060877046;21.1304;-15.1646;4.1358;
974102070877046;21.3500;-15.2378;3.8186;
974102080877046;21.3378;-15.2378;3.7332;
974102090877046;21.3378;-15.2866;3.6722;
974102100877046;21.2768;-15.3720;3.7210;
974102110877046;21.2524;-15.3964;3.6234;
974102120877046;21.1426;-15.4818;3.7210;
974102130877046;20.9108;-15.5306;3.8796;
974102140877046;20.8010;-15.5672;4.0382;
974102150877046;20.6912;-15.6160;4.1846;
974102160877046;20.6424;-15.6770;4.2212;
