Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
5088085682753907;-9.4525;0.4974;-2.3997;
5088085692810834;-9.4669;0.5333;-2.4188;
5088085702998334;-9.4334;0.5429;-2.4236;
5088085713004844;-9.4573;0.5596;-2.4141;
5088085723196771;-9.4669;0.5740;-2.3686;
5088085733203282;-9.4478;0.5835;-2.3758;
5088085743371042;-9.4597;0.5955;-2.4212;
5088085753377552;-9.4669;0.6027;-2.4260;
5088085763619219;-9.4382;0.6147;-2.4212;
5088085773724584;-9.4286;0.6218;-2.3662;
5088085783826927;-9.4454;0.6410;-2.3686;
5088085793934584;-9.4454;0.6123;-2.3662;
5088085804032605;-9.4573;0.5859;-2.3495;
5088085814167605;-9.4765;0.5764;-2.3710;
5088085824219844;-9.4525;0.5453;-2.3853;
5088085834335782;-9.4669;0.5142;-2.3806;
5088085844440782;-9.4645;0.4612;-2.3853;
5088085854542865;-9.4454;0.4469;-2.4045;
5088085864645834;-9.4813;0.4660;-2.4045;
5088085874748594;-9.4741;0.4878;-2.3901;
5088085884855834;-9.4430;0.4902;-2.3686;
5088085894960000;-9.4525;0.4636;-2.3782;
5088085905066667;-9.4789;0.4759;-2.3590;
5088085915176407;-9.4884;0.4493;-2.3471;
5088085925275052;-9.4837;0.4636;-2.3518;
5088085935366146;-9.4645;0.4807;-2.3734;
5088085945482761;-9.4693;0.4711;-2.3782;
5088085955572084;-9.4502;0.4807;-2.3758;
5088085965680834;-9.4382;0.4759;-2.3447;
5088085975803959;-9.4693;0.5022;-2.3590;
5088085985895886;-9.4478;0.5333;-2.3830;
5088085995996250;-9.4430;0.5572;-2.3710;
5088086006099740;-9.4597;0.5883;-2.3901;
5088086016196250;-9.4430;0.5907;-2.4356;
5088086026315261;-9.4454;0.6218;-2.4165;
5088086036420990;-9.4382;0.6075;-2.3758;
5088086046508594;-9.4358;0.5620;-2.4260;
5088086056629011;-9.4095;0.5405;-2.4595;
5088086066741771;-9.4884;0.5907;-2.4547;
5088086076829011;-9.5100;0.5453;-2.4165;
5088086086931823;-9.4478;0.5046;-2.3925;
5088086097042917;-9.4573;0.4759;-2.4141;
5088086107140573;-9.4525;0.4397;-2.4404;
5088086117356250;-9.4214;0.3966;-2.4141;
5088086127379271;-9.4717;0.3942;-2.4093;
5088086137441667;-9.4932;0.4564;-2.5146;
5088086147538021;-9.4573;0.4854;-2.5217;
5088086157659427;-9.4143;0.4926;-2.4954;
5088086167815000;-9.4454;0.4759;-2.4236;
5088086177867136;-9.4837;0.4158;-2.3518;
5088086187972188;-9.4956;0.3296;-2.3375;
5088086198068542;-9.4813;0.3081;-2.4763;
5088086208190625;-9.4430;0.2722;-2.6201;
5088086218410625;-9.4167;0.2602;-2.6201;
5088086228422084;-9.4645;0.2985;-2.5217;
5088086238485157;-9.5148;0.3511;-2.3782;
5088086248588282;-9.4717;0.4445;-2.2941;
5088086258718125;-9.4334;0.6003;-2.3204;
5088086268818750;-9.4382;0.7370;-2.3830;
5088086278924792;-9.4214;0.8136;-2.5050;
5088086289016094;-9.3784;0.8614;-2.5385;
5088086299130782;-9.3927;0.8901;-2.5361;
5088086309236146;-9.3975;0.8973;-2.4547;
5088086319361459;-9.4143;0.8925;-2.3399;
5088086329435573;-9.4525;0.8614;-2.2415;
5088086339547865;-9.4765;0.8207;-2.2606;
5088086349652344;-9.4549;0.7585;-2.3085;
5088086359751094;-9.4454;0.6936;-2.3830;
5088086369871459;-9.4406;0.6123;-2.5050;
5088086379961823;-9.4406;0.5070;-2.5098;
5088086390071302;-9.4478;0.4253;-2.5002;
5088086400170782;-9.5004;0.3751;-2.4236;
5088086410254323;-9.5052;0.3464;-2.3157;
5088086420364011;-9.5195;0.3583;-2.2367;
5088086430486667;-9.4884;0.3966;-2.2534;
5088086440588334;-9.5052;0.4158;-2.3109;
5088086450695573;-9.5076;0.3846;-2.3013;
5088086460807240;-9.5438;0.3296;-2.3204;
5088086470902136;-9.5510;0.2148;-2.3375;
5088086481008594;-9.5243;0.0398;-2.2798;
5088086491103073;-9.5076;-0.1591;-2.2822;
5088086501214740;-9.5581;-0.3508;-2.3157;
5088086511314636;-9.5868;-0.5064;-2.3423;
5088086521420469;-9.5677;-0.4825;-2.3204;
5088086531525677;-9.5342;-0.3724;-2.3949;
5088086541638750;-9.5148;-0.2620;-2.3901;
5088086551744427;-9.4980;-0.1041;-2.3133;
5088086561841094;-9.5028;-0.0248;-2.2893;
5088086571956094;-9.5267;0.0182;-2.3710;
5088086582046407;-9.4789;0.1020;-2.3518;
5088086592152032;-9.4693;0.1092;-2.3590;
5088086602258750;-9.4645;0.1068;-2.5217;
5088086612361511;-9.4119;-0.0320;-2.4691;
5088086622435730;-9.4382;-0.1543;-2.2989;
5088086632571511;-9.4837;-0.1639;-2.3542;
5088086642670782;-9.4597;-0.1017;-2.4260;
5088086652773750;-9.3855;-0.0706;-2.4284;
5088086662868386;-9.3640;-0.0368;-2.3973;
5088086672988698;-9.3879;0.0757;-2.3782;
5088086683075677;-9.3688;0.1762;-2.3518;
5088086693189011;-9.3808;0.2554;-2.3734;
5088086703294844;-9.3568;0.3583;-2.5385;
5088086713400990;-9.2803;0.4612;-2.6752;
5088086723498386;-9.2465;0.5596;-2.6465;
5088086733601719;-9.2994;0.5261;-2.5002;
5088086743708490;-9.3688;0.3846;-2.3013;
5088086753821927;-9.2656;0.5046;-2.3590;
5088086763927240;-9.2850;1.2784;-2.9148;
5088086774023698;-9.1101;0.9212;-2.4667;
5088086784129636;-9.4023;1.1010;-2.3542;
5088086794235677;-9.3784;1.1536;-2.6177;
5088086804337865;-9.0838;1.4506;-2.8837;
5088086814453490;-9.0000;1.8051;-3.1950;
5088086824564948;-9.1077;1.8796;-3.1062;
5088086834641615;-9.1890;1.7740;-2.6536;
5088086844760365;-9.2369;1.7907;-2.2917;
5088086854862344;-9.2417;2.1814;-2.3782;
5088086864957240;-9.1651;2.9240;-2.9650;
5088086875083490;-9.0000;3.2282;-3.1400;
5088086885174740;-9.1579;3.1540;-3.4657;
5088086895278386;-9.0670;3.1469;-3.3673;
5088086905384532;-8.8585;3.4128;-3.0727;
5088086915478594;-8.9327;3.4726;-3.0320;
5088086925602240;-9.0766;3.1370;-3.1014;
5088086935677917;-9.1029;2.6916;-3.0081;
5088086945800469;-9.1053;2.6151;-3.0176;
5088086955895782;-9.1555;2.7132;-3.2381;
5088086965995052;-9.0024;2.6821;-3.4466;
5088086976099063;-8.8681;2.3874;-3.3266;
5088086986204844;-8.9973;1.9202;-3.0751;
5088086996311823;-9.1866;1.6639;-2.9243;
5088087006417917;-9.1244;1.7285;-2.9722;
5088087016511563;-8.9136;1.9705;-3.3817;
5088087026620782;-8.8513;2.2555;-3.5973;
5088087036725000;-8.8513;2.4927;-3.7172;
5088087046834532;-8.8370;2.6438;-3.6861;
5088087056964011;-9.1436;2.6629;-3.7603;
5088087067042813;-9.3616;2.8041;-3.8776;
5088087077148907;-8.9423;2.9647;-3.8560;
5088087087244427;-8.4535;2.9886;-4.0502;
5088087097395573;-8.4634;2.9982;-4.1985;
5088087107455365;-8.8394;2.9958;-4.0741;
5088087117543438;-9.2249;2.7754;-4.0549;
5088087127657657;-9.3712;2.4975;-4.0908;
5088087137821927;-9.2850;2.3515;-3.8536;
5088087147877136;-8.9542;2.2842;-3.4178;
5088087157971980;-8.7218;2.1909;-3.2477;
5088087168072709;-8.8298;2.0590;-3.4346;
5088087178168750;-9.2321;1.9561;-3.4777;
5088087188284271;-8.9160;1.8700;-3.3697;
5088087198418021;-8.8250;1.6902;-3.5662;
5088087208520938;-9.1914;1.5921;-3.9230;
5088087218643230;-9.2154;1.5419;-3.6404;
5088087228700730;-8.9566;1.5610;-3.2644;
5088087238785209;-9.0909;1.7118;-3.3577;
5088087248869740;-9.0479;1.7453;-3.4944;
5088087259046094;-9.0622;1.6663;-3.9182;
5088087269130521;-9.5315;1.6184;-3.8919;
5088087279215052;-9.1460;1.7094;-3.0129;
5088087289315573;-8.8609;1.7309;-2.9650;
5088087299400000;-9.2393;1.5200;-3.3099;
5088087309484532;-8.8083;1.5802;-3.2046;
5088087319652084;-8.5519;1.5610;-3.2261;
5088087329736563;-9.1388;1.6280;-3.6404;
5088087339821042;-9.4334;1.5419;-3.6547;
5088087349961459;-9.3449;1.5562;-3.4609;
5088087360045938;-9.1890;1.5897;-3.4513;
5088087370130469;-9.3425;1.5826;-3.5877;
5088087380272396;-9.1555;1.4650;-3.1783;
5088087390356875;-8.4826;1.2326;-2.6034;
5088087400441355;-8.8322;1.2951;-2.7087;
5088087410580521;-9.0933;1.4339;-3.0607;
5088087420665000;-9.3090;1.8772;-3.4442;
5088087430749532;-9.1364;1.8341;-3.6766;
