Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
81991509438033;2151.0000;
81991576124648;2121.0000;
81991709455273;2103.0000;
81991776120950;2088.0000;
81991909452200;2118.0000;
81991976116366;1140.0000;
81992109453033;1811.0000;
81992176118189;1960.0000;
81992309424023;2034.0000;
81992442784544;2087.0000;
81992509448710;1049.0000;
81992642763710;1093.0000;
81992709446106;1093.0000;
81992842777877;1078.0000;
81992909444439;1063.0000;
81993042774283;1057.0000;
81993109441314;998.0000;
81993242779023;931.0000;
81993309415689;882.0000;
81993442773866;840.0000;
81993509439335;840.0000;
81993642743398;960.0000;
81993776097252;972.0000;
81993842765898;974.0000;
81993976079648;983.0000;
81994042765689;2357.0000;
81994176096314;1027.0000;
81994242770481;970.0000;
81994376101366;787.0000;
81994442760794;745.0000;
81994576090273;772.0000;
81994642734752;826.0000;
81994776066627;845.0000;
81994842755169;867.0000;
81994976062877;891.0000;
81995109423398;897.0000;
81995176088294;900.0000;
81995309395116;924.0000;
81995376089856;957.0000;
81995509419231;964.0000;
81995576082981;993.0000;
81995709417564;1004.0000;
81995776077981;1028.0000;
81995909415273;1069.0000;
81995976075794;1104.0000;
81996109409856;1110.0000;
81996176077877;1090.0000;
81996309408814;1097.0000;
81996376076627;1130.0000;
81996509408085;1167.0000;
81996642740377;1208.0000;
81996709405064;1245.0000;
81996842741627;1237.0000;
81996909403814;1193.0000;
81997042736783;1212.0000;
81997109370273;1206.0000;
81997242739231;1210.0000;
81997309401783;1214.0000;
81997442715794;1129.0000;
81997509397356;1020.0000;
81997642724231;988.0000;
81997709395898;1036.0000;
81997842733866;1076.0000;
81997976060377;1076.0000;
81998042732356;1069.0000;
81998176054648;1070.0000;
81998242724127;1108.0000;
81998376059960;1096.0000;
81998442695116;1066.0000;
81998576048502;1133.0000;
81998642717669;1156.0000;
81998776027200;1080.0000;
81998842719023;956.0000;
81998976046523;921.0000;
81999042718814;925.0000;
81999176043294;915.0000;
81999242717044;865.0000;
81999376055898;813.0000;
81999509376002;814.0000;
81999576043398;790.0000;
81999709378450;714.0000;
81999776010585;676.0000;
81999909373814;659.0000;
81999976037200;684.0000;
82000109376523;717.0000;
82000176038814;695.0000;
82000309367148;663.0000;
82000376036835;655.0000;
82000509366731;664.0000;
82000576006106;655.0000;
82000709367981;622.0000;
82000842703085;318.0000;
82000909344752;310.0000;
82001042696210;313.0000;
82001109361835;311.0000;
82001242673294;305.0000;
82001309359335;298.0000;
82001442690377;302.0000;
82001509352148;320.0000;
82001642691835;649.0000;
82001709355533;679.0000;
82001842693814;338.0000;
82001909329752;307.0000;
82002042683189;309.0000;
82002109356939;337.0000;
82002242657200;665.0000;
82002376051939;684.0000;
82002442681106;673.0000;
82002575987981;336.0000;
82002642681523;325.0000;
82002776007981;346.0000;
82002842680169;680.0000;
82002976006419;735.0000;
82003042677460;758.0000;
82003176004231;750.0000;
82003242647356;720.0000;
82003375967200;718.0000;
82003442668919;743.0000;
82003575995533;762.0000;
82003709340689;750.0000;
82003776000377;752.0000;
82003909307564;778.0000;
82003975995273;808.0000;
82004109330377;831.0000;
82004175994544;834.0000;
82004309329648;820.0000;
82004375956314;816.0000;
82004509326627;852.0000;
82004575989960;874.0000;
82004709316627;879.0000;
82004775992356;916.0000;
82004909324335;994.0000;
82004975986939;1097.0000;
82005109322564;1156.0000;
82005242652200;1152.0000;
82005309317981;1117.0000;
82005442650481;1126.0000;
82005509315898;1161.0000;
82005642652773;1176.0000;
82005709289856;1154.0000;
82005842650273;1139.0000;
82005909318033;1154.0000;
82006042633710;1163.0000;
82006109310898;1139.0000;
82006242643398;1104.0000;
82006309309335;1089.0000;
82006442643398;1102.0000;
82006575969648;1089.0000;
82006642640377;1049.0000;
82006775969700;1042.0000;
82006842638814;1074.0000;
82006975966106;1098.0000;
82007042606523;1111.0000;
82007175960481;1085.0000;
82007242631627;958.0000;
82007375939127;850.0000;
82007442635898;860.0000;
82007575960794;871.0000;
82007642628294;827.0000;
82007775936835;787.0000;
82007842629439;779.0000;
82007975956731;776.0000;
82008109289231;766.0000;
82008175929960;748.0000;
82008309285585;727.0000;
82008375932356;762.0000;
82008509282356;818.0000;
82008575948294;951.0000;
82008709287564;1039.0000;
82008775955689;1117.0000;
82008909281106;1249.0000;
82008975944023;4042.0000;
82009109276939;8577.0000;
82009175917669;4253.0000;
82009309280689;3574.0000;
82009442616627;3561.0000;
82009509246523;3528.0000;
82009642605898;3313.0000;
82009709276366;4213.0000;
82009842583502;9500.0000;
82009909273294;9451.0000;
82010042602408;6841.0000;
82010109269439;3067.0000;
82010242601210;2953.0000;
82010309272044;2962.0000;
82010442604023;2979.0000;
82010509243294;2976.0000;
82010642592148;2948.0000;
82010775892044;2914.0000;
82010842569335;2884.0000;
