Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
989751445334237;0.0071;0.0080;0.0799;
989751455437205;0.0177;0.0091;0.0820;
989751465539966;0.0358;0.0069;0.0884;
989751475656007;0.0497;0.0069;0.0991;
989751485753091;0.0582;0.0037;0.1087;
989751495866476;0.0667;0.0048;0.1150;
989751505974549;0.0742;0.0069;0.1236;
989751516050955;0.0838;0.0091;0.1332;
989751526150226;0.0901;0.0123;0.1417;
989751536253091;0.0933;0.0133;0.1470;
989751546389549;0.0880;0.0133;0.1523;
989751556475382;0.0742;0.0144;0.1534;
989751566588195;0.0571;0.0133;0.1555;
989751576684705;0.0390;0.0154;0.1523;
989751586785122;0.0124;0.0186;0.1502;
989751596872362;-0.0206;0.0176;0.1449;
989751606995174;-0.0441;0.0197;0.1374;
989751617083612;-0.0398;0.0218;0.1332;
989751627221320;-0.0356;0.0208;0.1289;
989751637331007;-0.0324;0.0154;0.1246;
989751647387414;-0.0292;0.0112;0.1182;
989751657487778;-0.0281;0.0112;0.1129;
989751667606007;-0.0270;0.0101;0.1055;
989751677714914;-0.0228;0.0123;0.0959;
989751687832309;-0.0217;0.0144;0.0895;
989751697923091;-0.0196;0.0133;0.0799;
989751708045330;-0.0196;0.0101;0.0724;
989751718120747;-0.0164;0.0101;0.0660;
989751728218039;-0.0132;0.0080;0.0618;
989751738334549;-0.0089;0.0059;0.0565;
989751748451580;0.0007;0.0048;0.0522;
989751758551268;0.0092;0.0059;0.0479;
989751768645070;0.0241;0.0059;0.0447;
989751778749757;0.0326;0.0059;0.0415;
989751788855174;0.0422;0.0059;0.0394;
989751798978455;0.0539;0.0037;0.0341;
989751809063091;0.0624;0.0016;0.0330;
989751819158091;0.0656;0.0037;0.0309;
989751829260851;0.0614;0.0027;0.0298;
989751839346007;0.0454;0.0037;0.0266;
989751849467205;0.0198;0.0048;0.0256;
989751859573612;-0.0132;0.0059;0.0256;
989751869687309;-0.0132;0.0080;0.0245;
989751879781945;-0.0164;0.0112;0.0266;
989751889884549;-0.0174;0.0123;0.0341;
989751899990174;-0.0398;-0.0048;0.0298;
989751910100278;-0.2879;-0.0708;0.0149;
989751920201632;-0.4583;-0.0975;0.0320;
989751930300018;-0.4157;-0.0442;0.0075;
989751940404549;-0.3571;0.0495;0.0277;
989751950507257;-0.2506;0.0932;0.0607;
989751960620174;-0.1632;0.0581;0.0469;
989751970718299;-0.1122;0.0250;0.0405;
989751980816528;-0.0494;0.0165;0.0639;
989751990926945;0.0166;-0.0016;0.0820;
989752001028299;0.0209;-0.0080;0.0884;
989752011125955;0.0806;0.0186;0.1033;
989752021232466;0.1828;0.0378;0.1300;
989752031342101;0.2499;0.0261;0.1630;
989752041442049;0.2510;0.0112;0.1694;
989752051545382;0.1881;-0.0016;0.1523;
989752061644914;0.0869;-0.0165;0.1470;
989752071761841;-0.0153;-0.0101;0.1523;
989752081867570;-0.0505;0.0218;0.1513;
989752091946164;-0.0451;0.0314;0.1481;
989752102056268;-0.0483;0.0144;0.1449;
989752112157934;-0.0419;0.0027;0.1470;
989752122265330;-0.0292;-0.0101;0.1459;
989752132388820;-0.0302;-0.0197;0.1406;
989752142475695;-0.0366;-0.0037;0.1310;
989752152579966;-0.0419;0.0144;0.1278;
989752162683351;-0.0430;0.0133;0.1278;
989752172785330;-0.0345;0.0112;0.1236;
989752182891268;-0.0238;0.0101;0.1161;
989752192999445;-0.0217;0.0037;0.1097;
989752203096476;-0.0238;0.0112;0.1055;
989752213218455;-0.0270;0.0197;0.1055;
989752223303091;-0.0281;0.0197;0.1076;
989752233411632;-0.0238;0.0165;0.1044;
989752243526320;-0.0164;0.0133;0.0980;
989752253635851;-0.0121;0.0123;0.0916;
989752263725487;0.0007;0.0144;0.0863;
989752273830695;0.0369;0.0154;0.0863;
989752283932674;0.0806;0.0165;0.0852;
989752294028091;0.1210;0.0123;0.0799;
989752304147934;0.1487;0.0027;0.0799;
989752314236007;0.1562;-0.0005;0.0810;
989752324349341;0.1370;0.0027;0.0831;
989752334447674;0.0965;0.0037;0.0852;
989752344545695;0.0443;0.0069;0.0842;
989752354658924;-0.0132;0.0080;0.0767;
989752364751997;-0.0281;0.0037;0.0692;
989752374859966;-0.0238;0.0005;0.0682;
989752384963768;-0.0217;-0.0016;0.0682;
989752395060747;-0.0217;-0.0027;0.0671;
989752405174862;-0.0196;-0.0016;0.0607;
989752415272362;-0.0228;0.0027;0.0511;
989752425372466;-0.0174;0.0059;0.0479;
989752435478351;-0.0142;0.0080;0.0479;
989752445590174;-0.0132;0.0059;0.0501;
989752455689341;-0.0132;0.0069;0.0490;
989752465788039;-0.0142;0.0101;0.0479;
989752475903820;-0.0153;0.0091;0.0479;
989752486012257;-0.0174;0.0037;0.0469;
989752496092466;-0.0164;0.0005;0.0437;
989752506189132;-0.0132;-0.0016;0.0394;
989752516285799;-0.0100;-0.0016;0.0352;
989752526403247;-0.0089;0.0016;0.0309;
989752536499914;-0.0089;0.0059;0.0245;
989752546596580;-0.0079;0.0091;0.0170;
989752556728247;-0.0047;0.0069;0.0117;
989752566824914;-0.0004;0.0027;0.0053;
989752576921580;0.0017;0.0016;-0.0011;
989752587041320;0.0028;0.0048;-0.0043;
989752597137987;0.0017;0.0069;-0.0064;
989752607234653;0.0007;0.0069;-0.0075;
989752617332830;0.0007;0.0048;-0.0117;
989752627429497;0.0028;-0.0027;-0.0160;
989752637526164;0.0049;-0.0069;-0.0170;
989752647678195;0.0060;-0.0048;-0.0181;
989752657774862;0.0028;-0.0027;-0.0192;
989752667871528;0.0017;-0.0027;-0.0234;
989752677951059;0.0049;-0.0048;-0.0256;
989752688047726;0.0060;-0.0059;-0.0256;
989752698144393;0.0049;-0.0091;-0.0288;
989752708266320;0.0060;-0.0048;-0.0298;
989752718362987;0.0060;-0.0059;-0.0330;
989752728459653;0.0049;-0.0101;-0.0394;
989752738594341;0.0103;-0.0091;-0.0437;
989752748691007;0.0145;-0.0037;-0.0479;
989752758787674;0.0166;0.0005;-0.0533;
989752768903507;0.0198;0.0059;-0.0586;
989752779000174;0.0252;0.0080;-0.0660;
989752789096841;0.0241;0.0080;-0.0735;
