Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
688346073664507;-9.3520;-1.1677;-2.5026;
688346078723986;-9.4238;-1.1797;-2.4787;
688346083783465;-9.4214;-1.1438;-2.5050;
688346088801746;-9.4167;-1.1315;-2.5528;
688346093861226;-9.4214;-1.1462;-2.5959;
688346098953048;-9.4047;-1.1605;-2.5648;
688346104012528;-9.4310;-1.1797;-2.5289;
688346109052892;-9.4334;-1.1557;-2.5624;
688346114089871;-9.3808;-1.1677;-2.5839;
688346119142059;-9.4071;-1.1629;-2.5648;
688346124205705;-9.4621;-1.1339;-2.6225;
688346129262267;-9.3951;-1.1219;-2.6345;
688346134299663;-9.4071;-1.1004;-2.6225;
688346139366121;-9.3975;-1.0884;-2.5863;
688346144429403;-9.3592;-1.0645;-2.6154;
688346149492736;-9.3544;-1.0884;-2.6273;
688346154536121;-9.4023;-1.1171;-2.6177;
688346159581226;-9.3927;-1.1267;-2.5696;
688346164640757;-9.4143;-1.0908;-2.5839;
688346169679715;-9.3712;-1.0813;-2.5600;
688346174742736;-9.3592;-1.0573;-2.5313;
688346179779507;-9.3760;-1.0645;-2.5217;
688346184873726;-9.3951;-1.0502;-2.5552;
688346189922892;-9.4167;-1.0621;-2.5816;
688346194959767;-9.4190;-1.0621;-2.6034;
688346200009976;-9.3879;-1.0956;-2.6010;
688346205067580;-9.3784;-1.0717;-2.6034;
688346210114455;-9.3951;-1.0573;-2.6034;
688346215177371;-9.4190;-1.0836;-2.5648;
688346220254976;-9.3975;-1.0908;-2.5265;
688346225278101;-9.4214;-1.0932;-2.5409;
688346230333517;-9.4525;-1.1243;-2.5146;
688346235400965;-9.4454;-1.1916;-2.4571;
688346240443361;-9.4525;-1.1964;-2.4069;
688346245522215;-9.4286;-1.1821;-2.4260;
688346250554038;-9.4214;-1.2084;-2.4428;
688346255615861;-9.4358;-1.2275;-2.4165;
688346260670601;-9.4478;-1.2036;-2.4452;
688346265727944;-9.4430;-1.1821;-2.4595;
688346270777892;-9.4430;-1.1414;-2.4595;
688346275834611;-9.4549;-1.1509;-2.4858;
688346280903465;-9.4286;-1.1629;-2.5217;
688346285943986;-9.4454;-1.1629;-2.5265;
688346290998101;-9.4717;-1.2203;-2.4906;
688346296020809;-9.4143;-1.2706;-2.4858;
688346301074298;-9.3999;-1.2826;-2.5289;
688346306169767;-9.4573;-1.3208;-2.4308;
688346311220653;-9.4525;-1.3567;-2.4045;
688346316275601;-9.4549;-1.4216;-2.3853;
688346321330653;-9.4430;-1.4264;-2.3662;
