TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
368955469728860;1638297819000;40.251105570000;-111.634547110000;1440.9257;0.0000;-3000.0000;7.52789497;7.43850613;0.08602326;-1.00000000;
368956469659120;1638297820000;40.251098680000;-111.634567280000;1440.3677;0.3400;197.3000;5.30619764;6.03536463;1.22588742;87.21158600;
368957482807401;1638297821000;40.251079160000;-111.634567820000;1438.2941;2.0300;179.9000;3.90164542;4.93861008;0.82927680;11.34399796;
368958475610109;1638297822000;40.251049950000;-111.634562380000;1438.3024;2.8900;177.8000;3.79009247;4.35115576;0.94868332;17.36123466;
368959471306254;1638297823000;40.251017070000;-111.634554910000;1438.0756;3.6000;170.7000;3.79009247;3.99418521;0.80721742;10.93672276;
368960473013806;1638297824000;40.250960140000;-111.634527330000;1437.1896;6.1000;166.0000;3.79009247;3.48729944;0.82758683;6.37246704;
368961470363285;1638297825000;40.250911630000;-111.634514890000;1437.4156;6.1200;166.7000;3.79009247;3.21749282;0.48548946;2.80904603;
368962471899430;1638297826000;40.250857260000;-111.634493400000;1438.0853;6.1900;166.9000;3.79009247;3.04148364;0.79649234;6.53670979;
368963469197503;1638297827000;40.250777550000;-111.634482840000;1438.2340;8.5700;173.7000;3.79009247;3.06117940;1.69758654;7.24271297;
368964469996721;1638297828000;40.250707570000;-111.634468870000;1437.6216;7.7300;171.3000;3.79009247;2.92573881;0.70936590;3.89477277;
368965464076044;1638297829000;40.250634660000;-111.634462060000;1437.6110;8.1200;174.5000;3.79009247;3.11837673;0.56612718;2.68725848;
368966467419741;1638297830000;40.250562650000;-111.634447950000;1436.7300;8.0700;172.7000;3.79009247;2.88210249;0.37735924;1.62451804;
368967473080574;1638297831000;40.250495080000;-111.634436760000;1436.1372;7.3600;169.0000;3.79009247;2.97336864;0.17204651;0.88972181;
368968467466563;1638297832000;40.250426180000;-111.634416200000;1435.8519;7.7800;165.7000;3.79009247;2.94754052;0.08944272;0.39451584;
368969478578021;1638297833000;40.250357700000;-111.634388600000;1435.8337;7.8000;160.5000;3.79009247;2.86425424;0.10770330;0.40458798;
368970472658958;1638297834000;40.250289530000;-111.634359630000;1435.7676;7.8100;161.6000;3.79009247;2.88743758;0.09848858;0.35542876;
368971479127916;1638297835000;40.250222860000;-111.634323240000;1435.8103;8.0600;156.2000;3.79009247;2.79248571;0.09848858;0.38159543;
368972474212603;1638297836000;40.250157680000;-111.634285520000;1436.2676;7.8600;153.6000;3.79009247;2.59674835;0.12529965;0.50325489;
368973470834947;1638297837000;40.250089930000;-111.634239580000;1437.2368;8.4200;155.7000;3.79009247;2.66506743;0.53075421;3.05231690;
368974466124426;1638297838000;40.250027160000;-111.634212990000;1437.2405;7.3600;165.1000;3.79009247;2.89482832;0.82734513;5.09345818;
368975474764738;1638297839000;40.249957250000;-111.634185240000;1437.1664;8.1100;162.8000;3.79009247;3.04724240;0.54644305;2.51375866;
368976478069477;1638297840000;40.249887610000;-111.634157030000;1437.4940;7.8100;162.9000;3.79009247;3.05843377;0.35846898;1.48553610;
368977472307185;1638297841000;40.249821380000;-111.634143680000;1437.9294;6.9800;173.3000;3.79009247;2.99164200;0.19235384;0.90434545;
368978468437132;1638297842000;40.249758150000;-111.634129550000;1437.9623;6.8100;171.0000;3.79009247;2.80793214;0.06708204;0.35352480;
368979470202549;1638297843000;40.249696960000;-111.634109930000;1438.4290;6.7500;165.5000;3.79009247;2.65182114;0.06708204;0.36948347;
368980478258434;1638297844000;40.249647300000;-111.634081210000;1439.6040;6.2200;155.2000;3.79009247;2.50000000;0.08062258;0.44499770;
368981474097860;1638297845000;40.249603370000;-111.634040170000;1439.9348;5.9100;140.8000;3.79009247;2.50000000;0.08062258;0.45182395;
368982473068798;1638297846000;40.249572540000;-111.633985640000;1440.2671;5.8300;119.1000;3.79009247;2.50000000;0.08062258;0.45666817;
368983470836297;1638297847000;40.249558680000;-111.633931960000;1440.7888;4.9200;99.0000;3.79009247;2.50000000;0.31304953;1.90632820;
368984465942130;1638297848000;40.249558940000;-111.633884300000;1441.3995;4.2200;81.8000;3.79009247;2.50000000;0.50537115;3.56353998;
368985467296401;1638297849000;40.249559410000;-111.633837300000;1441.5453;3.7500;84.1000;3.79009247;2.50000000;0.31304953;2.40464163;
368986470670411;1638297850000;40.249563020000;-111.633784000000;1441.6476;3.8500;80.8000;3.79009247;2.50000000;0.33615473;2.87542462;
368987474301035;1638297851000;40.249561110000;-111.633734670000;1442.2246;3.8700;94.2000;3.79009247;2.50000000;0.89627004;3.29943919;
368988470251399;1638297852000;40.249555830000;-111.633690490000;1442.1764;3.6300;111.8000;3.79009247;2.50000000;0.89999998;3.20670104;
368989469467441;1638297853000;40.249551050000;-111.633647930000;1442.0355;3.5800;97.7000;3.79009247;2.50000000;1.20066643;3.23990560;
368990471749055;1638297854000;40.249542250000;-111.633610060000;1441.3123;3.2600;104.7000;3.79009247;2.50000000;0.85702974;3.29234385;
368991479382440;1638297855000;40.249537390000;-111.633569210000;1441.3766;3.4100;101.8000;3.79009247;2.50000000;0.83216584;3.36055899;
368992488452648;1638297856000;40.249530220000;-111.633531120000;1441.2017;3.2200;109.8000;3.79009247;2.50000000;0.87418532;3.44025326;
368993476308845;1638297857000;40.249521620000;-111.633494860000;1442.0361;3.0500;110.4000;3.79009247;2.50000000;0.84876382;3.54261327;
368994477974366;1638297858000;40.249512570000;-111.633461360000;1441.9747;2.8700;107.8000;3.79009247;2.50000000;0.90210867;3.66306758;
368995471439313;1638297859000;40.249502600000;-111.633427170000;1442.3727;2.9900;117.0000;3.79009247;2.50000000;1.17477655;3.79134107;
368996478954834;1638297860000;40.249490830000;-111.633400570000;1443.1871;2.5600;131.6000;3.79009247;2.50000000;0.91021973;3.94150329;
368997479249469;1638297861000;40.249481570000;-111.633369720000;1443.5879;2.7200;117.2000;3.79009247;2.50000000;0.91607863;4.08246469;
368998474338114;1638297862000;40.249472510000;-111.633339390000;1444.5024;2.6500;121.4000;3.79009247;2.50000000;0.86838931;4.24277353;
368999476776812;1638297863000;40.249462470000;-111.633308840000;1444.6144;2.7900;116.6000;3.79009247;2.50000000;1.15247560;4.41377592;
369000470769624;1638297864000;40.249449770000;-111.633278610000;1446.7538;2.8400;129.4000;3.79009247;2.50000000;0.85146934;4.59219456;
