Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
1792043159286197;1224.0000;
1792043292614999;1221.0000;
1792043359256197;1215.0000;
1792043492617447;1212.0000;
1792043625918697;1213.0000;
1792043692614114;1217.0000;
1792043825917447;1224.0000;
1792043892613593;1239.0000;
1792044025918072;1276.0000;
1792044092581249;1323.0000;
1792044225913176;1359.0000;
1792044292604114;1353.0000;
1792044425920781;1129.0000;
1792044492604739;1104.0000;
1792044625910260;1171.0000;
1792044692605468;1181.0000;
1792044825907864;1154.0000;
1792044959241510;1105.0000;
1792045025904531;1056.0000;
1792045159239426;1065.0000;
1792045225909166;1096.0000;
1792045359235781;1136.0000;
1792045425900572;1170.0000;
1792045559233593;1206.0000;
1792045625899426;1266.0000;
1792045759246614;1307.0000;
1792045825899531;1288.0000;
1792045959229947;1203.0000;
1792046025894426;1087.0000;
1792046159226718;993.0000;
1792046292585572;957.0000;
1792046359225572;948.0000;
1792046492581510;834.0000;
1792046559223489;735.0000;
1792046692580468;306.0000;
1792046759221926;287.0000;
1792046892585989;283.0000;
1792046959219426;257.0000;
1792047092551614;248.0000;
1792047159216510;245.0000;
1792047292574947;240.0000;
1792047359214010;257.0000;
1792047492574114;279.0000;
1792047625878176;286.0000;
1792047692570572;297.0000;
1792047825876614;282.0000;
1792047892576093;275.0000;
1792048025883176;283.0000;
1792048092540468;296.0000;
1792048225874426;303.0000;
1792048292564218;301.0000;
1792048425872239;615.0000;
1792048492563749;601.0000;
1792048625873593;280.0000;
1792048692555676;277.0000;
1792048825873281;273.0000;
1792048892562656;265.0000;
1792049025872447;250.0000;
1792049159197031;251.0000;
1792049225870885;256.0000;
1792049359194114;257.0000;
1792049425867031;260.0000;
1792049559192864;267.0000;
1792049625865260;265.0000;
1792049759190260;267.0000;
1792049825857239;275.0000;
1792049959188906;284.0000;
1792050025854531;579.0000;
1792050159195260;623.0000;
1792050225855676;662.0000;
1792050359195676;663.0000;
1792050492543697;651.0000;
1792050559182656;326.0000;
1792050692540364;323.0000;
1792050759195364;314.0000;
1792050892540989;312.0000;
1792050959176093;314.0000;
1792051092508749;310.0000;
1792051159172083;609.0000;
1792051292534843;610.0000;
1792051359180781;621.0000;
1792051492533801;616.0000;
1792051559174166;610.0000;
1792051692532864;615.0000;
1792051825835885;615.0000;
1792051892531093;631.0000;
1792052025833281;638.0000;
1792052092517499;631.0000;
1792052225839010;612.0000;
1792052292524322;618.0000;
1792052425832135;617.0000;
1792052492521822;626.0000;
1792052625827864;619.0000;
1792052692517916;603.0000;
1792052825827343;601.0000;
1792052892515416;598.0000;
1792053025831510;589.0000;
1792053159155468;569.0000;
1792053225829947;586.0000;
1792053359153072;604.0000;
1792053425824739;617.0000;
1792053559150989;623.0000;
1792053625821093;648.0000;
1792053759150260;668.0000;
1792053825819739;693.0000;
1792053959153749;709.0000;
1792054025813749;693.0000;
1792054159152968;646.0000;
1792054225818749;674.0000;
1792054359143176;724.0000;
1792054492500260;734.0000;
1792054559147656;756.0000;
1792054692503697;765.0000;
1792054759138697;757.0000;
1792054892513072;759.0000;
1792054959139426;770.0000;
1792055092495364;755.0000;
1792055159134739;744.0000;
1792055292496614;725.0000;
1792055359135572;716.0000;
1792055492494426;725.0000;
1792055559125989;739.0000;
1792055692490885;758.0000;
1792055825796510;741.0000;
1792055892462551;731.0000;
1792056025795260;688.0000;
1792056092485260;692.0000;
1792056225785156;692.0000;
1792056292486822;330.0000;
1792056425796301;692.0000;
1792056492483593;659.0000;
1792056625787864;665.0000;
1792056692483072;682.0000;
1792056825784635;674.0000;
1792056892456822;667.0000;
1792057025783489;649.0000;
1792057159107968;628.0000;
1792057225780885;624.0000;
1792057359112656;302.0000;
1792057425780833;305.0000;
1792057559112760;309.0000;
1792057625776510;298.0000;
1792057759101614;295.0000;
1792057825768072;290.0000;
1792057959106822;293.0000;
1792058025776926;294.0000;
1792058159113697;291.0000;
1792058225777656;294.0000;
1792058359103593;301.0000;
1792058492459114;306.0000;
1792058559113593;320.0000;
1792058692462968;649.0000;
1792058759109635;677.0000;
1792058892424166;713.0000;
1792058959097864;714.0000;
1792059092451093;719.0000;
1792059159094531;729.0000;
1792059292456926;740.0000;
1792059359092968;737.0000;
1792059492449739;728.0000;
1792059559090468;706.0000;
1792059692453906;676.0000;
1792059825758749;657.0000;
1792059892423489;670.0000;
1792060025757916;692.0000;
1792060092441301;724.0000;
1792060225755885;722.0000;
1792060292445676;722.0000;
1792060425753749;746.0000;
1792060492438489;768.0000;
1792060625751718;780.0000;
1792060692446614;779.0000;
1792060825750260;760.0000;
1792060892411822;766.0000;
1792061025746614;758.0000;
1792061159078906;762.0000;
1792061225739322;764.0000;
1792061359073801;747.0000;
1792061425741926;700.0000;
1792061559069635;341.0000;
1792061625740468;675.0000;
1792061759069739;338.0000;
1792061825727551;306.0000;
1792061959065781;296.0000;
1792062025736510;287.0000;
1792062159065260;280.0000;
1792062225730885;272.0000;
1792062359062916;274.0000;
1792062425728801;275.0000;
1792062559059947;272.0000;
1792062692424739;276.0000;
1792062759057760;280.0000;
1792062892390364;290.0000;
1792062959056510;298.0000;
1792063092409739;311.0000;
1792063159053697;333.0000;
1792063292410572;324.0000;
1792063359052135;334.0000;
1792063492408749;676.0000;
1792063559050364;692.0000;
1792063692409114;711.0000;
1792063759047864;687.0000;
1792063892384635;669.0000;
1792064025711406;329.0000;
1792064092402447;312.0000;
1792064225715260;317.0000;
1792064292404322;305.0000;
1792064425707968;302.0000;
1792064492400260;297.0000;
1792064625705416;319.0000;
1792064692394531;682.0000;
1792064825703593;690.0000;
1792064892370051;667.0000;
1792065025701666;313.0000;
1792065092393281;651.0000;
1792065225700676;677.0000;
1792065359032656;693.0000;
1792065425696926;658.0000;
1792065559029322;615.0000;
1792065625697343;615.0000;
1792065759027239;654.0000;
1792065825702760;715.0000;
1792065959025051;698.0000;
1792066025694426;737.0000;
1792066159023176;676.0000;
1792066225689166;705.0000;
1792066359021614;705.0000;
1792066425694166;625.0000;
1792066559018593;665.0000;
1792066692380989;636.0000;
1792066759016406;630.0000;
1792066892343489;622.0000;
1792066959014166;601.0000;
1792067092378489;607.0000;
1792067159013281;633.0000;
1792067292370468;643.0000;
1792067359013333;655.0000;
1792067492372864;604.0000;
1792067559008489;579.0000;
1792067692371093;585.0000;
1792067759007656;609.0000;
1792067892340156;664.0000;
1792068025679114;670.0000;
1792068092363176;587.0000;
1792068225669010;590.0000;
1792068292363176;301.0000;
1792068425667135;622.0000;
1792068492359322;669.0000;
1792068625664531;706.0000;
1792068692361197;684.0000;
1792068825664114;661.0000;
1792068892330572;669.0000;
1792069025661197;623.0000;
1792069092361614;604.0000;
1792069225669531;628.0000;
1792069358990051;625.0000;
1792069425657343;626.0000;
1792069558988697;633.0000;
1792069625647760;642.0000;
1792069758991926;651.0000;
1792069825652031;659.0000;
1792069958992551;673.0000;
1792070025650885;614.0000;
1792070158992343;583.0000;
1792070225652031;624.0000;
1792070358977656;662.0000;
1792070425645989;682.0000;
1792070558977656;694.0000;
1792070692338072;708.0000;
1792070758998385;700.0000;
1792070892308697;687.0000;
1792070958988489;695.0000;
1792071092334947;592.0000;
1792071158971822;553.0000;
1792071292334322;574.0000;
