Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
259737562219250;-9.3425;-0.5853;-2.9315;
259737567274093;-9.4310;-0.5614;-2.9650;
259737572341385;-9.4478;-0.5925;-2.7757;
259737577376541;-9.4621;-0.6574;-2.7039;
259737582431385;-9.4717;-0.7316;-2.6800;
259737587486177;-9.4860;-0.7364;-2.6369;
259737592541020;-9.4956;-0.7388;-2.6441;
259737597595812;-9.4837;-0.7268;-2.6465;
259737602650656;-9.4813;-0.7364;-2.6800;
259737607705291;-9.4765;-0.7029;-2.5576;
259737612760135;-9.4430;-0.6981;-2.5935;
259737617814979;-9.4454;-0.7101;-2.7446;
259737622869770;-9.4669;-0.6718;-2.7494;
259737627924614;-9.4932;-0.7053;-2.5098;
259737632979406;-9.4789;-0.7507;-2.3806;
259737638028573;-9.4334;-0.7819;-2.4619;
259737643083364;-9.4454;-0.7125;-2.6489;
259737648138156;-9.4358;-0.7101;-2.7278;
259737653193000;-9.4406;-0.7029;-2.5744;
259737658247843;-9.4645;-0.7364;-2.5433;
259737663302635;-9.4860;-0.7172;-2.5672;
259737668368729;-9.5195;-0.6909;-2.6895;
259737673423520;-9.4430;-0.6885;-2.8235;
259737678478364;-9.4286;-0.7244;-2.8717;
259737683533208;-9.4143;-0.7005;-2.8187;
259737688588000;-9.4406;-0.6574;-2.7805;
259737693642843;-9.4525;-0.6144;-2.7996;
259737698679770;-9.4310;-0.5590;-2.9219;
259737703734562;-9.4310;-0.5782;-2.9100;
259737708789406;-9.4286;-0.5782;-2.8164;
259737713844198;-9.4454;-0.6024;-2.6058;
259737718899041;-9.4884;-0.6144;-2.5074;
259737723953833;-9.4741;-0.6191;-2.5193;
259737729018208;-9.4214;-0.6120;-2.5026;
259737734073000;-9.3784;-0.6239;-2.4643;
259737739127843;-9.3879;-0.6502;-2.3925;
259737744182635;-9.3927;-0.6526;-2.3734;
259737749237479;-9.4454;-0.6670;-2.2893;
259737754292270;-9.4860;-0.6526;-2.3542;
259737759343729;-9.4478;-0.5973;-2.4858;
259737764398520;-9.4262;-0.5901;-2.6465;
259737769487479;-9.4525;-0.5758;-2.6560;
259737774542270;-9.4573;-0.5949;-2.6441;
259737779517062;-9.4884;-0.5973;-2.6752;
259737784571854;-9.4645;-0.6191;-2.7589;
259737789626645;-9.3736;-0.6479;-2.8522;
259737794681489;-9.4095;-0.6383;-2.7924;
259737799736333;-9.3951;-0.7340;-2.6512;
259737804791125;-9.4813;-0.8154;-2.5098;
259737809888208;-9.4813;-0.8249;-2.5050;
259737814943052;-9.4693;-0.8297;-2.5720;
259737819997843;-9.4502;-0.9162;-2.6177;
259737825052687;-9.4645;-0.9664;-2.5744;
259737830107479;-9.4262;-0.9544;-2.5313;
259737835162323;-9.4573;-1.0214;-2.4667;
259737840184354;-9.4860;-1.0836;-2.4428;
259737845239145;-9.4813;-1.0789;-2.4045;
259737850293989;-9.4190;-1.1028;-2.6249;
259737855348833;-9.4071;-1.0693;-2.8379;
259737860403677;-9.4047;-1.0645;-2.8980;
259737865458468;-9.4310;-1.0645;-2.7805;
259737870514145;-9.4860;-1.1438;-2.6584;
259737875568989;-9.4717;-1.1291;-2.6871;
259737880623781;-9.4071;-1.0765;-3.0440;
259737885678625;-9.4023;-1.0454;-3.2548;
259737890733416;-9.4741;-1.0932;-3.1158;
259737895788260;-9.4860;-1.0836;-2.9459;
259737900876437;-9.4454;-0.9927;-3.3242;
259737905931281;-9.3736;-0.9233;-3.5423;
259737910986073;-9.3736;-0.9473;-3.4370;
259737916040916;-9.4454;-0.9281;-3.2764;
259737921095708;-9.4549;-0.8898;-3.2261;
259737926150552;-9.4167;-0.8417;-3.2142;
259737931205395;-9.4214;-0.8512;-3.1902;
259737936260239;-9.4334;-0.9114;-2.9674;
259737941315031;-9.4023;-0.9568;-2.6584;
259737946369875;-9.3736;-0.9760;-2.5672;
259737951424718;-9.3760;-0.9951;-2.5839;
259737956479510;-9.3951;-1.0286;-2.4667;
259737961503520;-9.4190;-1.0956;-2.2606;
259737966558364;-9.4310;-1.1414;-2.0979;
259737971613156;-9.4717;-1.0932;-2.1888;
259737976668000;-9.4932;-1.0860;-2.2510;
259737981722791;-9.4908;-1.1533;-2.2798;
259737986777635;-9.4549;-1.2347;-2.4165;
259737991848937;-9.3975;-1.2849;-2.6010;
259737996903781;-9.4190;-1.2921;-2.8116;
259738001958573;-9.4430;-1.2969;-3.0009;
259738007013416;-9.4262;-1.3400;-3.1062;
259738012068208;-9.4262;-1.3400;-3.1711;
