Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
5252108079827985;861.7888;
5252108119826526;861.8000;
5252108159824131;861.8062;
5252108199824443;861.8125;
5252108239824443;861.8087;
5252108279825745;861.8025;
5252108319823610;861.7975;
5252108359821839;861.7975;
5252108399824964;861.7987;
5252108439826214;861.7962;
5252108479823401;861.7975;
5252108519826214;861.7950;
5252108559826526;861.7900;
5252108599827568;861.7913;
5252108639833610;861.7913;
5252108679830693;861.7937;
5252108719832985;861.7962;
5252108759830693;861.7937;
5252108799831422;861.7925;
5252108839804026;861.7937;
5252108879803193;861.7913;
5252108919801006;861.7925;
5252108959799443;861.7888;
5252108999832985;861.7900;
5252109039826735;861.7900;
5252109079828297;861.7900;
5252109119831735;861.7913;
5252109159831162;861.7888;
5252109199827568;861.7850;
5252109239830901;861.7875;
5252109279825485;861.7900;
5252109319824651;861.7863;
5252109359823922;861.7838;
5252109399824912;861.7813;
5252109439824131;861.7838;
5252109479823401;861.7762;
5252109519826214;861.7787;
5252109559824964;861.7775;
5252109599831943;861.7800;
5252109639829860;861.7775;
5252109679826006;861.7775;
5252109719823610;861.7787;
5252109759827047;861.7850;
5252109799828089;861.7825;
5252109839802047;861.7787;
5252109879808245;861.7762;
5252109919799026;861.7762;
5252109959799078;861.7787;
5252109999858818;861.7762;
5252110039827776;861.7800;
5252110079828089;861.7737;
5252110119831162;861.7725;
5252110159828610;861.7712;
5252110199825485;861.7725;
5252110239800328;861.7750;
5252110279823089;861.7775;
5252110319822151;861.7762;
5252110359824651;861.7775;
5252110399825485;861.7750;
5252110439824651;861.7750;
5252110479827568;861.7787;
5252110519829651;861.7725;
5252110559826735;861.7750;
5252110599825485;861.7725;
5252110639828610;861.7725;
5252110679830693;861.7750;
5252110719830381;861.7725;
5252110759827776;861.7813;
5252110799819495;861.7825;
5252110839800276;861.7838;
5252110879800745;861.7888;
5252110919800745;861.7888;
5252110959798297;861.7888;
5252110999825485;861.7888;
5252111039828610;861.7875;
5252111079830693;861.7937;
5252111119828297;861.8062;
5252111159829339;861.8000;
5252111199828922;861.7975;
5252111239826995;861.8000;
5252111279826526;861.8012;
5252111319825745;861.7962;
5252111359824235;861.8000;
5252111399825485;861.7975;
5252111439822568;861.7937;
5252111479823922;861.7975;
5252111519826214;861.8025;
5252111559831735;861.8025;
5252111599830693;861.7975;
5252111639830172;861.7975;
5252111679828089;861.7987;
5252111719826526;861.8012;
5252111759800485;861.7975;
5252111799818506;861.7962;
5252111839801318;861.8000;
5252111879801110;861.7925;
5252111919800381;861.7950;
5252111959849756;861.7925;
5252111999826735;861.8000;
5252112039828610;861.7937;
5252112079832464;861.7875;
5252112119831735;861.7775;
5252112159825485;861.7775;
5252112199826995;861.7762;
5252112239825693;861.7687;
5252112279824651;861.7712;
5252112319824235;861.7750;
5252112359824443;861.7750;
5252112399825276;861.7775;
5252112439825485;861.7787;
5252112479829131;861.7725;
5252112519826214;861.7737;
5252112559825485;861.7762;
5252112599828297;861.7787;
5252112639825693;861.7762;
5252112679828610;861.7775;
5252112719824651;861.7787;
5252112759841943;861.7800;
5252112799801839;861.7813;
5252112839802672;861.7800;
5252112879804443;861.7813;
5252112919809912;861.7850;
5252112959825485;861.7875;
