Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
707390134917345;-9.5462;0.1211;-2.0716;
707390145070939;-9.5267;0.1259;-2.0883;
707390155219168;-9.5291;0.1522;-2.0740;
707390165303283;-9.5462;0.1929;-2.0474;
707390175441981;-9.5219;0.2001;-2.0354;
707390185526095;-9.5243;0.2315;-2.0306;
707390195660002;-9.5100;0.2506;-2.0067;
707390205752970;-9.5267;0.2554;-2.0091;
707390215860627;-9.5366;0.2770;-2.0115;
707390225958127;-9.5315;0.2674;-2.0139;
707390236081929;-9.5342;0.2267;-2.0210;
707390246179116;-9.5366;0.2052;-2.0282;
707390256272658;-9.5390;0.1905;-2.0258;
707390266376824;-9.5315;0.1953;-2.0306;
707390276450991;-9.5315;0.1786;-2.0330;
707390286556147;-9.5315;0.1666;-1.9947;
707390296671512;-9.5342;0.1738;-2.0234;
707390306758752;-9.5315;0.1666;-2.0163;
707390316863960;-9.5172;0.0685;-1.9923;
707390326974741;-9.5605;0.0517;-1.9899;
707390337078387;-9.5219;0.0900;-2.0569;
707390347154741;-9.5243;0.1307;-2.0859;
707390357281824;-9.5414;0.1331;-2.0668;
707390367398074;-9.5605;0.1834;-2.0210;
707390377489533;-9.5390;0.2315;-1.9851;
707390387586043;-9.5366;0.2195;-1.9469;
707390397687866;-9.5533;0.1834;-1.9229;
707390407789949;-9.5533;0.1881;-1.9277;
707390417881929;-9.5342;0.1977;-1.9947;
707390427998074;-9.5291;0.2124;-2.0402;
707390438098179;-9.5124;0.1427;-2.0354;
707390448196199;-9.5581;0.1379;-2.0521;
707390458302866;-9.5510;0.1570;-2.0019;
707390468417085;-9.5438;0.1475;-2.0067;
707390478504741;-9.5267;0.1666;-1.9923;
707390488608699;-9.5390;0.1690;-1.9660;
707390498709168;-9.5629;0.1810;-1.9851;
707390508824949;-9.5438;0.2148;-1.9947;
707390518911616;-9.5486;0.2267;-2.0282;
707390529016616;-9.5438;0.1881;-2.0115;
707390539124585;-9.5438;0.1187;-1.9851;
707390549222293;-9.5390;0.0948;-2.0234;
