Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
552020690327183;859.5625;
552020730298850;859.5363;
552020770325621;859.5062;
552020810325100;859.4812;
552020850326610;859.4600;
552020890325100;859.4437;
552020930298329;859.4312;
552020970324527;859.4225;
552021010324787;859.4150;
552021050324787;859.4100;
552021090324266;859.4063;
552021130296871;859.4063;
552021170324266;859.4025;
552021210322704;859.3962;
552021250316454;859.3975;
552021290324266;859.3975;
552021330297079;859.3962;
552021370324787;859.3962;
552021410323746;859.3887;
552021450327391;859.3937;
552021490302600;859.3937;
552021530298121;859.3925;
552021570298641;859.3900;
552021610304683;859.3850;
552021650323225;859.3825;
552021690326871;859.3875;
552021730297600;859.3900;
552021770328693;859.3837;
552021810327183;859.3800;
552021850326871;859.3837;
552021890328225;859.3812;
552021930320933;859.3850;
552021970325308;859.3875;
552022010323537;859.3887;
552022050325621;859.3862;
552022090322443;859.3900;
552022130297391;859.3937;
552022170323537;859.3937;
552022210321975;859.3975;
552022250323016;859.4037;
552022290323537;859.4025;
552022330327183;859.3975;
552022370321975;859.3975;
552022410298954;859.3937;
552022450299943;859.3987;
552022490298954;859.3987;
552022530306871;859.3975;
552022570323537;859.3887;
552022610323016;859.3850;
552022650325621;859.3850;
552022690323537;859.3812;
552022730320933;859.3787;
552022770326141;859.3750;
552022810323746;859.3737;
552022850325100;859.3712;
552022890324527;859.3712;
552022930322443;859.3700;
552022970323746;859.3712;
552023010325100;859.3725;
552023050325829;859.3750;
552023090323225;859.3737;
552023130321141;859.3762;
552023170322704;859.3787;
552023210320933;859.3750;
552023250327704;859.3775;
552023290296975;859.3762;
552023330319579;859.3787;
552023370300360;859.3775;
552023410298954;859.3800;
552023450300829;859.3812;
552023490339891;859.3800;
552023530320933;859.3812;
552023570322704;859.3787;
552023610321662;859.3775;
552023650324527;859.3825;
552023690317808;859.3862;
552023730321662;859.3862;
552023770325621;859.3875;
552023810324527;859.3937;
552023850326871;859.3875;
552023890323537;859.3862;
552023930297287;859.3850;
