Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
2373200970236;4779.0000;
2373334307683;4774.0000;
2373400973465;4774.0000;
2373534280965;4775.0000;
2373600987527;4763.0000;
2373734279923;4721.0000;
2373867597423;4686.0000;
2373934276590;4685.0000;
2374067629298;4727.0000;
2374134275548;4856.0000;
2374267633152;4855.0000;
2374334273933;4788.0000;
2374467630861;4782.0000;
2374534271590;4774.0000;
2374667627736;4767.0000;
2374734270392;4758.0000;
2374867605236;4747.0000;
2374934252319;4732.0000;
2375067601486;4718.0000;
2375134250236;4708.0000;
2375267629506;4701.0000;
2375400930340;4701.0000;
2375467623569;4707.0000;
2375600952423;4706.0000;
2375667620756;4699.0000;
2375800955340;4692.0000;
2375867590340;4687.0000;
2376000950965;4685.0000;
2376067614090;4682.0000;
