TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
690187168743466;1630097941000;40.244732400000;-111.638664980000;1391.4309;0.4300;181.3000;5.91407490;9.38576126;1.05999994;5.56678915;
690188168743935;1630097942000;40.244726500000;-111.638635580000;1383.9165;0.0000;-3000.0000;5.34949923;8.25304890;0.08602326;-1.00000000;
690189168743623;1630097943000;40.244712790000;-111.638631520000;1383.1462;0.0000;-3000.0000;4.84221792;7.48896027;0.08062258;-1.00000000;
690190168743570;1630097944000;40.244709550000;-111.638644070000;1386.8776;0.4500;181.3000;3.83998966;5.92680311;1.05999994;6.67598343;
690191168743623;1630097945000;40.244689050000;-111.638634800000;1382.9037;1.8300;172.5000;3.79009247;4.80854177;0.13892443;2.78714538;
690192168743727;1630097946000;40.244672130000;-111.638629420000;1383.3220;2.0200;173.0000;3.79009247;4.39243841;0.73006850;18.82520485;
690193168743466;1630097947000;40.244642850000;-111.638625940000;1382.8832;3.4500;172.1000;3.79009247;3.77260089;0.74813098;11.19652367;
690194168743779;1630097948000;40.244609770000;-111.638620360000;1382.7056;3.6400;173.0000;3.79009247;3.45519018;0.17000000;1.46838760;
690195168743674;1630097949000;40.244575710000;-111.638619090000;1381.0845;4.0400;178.1000;3.79009247;3.42914748;0.17000000;1.42783093;
690196168743883;1630097950000;40.244537070000;-111.638618910000;1381.7312;4.6500;178.8000;3.79009247;3.12836862;0.29154760;2.17622900;
690197168743570;1630097951000;40.244494170000;-111.638617400000;1381.1598;4.8900;177.3000;3.79009247;3.01543665;0.30528677;2.22916412;
690198168744143;1630097952000;40.244444600000;-111.638618100000;1379.8768;5.5100;175.4000;3.79009247;2.76255941;0.19723083;1.18876493;
690199168743831;1630097953000;40.244394070000;-111.638618330000;1380.3658;5.6500;182.1000;3.79009247;2.81726718;0.28600699;1.98626661;
690200168743935;1630097954000;40.244338070000;-111.638619450000;1380.5359;6.2500;181.1000;3.79009247;2.76010013;0.64202803;4.11516047;
690201168743363;1630097955000;40.244282340000;-111.638621820000;1380.8705;6.0800;183.3000;3.79009247;2.60413361;0.33600596;2.22157526;
690202168744039;1630097956000;40.244223920000;-111.638617180000;1381.1897;6.7200;174.6000;3.79009247;2.52084041;0.42438191;2.33367038;
690203168744143;1630097957000;40.244163550000;-111.638621790000;1382.1368;6.7800;180.2000;3.79009247;2.73466015;0.42190045;2.11738729;
690204168743831;1630097958000;40.244096460000;-111.638615470000;1381.4452;6.9800;178.9000;3.79009247;2.72984362;0.24186774;1.13649011;
690205168743831;1630097959000;40.244037750000;-111.638614160000;1381.0313;6.5300;182.6000;3.79009247;2.62997079;0.30000001;1.86825073;
690206168743258;1630097960000;40.243975360000;-111.638610700000;1381.4960;7.2000;177.5000;3.79009247;2.59188342;0.49040800;2.79614210;
690207168743727;1630097961000;40.243911740000;-111.638613810000;1381.8314;6.9300;180.3000;3.79009247;2.53513050;0.44821870;2.63131022;
690208168743570;1630097962000;40.243847520000;-111.638620250000;1380.6888;6.4900;183.9000;3.79009247;2.52930140;1.11830223;3.42990732;
690209168743466;1630097963000;40.243785370000;-111.638631860000;1380.2583;6.7700;182.6000;3.79009247;2.55027699;1.11305881;7.87699413;
690210168743779;1630097964000;40.243721440000;-111.638633360000;1379.8965;7.0200;181.3000;3.79009247;2.50000000;1.08558738;8.65694618;
690211168744195;1630097965000;40.243661230000;-111.638629120000;1379.3951;6.9000;179.2000;3.79009247;2.50000000;1.14586210;9.16168880;
