Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
1184023434809991;-9.0885;0.1786;-3.5207;
1184023444907282;-9.2393;-0.4011;-3.0918;
1184023455010355;-9.4262;-0.7675;-2.6249;
1184023465113428;-9.3544;-1.0693;-2.3399;
1184023475208012;-9.1053;-1.2730;-2.5576;
1184023485311084;-8.9806;-1.3089;-2.8956;
1184023495414157;-8.9734;-1.3161;-2.9722;
1184023505534314;-9.0431;-1.4886;-2.7996;
1184023515637439;-9.1890;-1.4838;-2.8044;
1184023525698116;-9.3473;-1.2586;-2.6154;
1184023535801189;-9.4095;-0.9114;-2.3109;
1184023545904209;-9.2489;-0.6861;-2.2917;
1184023556021970;-9.1651;-0.2166;-2.9291;
1184023566125043;-8.9566;0.4158;-3.6452;
1184023576228116;-8.8250;1.0026;-4.3113;
1184023586345928;-8.5328;1.4818;-4.9292;
1184023596449001;-8.3626;2.1168;-5.2935;
1184023606552074;-8.2382;2.4664;-5.1712;
1184023616625199;-8.0369;2.7849;-4.7231;
1184023626728324;-7.9241;3.2474;-5.6384;
1184023636831345;-7.7447;7.2191;-10.9301;
1184023646929001;-6.8919;11.5286;-15.1941;
1184023657032126;-7.5649;6.0882;-6.6613;
1184023667135147;-10.2694;-0.9951;0.2043;
1184023677225199;-11.4769;0.1068;-1.6044;
1184023687328272;-8.5137;1.6041;-2.8259;
1184023697431345;-7.2966;1.0316;-4.6896;
1184023707545303;-9.3114;1.2565;-9.0087;
1184023717648376;-7.9986;1.9872;-8.0985;
1184023727751449;-6.9948;2.4784;-4.6418;
1184023737832855;-9.0048;3.3048;-4.5365;
1184023747935980;-12.0111;4.3947;-4.1124;
1184023758039053;-11.3378;5.5759;-2.0282;
1184023768144209;-8.5041;6.1962;-2.4045;
1184023778247334;-7.0522;5.3602;-5.2071;
1184023788350407;-6.4654;4.0044;-6.3305;
1184023798449001;-6.4056;3.3526;-5.5618;
1184023808552126;-8.5926;3.1011;-5.6192;
1184023818655199;-10.3439;2.8687;-5.1257;
1184023828764157;-8.6644;2.3731;-4.2347;
1184023838867230;-8.4849;1.4004;-7.2027;
1184023848970303;-11.3593;-0.0248;-9.6006;
1184023859059574;-10.5927;-0.2668;-5.2382;
1184023869162647;-6.8462;0.7681;-1.2353;
1184023879265720;-8.4033;1.1369;-2.4476;
1184023889369678;-10.0179;0.8662;-2.6584;
1184023899472751;-8.5950;0.9045;-0.9072;
1184023909575824;-7.2775;1.1130;-0.8593;
1184023919683793;-7.1674;0.7490;-1.8894;
1184023929786866;-7.7566;0.2602;-2.1529;
1184023939889939;-9.2130;-0.2620;-0.9024;
1184023949981032;-8.7772;-1.1892;-0.3778;
1184023960084105;-9.9556;-3.1510;-4.5365;
1184023970187178;-17.0103;-4.9119;-9.3682;
1184023980267595;-14.8328;-4.1261;-6.8527;
1184023990370720;-6.6236;-2.2337;-0.6796;
1184024000473793;-5.0067;-0.8779;-1.0558;
1184024010583428;-6.7624;0.0900;-3.5064;
1184024020686501;-7.7949;0.6625;-2.6895;
1184024030789574;-8.2406;1.8051;-1.6068;
1184024040903376;-9.7208;3.0102;-3.8321;
1184024051006449;-10.5520;2.6868;-5.9450;
1184024061109522;-11.2014;2.5741;-6.4337;
1184024071199678;-9.2970;2.0518;-6.4409;
1184024081302751;-8.0058;1.9394;-7.0301;
1184024091405824;-6.2952;1.6304;-5.8083;
1184024101507387;-5.2869;2.1168;-4.6705;
1184024111610459;-7.4883;3.4005;-5.1185;
1184024121713532;-8.9255;4.9289;-4.3113;
1184024131807022;-7.9436;5.3746;-3.8441;
1184024141910095;-8.3435;4.0642;-5.5738;
1184024152013168;-8.5735;2.1479;-6.6326;
1184024162100980;-9.1866;0.3153;-5.2262;
1184024172204105;-9.1795;-2.2887;-5.7796;
1184024182307178;-9.6108;-3.8097;-9.5453;
1184024192412282;-11.0432;-3.6494;-10.7360;
1184024202515355;-9.3377;-2.8516;-7.0134;
1184024212618428;-7.5147;-1.5485;-3.4537;
1184024222710251;-6.1564;-1.0525;-2.8546;
1184024232813376;-5.1359;-0.7196;-4.1913;
1184024242916449;-3.3392;0.0398;-5.7628;
1184024253022595;-12.3105;-0.2022;-7.6552;
1184024263125668;-17.2283;1.9322;-3.9544;
1184024273228741;-11.0240;2.3130;1.6056;
1184024283332387;-8.4200;1.5538;-3.2692;
1184024293435459;-7.7614;0.8375;-7.8685;
1184024303538532;-2.9632;0.3942;-5.8035;
1184024313644262;-0.6849;-0.7436;-5.8035;
1184024323747334;-5.9456;-1.5389;-11.1096;
1184024333850407;-14.2938;-1.7737;-13.7925;
1184024343947907;-12.4349;1.3167;-6.2946;
1184024354050980;-7.1770;2.6414;0.1971;
1184024364154053;-7.5434;3.0963;-1.6762;
1184024374239366;-7.7638;2.3755;-5.5232;
1184024384342439;-9.0814;0.6601;-7.3558;
1184024394445512;-8.9040;-0.0033;-10.4892;
1184024404542022;-11.6683;-1.1892;-12.7313;
1184024414645095;-7.9316;2.9432;-5.4179;
1184024424748168;-0.9389;4.1336;-1.1300;
1184024434839522;-4.5849;0.1116;-8.8962;
1184024444942647;-11.2014;0.4783;-12.1301;
1184024455045720;-5.3180;3.6066;-4.2203;
1184024465169105;-8.4921;2.7610;-2.3204;
1184024475272178;-16.9361;2.9504;-7.9475;
1184024485375251;-14.8376;2.7730;-6.7403;
1184024495455512;-8.2430;2.0279;-5.3007;
1184024505558584;-3.9670;0.7633;-8.0722;
1184024515661657;-3.5979;1.7046;-8.5585;
1184024525746918;-1.9235;3.7935;-5.6312;
1184024535848741;-7.4094;6.5363;-0.8785;
1184024545950512;-10.6289;7.6310;5.5104;
1184024556050355;-14.5741;5.6740;4.1928;
1184024566152126;-16.5745;2.8400;0.0269;
1184024576253949;-8.3291;0.8447;-0.3323;
1184024586403116;-8.4320;-0.5447;-3.0511;
1184024596504939;-11.6683;-1.0836;1.3205;
1184024606606762;-9.6036;-3.7499;5.6109;
1184024616648116;-10.8012;-4.1644;3.1842;
1184024626749939;-13.4913;-5.5872;3.2895;
1184024636851709;-9.8958;-5.6542;4.9475;
1184024646986345;-8.6453;-5.0052;1.9241;
1184024657088220;-13.1010;-4.0708;-1.0510;
1184024667190043;-14.2316;-3.2085;1.1121;
1184024677261032;-8.9495;-3.1941;3.4071;
1184024687362855;-11.0527;-2.8923;1.6343;
1184024697464678;-9.6203;-2.2552;1.1554;
1184024707600824;-10.1856;-0.2931;-0.6173;
1184024717702647;-7.8500;-0.0200;-2.2630;
1184024727804470;-11.1317;1.5849;-6.9416;
1184024737910720;-12.9739;1.1082;-2.0354;
1184024748012543;-7.2057;0.7825;3.1819;
1184024758114366;-9.2731;1.5248;-1.9253;
1184024768205928;-8.4296;1.5538;-3.4346;
1184024778307751;-6.2833;1.6400;-5.6097;
1184024788409574;-6.8462;0.9858;-6.7164;
1184024798520928;-8.1852;0.7370;-5.3198;
1184024808622751;-12.7729;0.5907;-5.0827;
1184024818724574;-9.2803;1.2613;-3.2979;
1184024828799470;-4.6974;2.0207;-6.6036;
1184024838901293;-14.3321;2.3177;-7.3199;
1184024849003116;-11.4266;0.8566;-2.6560;
1184024859106762;-6.6500;1.5849;-4.7665;
1184024869208584;-9.5725;1.2685;-6.6589;
1184024879310407;-8.6070;2.0207;-6.2109;
1184024889416137;-5.3515;2.8663;-4.9938;
1184024899517959;-4.5299;2.4114;-4.1315;
1184024909619782;-12.6553;1.9705;-4.1530;
1184024919721762;-10.9451;1.4291;-2.6297;
1184024929823584;-5.2436;1.4076;-6.7546;
1184024939925407;-13.4554;0.1092;-10.2975;
1184024950028428;-8.8848;0.5429;-5.2143;
1184024960130303;-0.1989;2.0423;-1.0391;
1184024970232074;-3.8877;0.6936;-5.0707;
1184024980326032;-12.2626;-0.8946;-10.2449;
1184024990427855;-14.5334;-0.4107;-6.0984;
1184025000529678;-9.7352;1.4530;-1.5637;
1184025010634262;-10.9881;0.1929;-2.5648;
1184025020736084;-12.4469;-0.5638;-2.7900;
1184025030837907;-3.3873;-0.4202;3.1149;
1184025040950824;-1.4755;-0.2692;-1.1252;
1184025051052647;-11.3928;0.3727;-6.5486;
1184025061154470;-12.1331;1.6735;-3.4202;
1184025071248949;-7.6008;0.7418;-2.4523;
1184025081350772;-7.2607;-0.7029;-6.7929;
1184025091452595;-15.4125;-0.6215;-6.6733;
1184025101548428;-10.3846;0.6529;0.5898;
1184025111650251;-6.0894;-0.1639;1.1456;
1184025121752074;-12.9523;-0.6933;-3.1854;
1184025131851032;-18.2656;-0.3843;-0.3969;
1184025141952855;-8.0249;-0.2644;5.6037;
1184025152054678;-2.0674;-1.5437;1.6415;
1184025162157595;-9.8240;-2.5283;-3.3482;
1184025172259418;-11.0240;0.3703;-3.7651;
1184025182361241;-6.5515;1.3430;-5.8947;
1184025192459887;-7.7806;1.1895;-10.1994;
1184025202561709;-7.5290;1.2637;-8.5872;
1184025212663532;-11.1847;1.5873;-4.8287;
1184025222751397;-9.7304;-0.1208;1.7662;
1184025232853168;-9.2417;0.0972;2.2645;
1184025242954991;-13.7524;0.3320;-1.8846;
1184025253071970;-14.3082;1.1536;-1.9038;
1184025263173793;-5.4784;0.7199;-1.8105;
1184025273275616;-5.2436;0.7466;-4.6059;
1184025283364782;-11.5582;1.4291;-4.4886;
1184025293466605;-7.6681;2.2053;-3.8273;
1184025303568428;-9.8599;2.2938;-4.2682;
1184025313692074;-10.3268;2.7778;-2.5839;
1184025323793845;-6.3553;1.8628;-1.8703;
1184025333895720;-8.7915;0.9978;-6.3954;
1184025343969991;-9.8025;1.6472;-7.5356;
1184025354071814;-9.2154;2.3010;-7.3534;
1184025364173637;-4.9466;1.6567;-3.5877;
1184025374289991;-7.1411;2.1455;-2.1218;
1184025384391814;-8.2047;1.2808;-4.6394;
1184025394493637;-17.6620;0.9476;-5.4323;
1184025404588116;-6.0174;0.2411;-5.3868;
1184025414689991;-8.4081;0.3368;-4.6633;
1184025424791762;-9.3784;1.4100;-0.1549;
1184025434893845;-4.3382;1.3597;-3.0727;
1184025444995668;-13.9274;0.7896;-4.1794;
1184025455097491;-11.3115;0.4711;-2.9602;
1184025465217595;-5.1933;0.3176;-1.4462;
1184025475319418;-9.4693;1.2637;-0.4618;
1184025485421241;-7.1961;0.9165;-4.8622;
1184025495494314;-8.0656;1.1895;-6.7044;
1184025505596137;-13.6496;1.5419;-3.0751;
1184025515697907;-5.1718;1.1154;-2.3327;
1184025525800824;-8.9327;0.3846;-3.3793;
1184025535902439;-16.1647;1.1321;-3.5901;
1184025546004053;-8.9231;1.5586;1.4859;
1184025556102387;-4.4172;0.6745;-1.7288;
