Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
705602206709393;-9.4023;-0.4681;-2.4332;
705602216854810;-9.4047;-0.4992;-2.4117;
705602227028924;-9.3832;-0.4872;-2.4978;
705602237113612;-9.3616;-0.5375;-2.5170;
705602247233768;-9.3712;-0.5566;-2.5265;
705602257318456;-9.3975;-0.5518;-2.5098;
705602267454029;-9.4047;-0.5399;-2.4284;
705602277557466;-9.3832;-0.5064;-2.3806;
705602287665956;-9.4023;-0.4609;-2.4117;
705602297763247;-9.4023;-0.4274;-2.4308;
705602307866529;-9.3927;-0.4131;-2.4428;
705602317967987;-9.4143;-0.4131;-2.4763;
705602328052622;-9.3855;-0.4513;-2.4332;
705602338164758;-9.3855;-0.4968;-2.3877;
705602348224289;-9.4190;-0.5088;-2.3157;
705602358367518;-9.3999;-0.5303;-2.3662;
705602368449341;-9.4238;-0.5112;-2.4308;
705602378558872;-9.3784;-0.5207;-2.4523;
705602388658612;-9.3927;-0.4801;-2.4308;
705602398761529;-9.4047;-0.4944;-2.4093;
705602408866112;-9.3903;-0.5040;-2.3806;
705602418961945;-9.4023;-0.5423;-2.3901;
705602429065539;-9.4071;-0.5614;-2.3877;
705602439169706;-9.4023;-0.5686;-2.4165;
705602449263820;-9.3712;-0.5997;-2.4595;
705602459369185;-9.3951;-0.5997;-2.4523;
705602469464133;-9.4071;-0.5877;-2.4452;
705602479571112;-9.3951;-0.5734;-2.4236;
705602489676372;-9.3855;-0.5423;-2.4428;
705602499776529;-9.3927;-0.5303;-2.4452;
705602509877622;-9.3903;-0.5112;-2.4858;
705602519978456;-9.3449;-0.5112;-2.4954;
705602530092622;-9.3520;-0.5399;-2.5050;
705602540183768;-9.3832;-0.5590;-2.5050;
705602550293768;-9.3760;-0.5734;-2.5122;
705602560383456;-9.3712;-0.5925;-2.5074;
705602570510904;-9.3592;-0.5447;-2.5313;
705602580592310;-9.3808;-0.4872;-2.5193;
705602590695122;-9.3568;-0.5279;-2.4117;
705602600811581;-9.3760;-0.5183;-2.5146;
705602610899393;-9.3664;-0.3867;-2.5241;
705602620999029;-9.3879;-0.3915;-2.4236;
705602631106372;-9.4214;-0.4490;-2.5409;
705602641198143;-9.3544;-0.4609;-2.5217;
705602651306268;-9.3281;-0.4250;-2.4523;
705602661392831;-9.4214;-0.4466;-2.4476;
705602671523612;-9.4119;-0.5207;-2.3949;
705602681612726;-9.3736;-0.5183;-2.3614;
705602691712935;-9.4071;-0.4872;-2.4093;
705602701808976;-9.3855;-0.5351;-2.4165;
705602711923195;-9.3832;-0.6096;-2.4404;
705602722022362;-9.3975;-0.6263;-2.4476;
705602732121060;-9.4071;-0.6359;-2.4380;
705602742218195;-9.4071;-0.7101;-2.3997;
705602752316789;-9.3951;-0.7460;-2.2965;
705602762423872;-9.4190;-0.8082;-2.3037;
705602772540226;-9.4190;-0.8922;-2.3447;
705602782622414;-9.3879;-0.9616;-2.3710;
705602792722310;-9.4286;-0.9832;-2.4236;
705602802826372;-9.4310;-0.9616;-2.3590;
705602812931164;-9.4095;-0.9185;-2.2630;
705602823028872;-9.4190;-0.8177;-2.2702;
705602833127726;-9.4190;-0.6837;-2.3590;
705602843229601;-9.3927;-0.5518;-2.4284;
705602853350851;-9.4095;-0.5997;-2.4236;
705602863479341;-9.4334;-0.7699;-2.2798;
705602873560174;-9.4310;-0.7914;-2.3830;
705602883642414;-9.3736;-0.8249;-2.3901;
705602893733091;-9.3640;-0.8321;-2.3997;
705602903843976;-9.4071;-0.8850;-2.3085;
705602913957674;-9.4382;-0.9497;-2.2104;
705602924066737;-9.4214;-0.9712;-2.1793;
705602934213872;-9.4310;-0.9257;-2.1960;
705602944258404;-9.4286;-0.8779;-2.2343;
705602954332726;-9.4143;-0.8106;-2.2989;
705602964453716;-9.4382;-0.7484;-2.3590;
705602974547570;-9.4190;-0.6837;-2.3853;
705602984663612;-9.3951;-0.6502;-2.3423;
705602994739706;-9.3999;-0.6311;-2.3252;
705603004853351;-9.4262;-0.6335;-2.3037;
705603014955435;-9.4167;-0.6383;-2.3276;
705603025066060;-9.3951;-0.6335;-2.3830;
705603035178456;-9.3760;-0.5925;-2.3973;
705603045281216;-9.3760;-0.5495;-2.4188;
705603055376112;-9.3832;-0.4944;-2.4308;
705603065496216;-9.3568;-0.4490;-2.4691;
705603075569706;-9.3592;-0.3820;-2.4787;
705603085694549;-9.3736;-0.3556;-2.5265;
705603095785851;-9.3425;-0.3413;-2.5289;
705603105894029;-9.3520;-0.3051;-2.5481;
705603115986476;-9.3664;-0.3099;-2.5600;
705603126081893;-9.3688;-0.3485;-2.5313;
705603136202518;-9.3568;-0.3963;-2.5241;
705603146309029;-9.3305;-0.4274;-2.5457;
705603156407049;-9.3281;-0.5040;-2.5026;
705603166508456;-9.3257;-0.5255;-2.4691;
705603176611529;-9.3544;-0.4729;-2.4691;
