Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
690907766317521;24.8880;19.7274;8.1252;
690907776317521;24.8880;19.7274;8.1252;
690907787713563;39.2718;18.2024;8.7352;
690907797713563;39.3572;18.2756;8.6986;
690907807713563;39.3816;18.2878;8.7352;
690907817713563;39.4182;18.3488;8.6132;
690907827713563;39.3572;18.3488;8.6986;
690907837713563;39.3084;18.3122;8.7962;
690907847713563;39.3694;18.3366;8.7596;
690907857713563;39.3328;18.3244;8.9060;
690907867713563;39.1376;18.3244;9.1256;
690907877713563;39.0522;18.2878;9.3208;
690907887713563;39.0034;18.2512;9.4916;
690907897713563;38.8936;18.1536;9.6868;
690907907713563;38.9424;18.0682;9.8454;
690907917713563;38.9424;18.0438;9.9674;
690907927713563;38.9424;17.9950;10.3212;
690907937713563;39.1376;17.9340;10.4066;
690907947713563;39.2962;17.8608;10.4554;
690907957713563;39.4304;17.7510;10.5164;
690907967713563;39.3816;17.6412;10.6506;
690907977713563;39.3572;17.4704;10.9922;
690907987713563;39.4182;17.3728;11.3460;
690907997713563;39.4548;17.1410;11.6754;
690908007713563;39.5768;16.9824;11.8706;
690908017713563;39.5036;16.7628;12.1512;
690908027713563;39.3328;16.5310;12.8222;
690908037713563;39.1498;16.2992;13.6030;
690908047713563;39.0888;16.0064;14.2374;
690908057713563;39.1132;15.8356;14.8718;
690908067713563;38.8448;15.5794;15.3476;
690908077713563;38.6130;15.3232;15.9942;
690908087713563;38.3080;15.0670;16.6774;
690908097713563;37.9176;14.8474;17.4460;
690908107713563;37.6004;14.7010;18.1170;
690908117713563;37.2710;14.5790;18.6172;
690908127713563;37.0392;14.5058;19.0076;
690908137713563;36.7342;14.4570;19.4712;
690908147713563;36.4048;14.3838;19.9958;
690908157713563;36.2828;14.4570;20.2764;
690908167713563;36.0754;14.4814;20.5814;
690908177713563;35.9046;14.5058;20.8498;
690908187713563;35.7948;14.4936;21.0206;
690908197713563;35.5142;14.3716;21.2036;
690908207713563;35.2946;14.3838;21.5574;
690908217713563;34.9652;14.3716;21.8868;
690908227713563;34.6114;14.3350;22.2284;
690908237713563;34.3552;14.3106;22.5212;
690908247713563;34.0502;14.2252;22.7530;
690908257713563;34.0624;14.2374;22.8384;
690908267713563;34.0258;14.2496;22.9360;
690908277713563;34.0014;14.2618;23.1068;
690908287713563;34.0990;14.2130;23.0458;
690908297713563;34.2088;14.1398;22.9116;
690908307713563;34.4284;14.1032;22.7652;
690908317713563;34.5382;14.0666;22.6554;
690908327713563;34.6602;14.0056;22.5578;
690908337713563;34.7822;13.9690;22.3992;
690908347713563;34.7822;13.8470;22.2406;
690908357713563;34.8920;13.8226;22.1430;
690908367713563;34.8432;13.8226;22.1674;
690908377713563;34.7578;13.7250;22.2772;
690908387713563;34.8920;13.6884;22.1796;
690908397713563;34.7456;13.5054;22.3504;
690908407713563;34.6114;13.4200;22.6066;
690908417713563;34.4772;13.3712;22.7774;
690908427713563;34.4040;13.3346;22.9360;
690908437713563;34.5382;13.3346;22.8628;
690908447713563;34.5016;13.2736;22.9604;
690908457713563;34.5748;13.2126;22.9604;
690908467713563;34.5504;13.1760;23.0336;
690908477713563;34.5504;13.1272;22.9848;
690908487713563;34.7090;13.1394;22.8140;
690908497713563;34.7944;13.0418;22.7408;
690908507713563;34.7578;12.9686;22.8628;
690908517713563;34.7700;12.8954;22.8628;
690908527713563;34.6236;12.7246;23.0092;
690908537713563;34.6236;12.7124;22.9726;
690908547713563;34.6236;12.6636;22.9360;
690908557713563;34.5504;12.6148;23.0824;
690908567713563;34.5016;12.5416;23.1434;
690908577713563;34.3552;12.4440;23.3752;
690908587713563;34.4162;12.3464;23.3142;
690908597713563;34.4284;12.2488;23.3020;
690908607713563;34.5992;12.2244;23.2288;
690908617713563;34.6358;12.1268;23.1800;
690908627713563;34.5138;12.0292;23.4972;
690908637713563;34.6480;11.9804;23.4728;
690908647713563;34.6968;11.9194;23.3020;
690908657713563;34.7334;11.9072;23.2654;
690908667713563;34.7578;11.8584;23.1068;
690908677713563;34.7456;11.7852;23.2044;
690908687713563;34.7578;11.7120;23.2288;
690908697713563;34.6968;11.6876;23.2898;
690908707713563;34.7456;11.6510;23.3020;
690908717713563;34.6846;11.5900;23.2654;
690908727713563;34.7212;11.4924;23.3264;
690908737713563;34.7944;11.4070;23.3386;
690908747713563;34.7334;11.3826;23.4484;
690908757713563;34.7212;11.3948;23.5216;
690908767713563;34.6968;11.3460;23.4972;
690908777713563;34.5992;11.2118;23.6924;
690908787713563;34.0990;11.1874;23.5582;
690908797713563;33.9892;11.1630;23.6802;
690908807713563;33.9526;11.1508;23.9364;
690908817713563;33.8062;11.1020;23.9364;
690908827713563;33.7696;11.0166;24.0218;
690908837713563;33.7696;10.9556;24.0218;
690908847713563;33.7086;10.9434;24.0706;
690908857713563;33.8672;10.9434;24.0584;
690908867713563;33.7452;10.8580;24.0706;
690908877713563;33.7940;10.7360;24.0584;
690908887713563;33.8550;10.6994;23.9852;
690908897713563;33.7696;10.6140;24.1804;
690908907713563;33.7574;10.6140;24.4122;
690908917713563;33.7086;10.5530;24.6562;
690908927713563;33.5744;10.4310;24.7294;
690908937713563;33.5866;10.3944;24.7172;
690908947713563;33.6842;10.3090;24.5952;
690908957713563;33.8550;10.3456;24.5220;
690908967713563;33.7940;10.2602;24.5830;
690908977713563;33.9282;10.2236;24.4976;
690908987713563;34.1234;10.1748;24.3634;
690908997713563;34.0868;10.0894;24.1926;
690909007713563;34.4040;10.1016;24.0462;
690909017713563;34.4894;10.0406;23.9364;
690909027713563;34.6114;10.0406;23.9486;
690909037713563;34.6358;9.9918;23.9120;
690909047713563;34.5748;9.8820;23.9974;
690909057713563;34.3918;9.7722;24.1804;
690909067713563;34.3064;9.6990;24.2414;
690909077713563;34.1356;9.6258;24.4610;
690909087713563;34.0502;9.5892;24.5830;
690909097713563;33.7696;9.5038;24.8514;
690909107713563;33.5866;9.4550;25.0588;
690909117713563;33.4890;9.4306;25.2296;
690909127713563;33.4280;9.3940;25.2784;
690909137713563;33.6354;9.4062;25.1076;
690909147713563;33.5378;9.3330;25.0710;
690909157713563;33.6720;9.3452;24.9368;
690909167713563;33.6842;9.3208;24.9490;
690909177713563;33.7818;9.2964;24.9246;
690909187713563;34.1112;9.3330;24.5708;
690909197713563;34.3064;9.3330;24.3390;
690909207713563;34.4650;9.3330;24.2414;
690909217713563;34.5260;9.3574;24.1316;
690909227713563;34.5016;9.3940;24.2292;
690909237713563;34.5016;9.3940;24.3268;
690909247713563;34.4284;9.3940;24.3878;
690909257713563;34.3430;9.3574;24.3634;
690909267713563;34.2942;9.3086;24.4488;
690909277713563;34.0258;9.2232;24.7172;
690909287713563;34.0502;9.2354;24.7172;
690909297713563;33.9648;9.2720;24.8758;
690909307713563;33.9770;9.2110;24.9124;
690909317713563;34.0258;9.1744;24.8880;
690909327713563;33.8916;9.0890;25.0100;
690909337713563;33.9770;9.1134;25.0710;
690909347713563;33.8672;9.1378;25.1686;
690909357713563;33.9282;9.1378;25.0954;
690909367713563;34.0014;9.1622;24.8636;
690909377713563;34.0624;9.0646;24.8392;
690909387713563;34.2576;9.0890;24.7294;
690909397713563;34.3552;9.1256;24.5464;
690909407713563;34.5870;9.1256;24.3146;
690909417713563;34.7578;9.1378;24.0218;
690909427713563;34.7456;9.0646;24.0828;
690909437713563;34.8066;9.0768;24.1072;
690909447713563;34.8066;9.0402;24.2048;
690909457713563;34.8188;9.0524;24.1682;
690909467713563;34.7578;9.0158;24.1072;
690909477713563;34.7456;8.9914;24.0340;
690909487713563;34.7944;9.0280;24.1194;
690909497713563;34.7212;9.0036;24.0828;
690909507713563;34.8676;9.0524;23.9486;
690909517713563;34.9042;9.0158;23.7046;
690909527713563;34.8188;9.0402;23.6558;
690909537713563;34.9286;9.0890;23.5338;
690909547713563;34.9530;9.1134;23.3874;
690909557713563;35.1482;9.1256;23.3142;
690909567713563;34.9652;9.1500;22.8994;
690909577713563;35.2092;9.1500;22.6188;
690909587713563;35.4166;9.2232;22.3626;
690909597713563;35.5142;9.2476;22.2894;
690909607713563;35.7460;9.2232;22.2650;
690909617713563;35.6972;9.1378;22.2162;
690909627713563;35.7460;9.1134;22.2162;
690909637713563;35.6606;9.1134;22.2772;
690909647713563;35.4654;9.0890;22.5578;
690909657713563;35.4166;9.1256;22.8384;
690909667713563;35.1970;9.0890;23.1068;
690909677713563;34.9408;9.0646;23.4118;
690909687713563;34.7700;9.0768;23.6070;
690909697713563;34.5260;9.0646;23.8754;
690909707713563;34.3674;9.1134;24.2780;
690909717713563;34.2820;9.0890;24.4244;
690909727713563;34.1844;9.0402;24.4610;
690909737713563;34.1478;9.0646;24.5220;
690909747713563;34.0746;9.0158;24.4976;
690909757713563;34.3552;9.0524;24.2658;
690909767713563;34.4406;9.0646;24.1438;
690909777713563;34.4528;9.0524;24.1804;
690909787713563;34.5504;9.0402;24.0340;
690909797713563;34.3430;8.9670;24.2292;
690909807713563;34.2576;8.9792;24.4732;
690909817713563;34.0746;8.9548;24.6440;
690909827713563;33.8428;8.9548;24.9368;
690909837713563;33.7330;8.9792;25.0954;
690909847713563;33.4402;8.9304;25.3028;
690909857713563;33.4768;8.9304;25.2296;
690909867713563;33.5012;8.9304;25.0954;
690909877713563;33.4890;8.9060;25.0344;
690909887713563;33.7086;8.9914;24.8514;
690909897713563;33.5988;8.9548;24.9002;
690909907713563;33.7086;8.9548;24.8026;
690909917713563;33.7818;8.9182;24.6318;
690909927713563;33.9892;8.8938;24.4366;
690909937713563;34.2332;8.9426;24.2048;
690909947713563;34.4162;8.9426;24.0218;
690909957713563;34.5992;8.9914;23.7778;
690909967713563;34.7212;8.9670;23.5704;
690909977713563;34.8798;8.9182;23.3142;
690909987713563;35.1360;8.9670;22.9482;
690909997713563;35.1360;8.9548;22.9848;
690910007713563;35.0872;8.9670;23.0702;
690910017713563;35.0628;9.0158;23.1068;
690910027713563;34.7578;9.0280;23.4118;
