Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
690907724504813;0.0007;0.0051;0.0072;
690907729558771;0.0007;0.0104;0.0083;
690907734598824;-0.0057;0.0029;0.0083;
690907739663459;-0.0100;-0.0003;0.0072;
690907744707730;-0.0079;0.0019;0.0093;
690907749773251;-0.0047;0.0040;0.0093;
690907754829084;-0.0015;0.0040;0.0093;
690907759884396;-0.0004;0.0029;0.0115;
690907764938459;0.0017;0.0040;0.0115;
690907769993199;-0.0004;0.0029;0.0125;
690907775047313;-0.0004;0.0019;0.0136;
690907780087990;0.0028;0.0029;0.0136;
690907785165855;0.0017;0.0019;0.0136;
690907790197782;-0.0004;0.0040;0.0115;
690907795262157;0.0007;0.0051;0.0136;
690907800318355;-0.0025;0.0051;0.0189;
690907805370855;-0.0036;0.0019;0.0168;
690907810427938;-0.0036;0.0029;0.0157;
690907815479032;-0.0057;0.0051;0.0189;
690907820543303;-0.0068;0.0072;0.0210;
690907825568146;-0.0057;0.0083;0.0210;
690907830646063;-0.0068;0.0051;0.0232;
690907835702417;-0.0068;0.0051;0.0232;
690907840757157;-0.0068;0.0072;0.0253;
690907845810021;-0.0100;0.0061;0.0232;
690907850867730;-0.0111;0.0083;0.0221;
690907855918042;-0.0111;0.0083;0.0253;
690907860974396;-0.0132;0.0072;0.0264;
690907866046532;-0.0111;0.0051;0.0274;
690907871078355;-0.0111;0.0061;0.0306;
690907876172730;-0.0142;0.0051;0.0328;
690907881196949;-0.0164;0.0093;0.0296;
690907886250907;-0.0153;0.0093;0.0317;
690907891289188;-0.0111;0.0104;0.0317;
690907896361271;0.0049;0.0125;0.0306;
690907901422105;0.0081;0.0104;0.0338;
690907906487574;-0.0047;0.0189;0.0370;
690907911524449;-0.0047;0.0115;0.0370;
690907916579032;-0.0036;0.0146;0.0423;
690907921638928;-0.0089;0.0125;0.0455;
690907926677782;-0.0079;0.0072;0.0466;
690907931744292;-0.0079;0.0061;0.0509;
690907936782469;-0.0100;0.0083;0.0530;
690907941850699;-0.0111;0.0072;0.0562;
690907946895386;-0.0089;0.0093;0.0605;
690907951961896;-0.0100;0.0083;0.0626;
690907957006428;-0.0121;0.0072;0.0647;
690907962072834;-0.0142;0.0136;0.0679;
690907967111063;-0.0164;0.0157;0.0711;
690907972178980;-0.0174;0.0178;0.0743;
690907977224396;-0.0174;0.0168;0.0764;
690907982290230;-0.0206;0.0168;0.0796;
690907987333094;-0.0238;0.0200;0.0839;
690907992399709;-0.0270;0.0189;0.0892;
690907997481636;-0.0270;0.0157;0.0935;
690908002503719;-0.0281;0.0157;0.0977;
690908007577938;-0.0281;0.0157;0.1020;
690908012620751;-0.0281;0.0168;0.1084;
690908017684813;-0.0281;0.0157;0.1126;
690908022730386;-0.0281;0.0146;0.1148;
690908027784396;-0.0281;0.0178;0.1201;
690908032836063;-0.0270;0.0178;0.1253;
690908037892938;-0.0292;0.0178;0.1317;
690908042944709;-0.0313;0.0200;0.1381;
690908048045438;-0.0313;0.0274;0.1360;
690908053055334;-0.0345;0.0317;0.1391;
690908058129813;-0.0409;0.0328;0.1402;
690908063163042;-0.0409;0.0402;0.1402;
690908068248355;-0.0356;0.0434;0.1434;
690908073271376;-0.0334;0.0466;0.1455;
690908078312782;-0.0377;0.0487;0.1487;
690908083383563;-0.0387;0.0455;0.1530;
690908088421792;-0.0377;0.0434;0.1541;
690908093493980;-0.0366;0.0445;0.1562;
690908098528355;-0.0345;0.0423;0.1573;
690908103594188;-0.0345;0.0423;0.1605;
690908108651063;-0.0377;0.0402;0.1636;
690908113712365;-0.0398;0.0391;0.1668;
690908118777626;-0.0377;0.0391;0.1690;
690908123832053;-0.0377;0.0402;0.1711;
690908128900021;-0.0419;0.0370;0.1732;
690908133932209;-0.0419;0.0391;0.1711;
690908139009917;-0.0387;0.0413;0.1732;
690908144049709;-0.0366;0.0413;0.1743;
690908149085438;-0.0377;0.0423;0.1743;
690908154152938;-0.0345;0.0445;0.1743;
690908159215907;-0.0366;0.0434;0.1743;
690908164260438;-0.0377;0.0455;0.1754;
690908169305178;-0.0366;0.0445;0.1754;
690908174370334;-0.0387;0.0434;0.1743;
690908179425334;-0.0419;0.0381;0.1743;
690908184474917;-0.0398;0.0370;0.1732;
690908189542730;-0.0387;0.0413;0.1754;
690908194588615;-0.0409;0.0434;0.1732;
690908199642053;-0.0419;0.0423;0.1743;
690908204699605;-0.0441;0.0423;0.1743;
690908209752313;-0.0441;0.0413;0.1754;
690908214808042;-0.0451;0.0381;0.1764;
690908219882574;-0.0494;0.0360;0.1743;
690908224943199;-0.0494;0.0328;0.1786;
690908229973876;-0.0515;0.0264;0.1796;
690908235028355;-0.0558;0.0274;0.1786;
690908240075855;-0.0601;0.0296;0.1796;
690908245144709;-0.0632;0.0285;0.1818;
690908250197105;-0.0675;0.0306;0.1828;
690908255250542;-0.0675;0.0360;0.1850;
690908260297105;-0.0643;0.0391;0.1871;
690908265381896;-0.0622;0.0391;0.1871;
690908270412782;-0.0590;0.0434;0.1871;
690908275466688;-0.0451;0.0551;0.1892;
690908280528355;-0.0270;0.0594;0.1924;
690908285582417;-0.0228;0.0583;0.1935;
690908290639344;-0.0260;0.0562;0.1935;
690908295689084;-0.0313;0.0519;0.1967;
690908300747730;-0.0366;0.0466;0.1988;
690908305801740;-0.0398;0.0423;0.2009;
690908310850438;-0.0462;0.0413;0.2031;
690908315903615;-0.0515;0.0413;0.2052;
690908320964032;-0.0569;0.0402;0.2063;
690908326022938;-0.0590;0.0381;0.2095;
690908331074605;-0.0654;0.0391;0.2084;
690908336129709;-0.0718;0.0423;0.2095;
690908341186949;-0.0782;0.0434;0.2095;
690908346256167;-0.0771;0.0466;0.2095;
690908351292105;-0.0771;0.0423;0.2095;
690908356334449;-0.0750;0.0487;0.2116;
690908361400438;-0.0377;0.0541;0.2126;
690908366419605;-0.0419;0.0285;0.2137;
690908371494553;-0.0728;0.0530;0.2148;
690908376571896;-0.0632;0.0466;0.2169;
690908381631949;-0.0462;0.0423;0.2190;
690908386663563;-0.0494;0.0423;0.2169;
690908391733771;-0.0547;0.0466;0.2148;
690908396774396;-0.0462;0.0519;0.2137;
690908401844084;-0.0441;0.0541;0.2116;
690908406889292;-0.0515;0.0551;0.2105;
690908411952938;-0.0547;0.0615;0.2095;
690908416987469;-0.0483;0.0668;0.2052;
690908422061532;-0.0441;0.0658;0.2052;
690908427117521;-0.0441;0.0605;0.2073;
690908432170126;-0.0483;0.0594;0.2041;
690908437209396;-0.0473;0.0594;0.2031;
690908442276688;-0.0505;0.0551;0.1999;
690908447321063;-0.0537;0.0477;0.1988;
690908452386115;-0.0505;0.0455;0.2009;
690908457461949;-0.0494;0.0477;0.1956;
690908462502834;-0.0515;0.0487;0.1903;
690908467570230;-0.0483;0.0562;0.1903;
690908472601532;-0.0441;0.0605;0.1913;
690908477653511;-0.0430;0.0615;0.1903;
690908482714917;-0.0473;0.0594;0.1850;
690908487765594;-0.0515;0.0615;0.1828;
690908492819449;-0.0473;0.0605;0.1786;
690908497860594;-0.0451;0.0562;0.1775;
690908502933042;-0.0451;0.0530;0.1764;
690908508033146;-0.0451;0.0519;0.1743;
690908513043199;-0.0430;0.0498;0.1711;
690908518097990;-0.0419;0.0455;0.1711;
690908523149605;-0.0377;0.0423;0.1700;
690908528207834;-0.0366;0.0370;0.1690;
690908533263771;-0.0366;0.0338;0.1679;
690908538302105;-0.0356;0.0349;0.1647;
690908543363980;-0.0345;0.0328;0.1626;
690908548439084;-0.0324;0.0328;0.1605;
690908553480230;-0.0334;0.0306;0.1594;
690908558512313;-0.0356;0.0306;0.1573;
690908563589813;-0.0334;0.0306;0.1519;
690908568657938;-0.0366;0.0296;0.1498;
690908573699084;-0.0366;0.0328;0.1509;
690908578748355;-0.0409;0.0360;0.1498;
690908583799501;-0.0441;0.0381;0.1455;
690908588867834;-0.0483;0.0317;0.1455;
690908593918042;-0.0537;0.0306;0.1445;
690908598961740;-0.0569;0.0274;0.1413;
690908604027105;-0.0569;0.0253;0.1381;
690908609068980;-0.0611;0.0296;0.1370;
690908614137782;-0.0632;0.0274;0.1370;
690908619194605;-0.0675;0.0274;0.1338;
690908624228199;-0.0675;0.0296;0.1328;
690908629315021;-0.0643;0.0296;0.1317;
690908634365438;-0.0611;0.0317;0.1296;
690908639421167;-0.0611;0.0381;0.1296;
690908644466688;-0.0611;0.0434;0.1285;
690908649524501;-0.0547;0.0466;0.1274;
690908654575855;-0.0526;0.0455;0.1274;
690908659631480;-0.0537;0.0402;0.1285;
690908664690021;-0.0526;0.0328;0.1306;
690908669750959;-0.0569;0.0296;0.1296;
690908674784553;-0.0579;0.0306;0.1253;
690908679860959;-0.0622;0.0285;0.1253;
690908684911584;-0.0611;0.0274;0.1264;
690908689949709;-0.0622;0.0253;0.1253;
690908695018146;-0.0632;0.0253;0.1274;
690908700074188;-0.0601;0.0242;0.1296;
690908705160542;-0.0590;0.0274;0.1317;
690908710181376;-0.0526;0.0264;0.1338;
690908715238199;-0.0473;0.0264;0.1338;
690908720289917;-0.0451;0.0296;0.1360;
690908725344292;-0.0441;0.0306;0.1370;
690908730399188;-0.0409;0.0306;0.1370;
690908735458667;-0.0366;0.0306;0.1370;
690908740511271;-0.0419;0.0391;0.1370;
690908745563563;-0.0409;0.0306;0.1391;
690908750621271;-0.0409;0.0274;0.1402;
690908755675751;-0.0483;0.0178;0.1402;
690908760730282;-0.0515;0.0264;0.1413;
690908765785021;-0.0505;0.0200;0.1434;
690908770843459;-0.0462;0.0210;0.1445;
690908775897365;-0.0430;0.0317;0.1434;
690908780955646;-0.0366;0.0328;0.1445;
690908786011480;-0.0419;0.0232;0.1445;
690908791054396;-0.0515;0.0338;0.1477;
690908796115126;-0.0483;0.0306;0.1445;
690908801178563;-0.0419;0.0370;0.1455;
690908806223615;-0.0483;0.0402;0.1423;
690908811282313;-0.0537;0.0360;0.1413;
690908816330855;-0.0569;0.0360;0.1455;
690908821388042;-0.0654;0.0402;0.1434;
690908826431532;-0.0686;0.0402;0.1434;
690908831495855;-0.0654;0.0519;0.1445;
690908836560282;-0.0824;0.0232;0.1434;
690908841610959;-0.1048;0.0370;0.1434;
690908846650021;-0.1059;0.0498;0.1402;
690908851716063;-0.1091;0.0594;0.1402;
690908856756740;-0.1144;0.0360;0.1434;
690908861830646;-0.1069;0.0423;0.1445;
690908866886011;-0.1037;0.0381;0.1445;
690908871926324;-0.0952;0.0360;0.1466;
690908876978771;-0.0846;0.0338;0.1477;
690908882031271;-0.0728;0.0487;0.1477;
690908887083771;-0.0590;0.0626;0.1466;
690908892136271;-0.0441;0.0647;0.1455;
690908897188771;-0.0366;0.0668;0.1434;
690908902263667;-0.0366;0.0583;0.1434;
690908907316219;-0.0334;0.0509;0.1445;
690908912368667;-0.0345;0.0423;0.1445;
690908917421167;-0.0345;0.0317;0.1445;
690908922473667;-0.0324;0.0264;0.1455;
690908927526167;-0.0356;0.0189;0.1434;
690908932602834;-0.0419;0.0104;0.1391;
690908937655386;-0.0473;0.0093;0.1360;
690908942707834;-0.0483;0.0093;0.1317;
690908947760334;-0.0483;0.0104;0.1285;
690908952812834;-0.0483;0.0115;0.1242;
690908957865282;-0.0462;0.0125;0.1221;
690908962920230;-0.0419;0.0232;0.1190;
690908967972730;-0.0281;0.0423;0.1148;
690908973025230;-0.0121;0.0349;0.1137;
690908978077730;-0.0270;0.0221;0.1126;
690908983130230;-0.0345;0.0285;0.1137;
690908988182678;-0.0249;0.0157;0.1126;
690908993247209;-0.0206;0.0178;0.1095;
690908998299709;-0.0217;0.0125;0.1116;
690909003352209;-0.0217;0.0146;0.1084;
690909008404709;-0.0206;0.0178;0.1073;
690909013457209;-0.0164;0.0221;0.1052;
690909018509657;-0.0185;0.0264;0.1031;
690909023562417;-0.0206;0.0232;0.1009;
690909028614917;-0.0153;0.0274;0.0977;
690909033667417;-0.0164;0.0253;0.0945;
690909038719917;-0.0217;0.0253;0.0892;
690909043772417;-0.0174;0.0264;0.0881;
690909048824865;-0.0174;0.0274;0.0850;
690909053907001;-0.0217;0.0306;0.0807;
690909058959501;-0.0249;0.0296;0.0807;
690909064012053;-0.0206;0.0221;0.0786;
690909069064501;-0.0174;0.0168;0.0754;
690909074117001;-0.0217;0.0178;0.0732;
690909079169449;-0.0281;0.0221;0.0711;
