Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
598503197178309;2243.0000;
598503330534871;2243.0000;
598503397175705;2310.0000;
598503530534871;2338.0000;
598503597198517;2327.0000;
598503730529455;2315.0000;
598503863891434;2317.0000;
598503930528934;2324.0000;
598504063863309;2347.0000;
598504130527267;2159.0000;
598504263861121;2257.0000;
598504330502528;2317.0000;
598504463858205;2389.0000;
598504530524455;2539.0000;
598504663864142;2652.0000;
598504730517684;2646.0000;
598504863854142;2658.0000;
598504930516225;2791.0000;
598505063849767;2951.0000;
598505197184455;2934.0000;
598505263850028;2855.0000;
598505397155080;2793.0000;
598505463849871;2737.0000;
598505597203778;2688.0000;
598505663818830;2617.0000;
598505797157371;1239.0000;
598505863845809;1133.0000;
598505997147892;1133.0000;
598506063840600;1218.0000;
598506197144611;1230.0000;
598506263845392;1191.0000;
598506397186278;1164.0000;
598506463841225;1182.0000;
598506597146850;1186.0000;
598506730499246;1164.0000;
598506797140288;1157.0000;
598506930496955;1100.0000;
598506997138621;987.0000;
598507130499350;957.0000;
598507197135809;963.0000;
598507330471121;979.0000;
598507397153725;1003.0000;
598507530489246;1025.0000;
598507597130392;1044.0000;
598507730492996;1025.0000;
598507797130184;1001.0000;
598507930486746;1010.0000;
598508063825288;1060.0000;
598508130487111;1118.0000;
598508263817528;1139.0000;
598508330457788;1090.0000;
598508463816017;1052.0000;
598508530482528;1053.0000;
598508663793725;1044.0000;
598508730481538;1049.0000;
598508863816642;1089.0000;
598508930480600;1127.0000;
598509063810705;1119.0000;
598509130473517;1088.0000;
598509263808100;1064.0000;
598509330473361;1034.0000;
598509463779767;1016.0000;
598509597109871;1013.0000;
598509663803517;980.0000;
598509797108205;940.0000;
598509863802892;911.0000;
598509997122892;887.0000;
598510063802892;857.0000;
598510197110705;833.0000;
598510263798517;815.0000;
598510397115080;827.0000;
598510463769350;891.0000;
598510597112996;1001.0000;
598510663794455;1065.0000;
598510797100288;1024.0000;
598510930460496;996.0000;
598510997136121;971.0000;
598511130430392;982.0000;
598511197100288;996.0000;
598511330454350;1002.0000;
598511397113205;1024.0000;
598511530452580;1046.0000;
598511597091017;1077.0000;
598511730449246;1100.0000;
598511797095028;1104.0000;
598511930451121;1100.0000;
598511997094455;1092.0000;
598512130421538;1079.0000;
598512197089038;1066.0000;
598512330447267;1043.0000;
598512463750496;988.0000;
598512530437788;972.0000;
598512663772892;961.0000;
598512730441121;945.0000;
598512863771538;939.0000;
598512930439663;935.0000;
598513063774559;928.0000;
598513130410809;908.0000;
598513263770392;871.0000;
598513330435392;841.0000;
598513463739350;795.0000;
598513530430392;765.0000;
598513663763517;750.0000;
598513797127111;741.0000;
598513863761434;736.0000;
598513997065600;734.0000;
598514063762996;728.0000;
598514197063725;717.0000;
598514263755809;720.0000;
598514397062684;716.0000;
598514463756121;704.0000;
598514597059455;718.0000;
598514663757996;720.0000;
598514797100444;720.0000;
598514863755392;708.0000;
598514997084767;682.0000;
598515063750080;650.0000;
598515197054350;622.0000;
598515330412475;598.0000;
598515397060809;582.0000;
598515530408778;578.0000;
598515597062892;581.0000;
598515730411017;599.0000;
598515797070705;615.0000;
598515930393205;622.0000;
598515997049142;646.0000;
598516130404871;681.0000;
598516197045080;704.0000;
598516330401017;727.0000;
598516397047059;726.0000;
598516530399194;745.0000;
598516663732475;773.0000;
598516730398413;801.0000;
598516863732059;825.0000;
598516930372163;839.0000;
598517063731017;830.0000;
598517130394871;824.0000;
598517263709455;819.0000;
598517330395288;821.0000;
598517463725184;813.0000;
598517530393413;795.0000;
598517663724142;765.0000;
598517730389611;727.0000;
598517863720600;707.0000;
598517997048934;707.0000;
598518063722684;712.0000;
598518197042892;740.0000;
598518263693621;785.0000;
598518397049559;791.0000;
598518463716278;780.0000;
598518597029611;752.0000;
598518663711121;714.0000;
598518797015705;697.0000;
598518863712944;691.0000;
