Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
259350416102929;30.8904;-12.6880;24.8758;
259350426102929;30.8904;-12.6880;24.8758;
259350437482460;30.9514;-12.7856;24.6684;
259350447482460;31.1344;-12.7368;24.5464;
259350457482460;31.0856;-12.7246;24.4610;
259350467482460;30.9636;-12.7490;24.5952;
259350477482460;31.0002;-12.7734;24.5098;
259350487482460;30.9636;-12.7856;24.4732;
259350497482460;30.9514;-12.7978;24.3634;
259350507482460;30.9514;-12.8222;24.2902;
259350517482460;30.8904;-12.8222;24.3878;
259350527482460;30.7684;-12.8588;24.4976;
259350537482460;30.7684;-12.8832;24.5586;
259350547482460;30.9392;-12.8588;24.3878;
259350557482460;30.8904;-12.8466;24.5220;
259350567482460;30.8538;-12.8588;24.7538;
259350577482460;30.8050;-12.8344;24.9490;
259350587482460;30.7318;-12.8466;25.2052;
259350597482460;30.6342;-12.8222;25.4370;
259350607482460;30.6342;-12.8344;25.5712;
259350617482460;30.6708;-12.8466;25.6200;
259350627482460;30.6464;-12.9076;25.6444;
259350637482460;30.7806;-12.8832;25.5224;
259350647482460;30.9148;-12.8710;25.3272;
259350657482460;31.0612;-12.8832;25.1564;
259350667482460;31.1832;-12.8710;24.9246;
259350677482460;31.3906;-12.8588;24.6562;
259350687482460;31.5858;-12.8344;24.3146;
259350697482460;31.6834;-12.8344;24.1682;
259350707482460;31.6346;-12.7612;24.2170;
259350717482460;31.5248;-12.7856;24.2902;
259350727482460;31.6834;-12.7734;24.0950;
259350737482460;31.7932;-12.7490;23.9486;
259350747482460;31.8786;-12.7246;23.7656;
259350757482460;31.9030;-12.7368;23.7046;
259350767482460;31.8298;-12.7368;23.7046;
259350777482460;31.7444;-12.7856;23.7534;
259350787482460;31.7322;-12.8466;23.7290;
259350797482460;31.7200;-12.9198;23.7290;
259350807482460;31.4272;-12.9686;24.0218;
259350817482460;31.3296;-13.0052;24.2048;
259350827482460;31.3052;-13.0784;24.3146;
259350837482460;31.3174;-13.1150;24.2902;
259350847482460;31.4028;-13.1638;24.2414;
259350857482460;31.5614;-13.1394;24.1072;
259350867482460;31.5858;-13.1394;24.1438;
259350877482460;31.6346;-13.1150;24.1194;
259350887482460;31.7566;-13.0662;24.0462;
259350897482460;31.7200;-13.1028;23.9974;
259350907482460;31.7200;-13.0540;24.0096;
259350917482460;31.6468;-13.0662;24.1316;
259350927482460;31.5370;-13.0174;24.2048;
259350937482460;31.4028;-13.0052;24.3878;
259350947482460;31.3052;-12.9564;24.4854;
259350957482460;31.2198;-12.9320;24.5586;
