TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
259390777754002;1630614767000;40.244831140000;-111.644264420000;1376.3744;8.0400;89.2000;3.79009247;2.50000000;0.64660650;2.72681975;
259391780852804;1630614768000;40.244832730000;-111.644167630000;1376.6722;7.7600;90.7000;3.79009247;2.50000000;0.45793012;2.01082826;
259392774998325;1630614769000;40.244836680000;-111.644072580000;1376.7810;8.0400;87.5000;3.79009247;2.50000000;0.22472206;0.96566731;
259393781759210;1630614770000;40.244838850000;-111.643986210000;1376.5358;7.2700;86.3000;3.79009247;2.50000000;0.16552946;0.62372273;
259394783327907;1630614771000;40.244846360000;-111.643900580000;1377.0223;7.3500;79.8000;3.79009247;2.50000000;0.32649654;1.37398136;
259395778666657;1630614772000;40.244850650000;-111.643810540000;1377.2809;7.7100;86.8000;3.79009247;2.50000000;0.47885281;1.97163594;
259396772717542;1630614773000;40.244843090000;-111.643720000000;1376.8738;7.5000;95.3000;3.79009247;2.50000000;0.35846898;1.59235322;
259397776795146;1630614774000;40.244839850000;-111.643638460000;1376.9349;6.7100;94.9000;3.79009247;2.50000000;0.52009612;3.08296061;
259398779108739;1630614775000;40.244832780000;-111.643550970000;1377.5920;7.4700;100.0000;3.79009247;2.50000000;0.47201696;2.49320817;
259399779474936;1630614776000;40.244830160000;-111.643483230000;1378.3925;6.0200;91.1000;3.79009247;2.50000000;0.34438351;1.70821786;
259400773446967;1630614777000;40.244825140000;-111.643419480000;1378.3699;5.1300;94.9000;3.79009247;2.50000000;0.82036579;7.55225897;
259401777465821;1630614778000;40.244810730000;-111.643370350000;1377.8695;4.1700;112.0000;3.79009247;2.50000000;0.90520716;10.20956516;
259402778030456;1630614779000;40.244808920000;-111.643334740000;1376.7643;2.4800;85.0000;3.79009247;2.50000000;0.60745370;8.69372177;
259403782207279;1630614780000;40.244817970000;-111.643316620000;1377.5139;1.8900;60.3000;3.79009247;2.50000000;0.34132096;6.29465818;
259404778981237;1630614781000;40.244826600000;-111.643300830000;1377.7677;1.6400;51.1000;3.79009247;2.50000000;1.12329876;13.35354233;
259405768545195;1630614782000;40.244845240000;-111.643291800000;1378.3920;2.5300;350.2000;3.79009247;2.50000000;0.32649654;3.85955048;
259406781364361;1630614783000;40.244866720000;-111.643310700000;1378.7002;3.5400;318.6000;3.79009247;2.50000000;0.09433981;1.05066383;
259407777093527;1630614784000;40.244884620000;-111.643343500000;1379.7305;3.9100;297.8000;3.79009247;2.50000000;0.46669048;5.48864222;
259408777920037;1630614785000;40.244880340000;-111.643407110000;1379.5337;5.7300;262.5000;3.79009247;2.50000000;0.44553339;3.62029576;
259409781524620;1630614786000;40.244881260000;-111.643473200000;1379.6182;6.3100;266.2000;3.79009247;2.50000000;0.17204651;1.05976462;
259410774963370;1630614787000;40.244874100000;-111.643551430000;1379.2998;6.9100;268.3000;3.79009247;2.50000000;0.28653097;1.33769858;
259411773922015;1630614788000;40.244874620000;-111.643638900000;1379.4635;7.6200;273.3000;3.79009247;2.50000000;0.20615529;0.71664119;
259412773878734;1630614789000;40.244870820000;-111.643728400000;1379.9573;8.0600;269.4000;3.79009247;2.50000000;0.11661904;0.49779138;
259413771421858;1630614790000;40.244859860000;-111.643823190000;1380.4786;8.3600;261.9000;3.79009247;2.50000000;0.10816654;0.51792496;
259414780056181;1630614791000;40.244855680000;-111.643921570000;1380.8304;8.4500;265.9000;3.79009247;2.50000000;0.18788294;0.67885751;
259415776662430;1630614792000;40.244858780000;-111.644015950000;1380.6188;8.2500;272.9000;3.79009247;2.50000000;0.18788294;0.62298799;
259416780529826;1630614793000;40.244859810000;-111.644117740000;1381.4797;8.4200;272.6000;3.79009247;2.50000000;0.31384709;1.29320848;
259417766517950;1630614794000;40.244859710000;-111.644216790000;1380.7896;8.2500;269.5000;3.79009247;2.50000000;0.51039201;2.26346397;
259418779559304;1630614795000;40.244865120000;-111.644312930000;1380.5302;8.1500;273.0000;3.79009247;2.50000000;0.33301651;1.79148173;
259419780348210;1630614796000;40.244864790000;-111.644411200000;1381.0275;8.0600;270.8000;3.79009247;2.50000000;0.51224995;3.25882149;
259420778007220;1630614797000;40.244859940000;-111.644508790000;1381.5565;8.0900;266.8000;3.79009247;2.50000000;0.46690470;2.77128339;
259421779338626;1630614798000;40.244859850000;-111.644600070000;1380.8383;7.8000;271.8000;3.79009247;2.50000000;0.43139309;2.64200687;
259422781507740;1630614799000;40.244861420000;-111.644693770000;1380.6656;7.9800;270.1000;3.79009247;2.50000000;0.42520583;2.60750008;
259423785675604;1630614800000;40.244862660000;-111.644791340000;1380.3820;8.1400;271.4000;3.79009247;2.50000000;0.10816654;0.51982409;
259424776692166;1630614801000;40.244869070000;-111.644890570000;1381.0374;8.3200;273.7000;3.79009247;2.50000000;0.11661904;0.47767600;
259425779344249;1630614802000;40.244866870000;-111.644983680000;1380.8514;8.0500;269.7000;3.79009247;2.50000000;0.34985712;1.46540856;
259426780477687;1630614803000;40.244871070000;-111.645079460000;1381.6771;8.1000;272.4000;3.79009247;2.50000000;0.60901558;2.40723372;
259427783751020;1630614804000;40.244865890000;-111.645171130000;1381.0004;7.8500;267.1000;3.79009247;2.50000000;0.55009091;2.07833886;
259428781468884;1630614805000;40.244870260000;-111.645264690000;1380.8785;8.0000;273.7000;3.79009247;2.50000000;0.64443773;3.49639845;
259429783646592;1630614806000;40.244869730000;-111.645358070000;1380.6912;7.9600;268.3000;3.79009247;2.50000000;0.53037721;3.02607846;
259430786421123;1630614807000;40.244871070000;-111.645454860000;1380.7891;8.2100;269.1000;3.79009247;2.50000000;0.46957427;1.66297853;
259431786789039;1630614808000;40.244865510000;-111.645553400000;1381.3595;8.5400;265.5000;3.79009247;2.50000000;0.69354165;2.52701259;
259432785962163;1630614809000;40.244863900000;-111.645643760000;1381.1721;7.8300;269.7000;3.79009247;2.50000000;0.84172440;4.79266977;
259433781285705;1630614810000;40.244865670000;-111.645739260000;1380.7688;8.0800;272.4000;3.79009247;2.50000000;0.84148675;4.76389122;
259434788084506;1630614811000;40.244873220000;-111.645842500000;1380.4294;8.2700;276.3000;3.79009247;2.50000000;0.38587564;1.60041714;
259435782954766;1630614812000;40.244876090000;-111.645935220000;1380.4373;8.3400;267.1000;3.79009247;2.50000000;0.12529965;0.51272750;
259436779756485;1630614813000;40.244870960000;-111.646034270000;1380.7185;8.0700;265.0000;3.79009247;2.50000000;0.10816654;0.49986377;
259437782859193;1630614814000;40.244868850000;-111.646130060000;1380.4966;8.1500;270.2000;3.79009247;2.50000000;0.31906113;1.36060286;
259438785041380;1630614815000;40.244868750000;-111.646217200000;1379.1661;7.1700;274.0000;3.79009247;2.50000000;0.32756677;1.57246196;
259439778771015;1630614816000;40.244865730000;-111.646293860000;1378.6648;6.0600;269.4000;3.79009247;2.50000000;0.13000000;0.61867338;
259440785122212;1630614817000;40.244865820000;-111.646354890000;1378.5294;4.7500;267.6000;3.79009247;2.50000000;0.13000000;0.78004676;
259441788551952;1630614818000;40.244866740000;-111.646400170000;1378.4999;3.3200;273.6000;3.79009247;2.50000000;0.13416408;1.16242313;
259442778650962;1630614819000;40.244865340000;-111.646432120000;1378.9314;2.3500;251.8000;3.79009247;2.50000000;0.12083046;1.55177319;
259443779446847;1630614820000;40.244852650000;-111.646458760000;1378.7721;3.0100;221.6000;3.79009247;2.50000000;0.08944272;1.03753674;
259444780202107;1630614821000;40.244820200000;-111.646452740000;1378.0437;3.8500;170.9000;3.79009247;2.50000000;0.07211103;0.76426810;
259445778186690;1630614822000;40.244798600000;-111.646424300000;1378.0424;4.0000;128.1000;3.79009247;2.50000000;0.08062258;0.71401250;
259446779481533;1630614823000;40.244788850000;-111.646389650000;1378.0548;3.3500;109.5000;3.79009247;2.50000000;0.22472206;2.32309508;
259447781036168;1630614824000;40.244788120000;-111.646362510000;1377.9174;1.7900;86.1000;3.79009247;2.50000000;0.44418466;8.28020477;
259448781525178;1630614825000;40.244790440000;-111.646356330000;1377.5155;0.0000;-3000.0000;3.79009247;3.06443167;0.09219544;-1.00000000;
259449777560803;1630614826000;40.244790790000;-111.646354700000;1377.2008;0.2500;89.5000;3.79009247;2.96847630;1.12507772;6.23795605;
259450781999188;1630614827000;40.244791300000;-111.646355550000;1376.0896;0.0000;-3000.0000;3.79009247;3.04030132;0.08062258;-1.00000000;
259451783020229;1630614828000;40.244791920000;-111.646357140000;1376.1207;0.0000;-3000.0000;3.79009247;3.17752242;0.08062258;-1.00000000;
259452778058770;1630614829000;40.244789710000;-111.646354750000;1376.4275;0.0000;-3000.0000;3.79009247;3.46869016;0.08602326;-1.00000000;
259453773109499;1630614830000;40.244789530000;-111.646353840000;1376.5656;0.0000;-3000.0000;3.79009247;3.26040697;0.08062258;-1.00000000;
