Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
4977504732220;861.4694;
4977544732220;861.4567;
4977584731699;861.4399;
4977624730970;861.4266;
4977664732012;861.4224;
4977704731699;861.4169;
4977744724512;861.4125;
4977784717116;861.4043;
4977824708053;861.4012;
4977864711595;861.4020;
4977904708262;861.3950;
4977944733574;861.3927;
4977984733783;861.3887;
4978024733783;861.3881;
4978064730970;861.3939;
4978104729928;861.3923;
4978144731699;861.3937;
4978184732012;861.3939;
4978224731491;861.3947;
4978264708158;861.3954;
4978304709303;861.3889;
4978344708470;861.3927;
4978384749408;861.3892;
4978424730970;861.3856;
4978464732012;861.3892;
4978504732272;861.3875;
4978544731178;861.3900;
4978584731439;861.3906;
4978624735137;861.3923;
4978664728887;861.3941;
4978704710345;861.3941;
4978744713470;861.3953;
4978784715345;861.3935;
4978824709616;861.3928;
4978864710449;861.3958;
4978904732741;861.3961;
4978944732480;861.3977;
4978984733574;861.3992;
4979024732220;861.3945;
4979064730970;861.3945;
4979104729408;861.3890;
4979144727741;861.3860;
4979184708105;861.3869;
4979224718887;861.3879;
4979264718105;861.3915;
4979304736908;861.3906;
4979344729928;861.3849;
4979384732012;861.3853;
4979424731699;861.3824;
4979464733262;861.3867;
4979504732012;861.3823;
4979544732480;861.3914;
4979584731439;861.3901;
4979624706178;861.3878;
4979664708522;861.3895;
4979704706387;861.3851;
4979744723262;861.3792;
4979784729928;861.3798;
4979824733574;861.3864;
4979864700137;861.3901;
4979904730970;861.3836;
4979944733262;861.3894;
4979984734824;861.3891;
4980024733783;861.3854;
4980064707116;861.3909;
4980104717741;861.3895;
4980144706803;861.3940;
4980184707116;861.3895;
4980224722220;861.3922;
4980264732012;861.3936;
4980304731178;861.3928;
4980344731178;861.3956;
4980384733262;861.3952;
4980424736647;861.3898;
4980464737220;861.3870;
4980504738262;861.3846;
4980544706283;861.3922;
4980584708158;861.3995;
4980624717897;861.3972;
4980664710658;861.3956;
4980704733053;861.3950;
4980744731491;861.3945;
4980784734564;861.3931;
4980824732220;861.3961;
4980864716803;861.3915;
4980904735345;861.3906;
4980944735866;861.3934;
4980984732480;861.3922;
4981024708158;861.3912;
4981064707897;861.3963;
4981104707897;861.3898;
4981144707220;861.3916;
4981184735345;861.3917;
4981224719980;861.3928;
4981264718470;861.3956;
4981304717897;861.3936;
4981344720762;861.3962;
4981384719772;861.3975;
