Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
1629741034838192;0.0031;-0.0016;-0.0116;
1629741044949078;0.0063;-0.0005;-0.0190;
1629741055056005;0.0041;-0.0048;-0.0169;
1629741065144651;0.0073;-0.0059;-0.0148;
1629741075250797;0.0063;-0.0069;-0.0137;
1629741085329286;0.0041;-0.0048;-0.0137;
1629741095441109;0.0041;-0.0059;-0.0126;
1629741105558244;0.0052;-0.0048;-0.0148;
1629741115663453;0.0063;-0.0027;-0.0148;
1629741125789338;0.0073;-0.0027;-0.0137;
1629741135885901;0.0084;-0.0037;-0.0126;
1629741145971161;0.0084;-0.0048;-0.0116;
1629741156078505;0.0063;-0.0069;-0.0095;
1629741166190901;0.0052;-0.0069;-0.0095;
1629741176298661;0.0063;-0.0048;-0.0095;
1629741186390588;0.0052;-0.0027;-0.0095;
1629741196485953;0.0084;-0.0016;-0.0126;
1629741206594026;0.0095;-0.0016;-0.0126;
1629741216728244;0.0063;-0.0048;-0.0105;
1629741226796057;0.0073;-0.0059;-0.0126;
1629741236901265;0.0116;-0.0080;-0.0126;
1629741247006161;0.0105;-0.0101;-0.0105;
1629741257136213;0.0095;-0.0080;-0.0084;
1629741267212099;0.0073;-0.0080;-0.0052;
1629741277313557;0.0063;-0.0101;-0.0031;
1629741287411682;0.0031;-0.0144;-0.0031;
1629741297525797;-0.0012;-0.0176;0.0023;
1629741307626369;-0.0044;-0.0197;0.0055;
1629741317724703;0.0009;-0.0154;0.0076;
1629741327827099;-0.0023;-0.0112;0.0119;
1629741337945484;-0.0097;-0.0016;0.0204;
1629741348051109;-0.0087;0.0027;0.0332;
1629741358149859;-0.0055;-0.0059;0.0438;
1629741368248869;-0.0033;-0.0091;0.0577;
1629741378356005;-0.0023;-0.0080;0.0768;
1629741388457255;-0.0023;-0.0037;0.0971;
1629741398560276;-0.0001;0.0059;0.1088;
1629741408662776;-0.0246;0.0250;0.1205;
1629741418764078;-0.0278;0.0218;0.1312;
1629741428861942;-0.0278;0.0261;0.1280;
1629741438971526;-0.0129;0.0250;0.1290;
1629741449074963;-0.0065;0.0154;0.1386;
1629741459179234;0.0244;0.0218;0.1589;
1629741469277307;0.1085;0.0272;0.1812;
1629741479385015;0.2043;0.0272;0.2089;
1629741489486578;0.2639;0.0314;0.2537;
1629741499594026;0.2415;0.0549;0.2941;
1629741509695640;0.1510;0.0591;0.3080;
1629741519803088;0.0212;0.0581;0.3229;
1629741529898140;-0.0854;0.0613;0.3399;
1629741540009234;-0.0790;0.0772;0.3581;
1629741550102932;-0.0662;0.0985;0.3762;
1629741560212203;-0.0747;0.1124;0.3911;
1629741570314390;-0.0672;0.1252;0.4007;
1629741580424911;-0.0640;0.1284;0.4102;
1629741590532776;-0.0662;0.1156;0.4134;
1629741600628401;-0.0662;0.0975;0.4102;
1629741610733349;-0.0598;0.0900;0.3996;
1629741620839963;-0.0545;0.0921;0.3847;
1629741630935744;-0.0459;0.0943;0.3698;
1629741641039911;-0.0353;0.0953;0.3538;
1629741651145692;-0.0268;0.0921;0.3314;
1629741661243869;-0.0310;0.0815;0.3048;
1629741671350119;-0.0278;0.0666;0.2803;
1629741681449494;-0.0214;0.0602;0.2622;
1629741691560119;-0.0161;0.0570;0.2441;
1629741701661786;-0.0097;0.0549;0.2292;
1629741711774547;0.0009;0.0570;0.2121;
1629741721872672;0.0009;0.0570;0.1972;
