Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7385429223253;37.5633;20.3906;12.1851;
7385439223253;36.0363;20.8361;14.0397;
7385449223253;37.0972;20.7465;13.0070;
7385459223253;37.0932;20.6695;12.9187;
7385469223253;36.2215;20.6931;13.4799;
7385479223253;36.0152;20.3750;13.9912;
7385489223253;37.5728;20.5455;12.6505;
7385499223253;36.6902;20.3385;13.1393;
7385509223253;37.8442;20.1776;11.9230;
7385519223253;37.7627;20.5551;11.6897;
7385529223253;36.9743;20.2773;12.1875;
7385539223253;37.8437;20.1774;11.8268;
7385549223253;37.7435;20.0197;12.6118;
7385559223253;37.3657;20.3021;12.3837;
7385569223253;37.6422;20.0119;11.9371;
7385579223253;37.5609;20.3143;12.3856;
7385589223253;37.4573;20.2301;11.9113;
7385599223253;37.5488;20.0078;12.7062;
7385609223253;37.7385;19.9422;12.3310;
7385619223253;38.2296;20.1244;11.6459;
7385629223253;37.8345;19.9475;12.0432;
7385639223253;37.7295;19.7875;11.9619;
7385649223253;37.3462;19.8418;12.6241;
7385659223253;36.4736;19.7899;13.6746;
7385669223253;37.1508;19.7544;13.2077;
7385679223253;37.0445;19.5186;13.5195;
7385689223253;36.6549;19.5699;13.0265;
7385699223253;37.4285;19.5399;12.3681;
7385709223253;37.1413;19.5995;12.7424;
7385719223253;36.9442;19.5113;13.0373;
7385729223253;36.6543;19.5696;12.9303;
7385739223253;36.3687;19.6300;13.5933;
7385749223253;37.3489;19.8431;13.1054;
7385759223253;36.7461;19.4226;13.1396;
7385769223253;36.1711;19.5415;13.7919;
7385779223253;36.7480;19.4986;12.8429;
7385789223253;37.3378;19.6874;12.3512;
7385799223253;36.6480;19.4163;13.0424;
7385809223253;37.2315;19.4517;12.6630;
7385819223253;37.3346;19.6859;11.7737;
7385829223253;35.9749;19.5289;13.5976;
7385839223253;36.4626;19.6343;12.9204;
7385849223253;35.5826;19.4286;13.8906;
7385859223253;36.1722;19.5421;13.9845;
7385869223253;35.7865;19.6704;13.5798;
7385879223253;35.9730;19.4528;13.8943;
