TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
707188464804495;1638636050446;40.229595360000;-111.646047520000;1368.2673;0.2100;20.3000;7.35674000;12.51868439;0.05830952;10.40057087;
707189439924630;1638636052000;40.229619730000;-111.646043910000;1367.8430;0.3100;89.3000;4.41789484;7.05869865;1.05999994;7.08799362;
707190439925151;1638636053000;40.229637230000;-111.646035440000;1371.4409;0.0000;-3000.0000;4.75896168;7.71700811;0.08602326;-1.00000000;
707191439925411;1638636054000;40.229641190000;-111.646037310000;1371.7748;0.3900;89.3000;3.98185205;5.78759193;1.07912004;8.07191658;
707192439925412;1638636055000;40.229638730000;-111.646019440000;1372.6339;1.6500;48.0000;3.81189299;5.28087139;0.17492856;3.69228363;
707193439925307;1638636056000;40.229647910000;-111.645986400000;1371.9149;2.7200;63.3000;3.79009247;4.43787718;0.06708204;0.86151153;
707194439924995;1638636057000;40.229656310000;-111.645952350000;1371.6112;3.3500;73.2000;3.79009247;3.82466555;0.20591260;2.08392787;
707195439924995;1638636058000;40.229658680000;-111.645908650000;1371.9489;4.2000;84.6000;3.79009247;3.36371970;0.32249030;2.58226061;
707196439925047;1638636059000;40.229658030000;-111.645857730000;1373.1768;4.5600;88.2000;3.79009247;2.97816706;0.18357560;1.40579367;
707197439925203;1638636060000;40.229645440000;-111.645803320000;1373.1783;5.2400;98.2000;3.79009247;2.93497491;0.15000001;1.13143396;
707198439925099;1638636061000;40.229648910000;-111.645742580000;1373.1741;5.1300;81.6000;3.79009247;2.74149895;0.42801869;3.29970527;
707199439924943;1638636062000;40.229649200000;-111.645679350000;1373.3160;5.3500;89.5000;3.79009247;2.77925825;0.55217749;3.96766424;
707200439925308;1638636063000;40.229651970000;-111.645605950000;1373.5557;6.1500;82.1000;3.79009247;2.77429914;0.36891735;2.13955331;
707201439925360;1638636064000;40.229657680000;-111.645531850000;1373.4192;6.1700;85.3000;3.79009247;2.63306880;0.15264338;0.92042762;
707202439924943;1638636065000;40.229662560000;-111.645458910000;1372.7178;6.2500;86.8000;3.79009247;2.50000000;0.06708204;0.38322574;
707203439924786;1638636066000;40.229664590000;-111.645384650000;1373.0168;6.4600;88.8000;3.79009247;2.50000000;0.06708204;0.33775863;
707204439924994;1638636067000;40.229660770000;-111.645307120000;1373.6030;6.3500;88.1000;3.79009247;2.50000000;1.07703292;3.15577507;
707205439925152;1638636068000;40.229661360000;-111.645229840000;1373.6229;6.5800;94.7000;3.79009247;2.50000000;1.08558738;7.76913881;
707206439925099;1638636069000;40.229657650000;-111.645153680000;1373.6082;6.5200;91.5000;3.79009247;2.53957629;1.43589687;10.68860054;
707207439925151;1638636070000;40.229653590000;-111.645069950000;1373.8556;6.8500;90.8000;3.79009247;2.56408191;1.11830223;9.04648876;
707208439925047;1638636071000;40.229656110000;-111.644990830000;1373.7749;6.7900;86.1000;3.79009247;2.50000000;1.10453606;1.55509901;
707209439925099;1638636072000;40.229659850000;-111.644917310000;1373.4464;6.7200;85.4000;3.79009247;2.50000000;1.09603834;1.88146424;
707210439925151;1638636073000;40.229657700000;-111.644837530000;1373.3691;6.7300;89.0000;3.79009247;2.50000000;1.12898183;2.21737647;
707211439925308;1638636074000;40.229655160000;-111.644763800000;1372.9681;6.3900;90.8000;3.79009247;2.60911512;1.32230854;2.54630256;
