TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
1180818578665228;1636812658000;40.236498190000;-111.658918770000;1366.8003;1.9800;259.8000;8.60518837;12.13060665;1.08756614;12.13916206;
1180819578007467;1636812659000;40.236499260000;-111.658954760000;1366.1173;2.6400;260.2000;6.83463240;9.37284851;1.20220625;18.74020767;
1180820584323665;1636812660000;40.236495370000;-111.659025250000;1363.4259;5.1400;270.7000;4.41936493;5.61065245;0.44045430;3.56291151;
1180821570487050;1636812661000;40.236510150000;-111.659083230000;1364.4880;5.2700;274.3000;3.94492197;4.63356400;0.38948685;3.56697392;
1180822579920174;1636812662000;40.236508970000;-111.659158010000;1364.4536;6.0500;269.9000;3.79009247;3.93378496;0.29832867;2.49800444;
1180823581122987;1636812663000;40.236515750000;-111.659233040000;1366.8748;6.5000;271.6000;3.79009247;3.73315001;0.24041630;1.70022357;
1180824580525747;1636812664000;40.236515440000;-111.659315410000;1368.3390;7.0300;271.7000;3.79009247;3.31396747;0.34058774;2.09655571;
1180825591495694;1636812665000;40.236514430000;-111.659404850000;1368.7826;7.3100;266.8000;3.79009247;2.95235324;0.25000000;1.37185943;
1180826581141058;1636812666000;40.236516260000;-111.659491430000;1369.7412;7.5200;271.9000;3.79009247;2.50907731;0.12806249;0.69483006;
1180827596809287;1636812667000;40.236515440000;-111.659582150000;1370.4373;7.8800;270.9000;3.79009247;2.50000000;0.14212671;0.75436097;
1180828588052828;1636812668000;40.236514100000;-111.659679400000;1370.8118;7.9700;269.6000;3.79009247;2.50000000;0.14212671;0.75823873;
1180829593310745;1636812669000;40.236516230000;-111.659772760000;1370.7139;7.9600;269.9000;3.79009247;2.50000000;0.15000001;0.75863332;
1180830582443244;1636812670000;40.236516930000;-111.659865490000;1370.7302;7.8700;270.1000;3.79009247;2.50000000;0.27018511;1.42833471;
1180831587931161;1636812671000;40.236514330000;-111.659958140000;1371.0659;7.9300;269.4000;3.79009247;2.50000000;0.33970577;1.92199922;
1180832579783660;1636812672000;40.236514440000;-111.660044820000;1371.6798;7.1000;271.4000;3.79009247;2.50000000;0.31144822;1.91421092;
1180833581573451;1636812673000;40.236519340000;-111.660122870000;1371.8165;6.2700;271.9000;3.79009247;2.50000000;0.15000001;0.97802997;
1180834583658503;1636812674000;40.236509830000;-111.660204950000;1372.0801;6.3300;265.3000;3.79009247;2.50000000;0.66037869;5.78351021;
1180835589646315;1636812675000;40.236518020000;-111.660262520000;1372.0770;4.4100;273.1000;3.79009247;2.50000000;0.71561164;8.80559254;
1180836570878502;1636812676000;40.236518440000;-111.660311910000;1372.7512;3.7100;272.8000;3.79009247;2.50000000;0.06403124;0.70670354;
1180837580207408;1636812677000;40.236521550000;-111.660344990000;1373.2506;2.3400;278.4000;3.79009247;2.50000000;0.06403124;1.09775329;
1180838583282252;1636812678000;40.236522820000;-111.660374330000;1373.5536;1.8500;263.6000;3.79009247;2.50000000;0.05000000;1.34731233;
1180839588016105;1636812679000;40.236522670000;-111.660390060000;1373.6349;0.8100;265.3000;3.79009247;2.50000000;0.12206556;5.90383434;
1180840581468605;1636812680000;40.236521990000;-111.660392980000;1373.7694;0.3700;270.0000;3.79009247;2.50000000;1.12507772;12.05030060;
1180841578352667;1636812681000;40.236523340000;-111.660392090000;1373.7716;0.0000;-3000.0000;3.79009247;2.50000000;1.13877130;-1.00000000;
