Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
989585300323450;30.7196;-1.3420;-12.2122;
989585310323450;30.7196;-1.3420;-12.2122;
989585321914960;30.8904;-1.5006;-12.7856;
989585331914960;30.9392;-1.4152;-12.7124;
989585341914960;30.8904;-1.4396;-12.7124;
989585351914960;30.8538;-1.4762;-12.7490;
989585361914960;30.6830;-1.4884;-12.5050;
989585371914960;30.5122;-1.5006;-12.3464;
989585381914960;30.4146;-1.5006;-12.2122;
989585391914960;30.4634;-1.4518;-12.2122;
989585401914960;30.3048;-1.4274;-11.9560;
989585411914960;30.4268;-1.4152;-12.1512;
989585421914960;30.6098;-1.3908;-12.3586;
989585431914960;30.7196;-1.3664;-12.4928;
989585441914960;31.0124;-1.3542;-12.8832;
989585451914960;31.2808;-1.2932;-13.0906;
989585461914960;31.4638;-1.2566;-13.3590;
989585471914960;31.4760;-1.2932;-13.4688;
989585481914960;31.6224;-1.3298;-13.6152;
989585491914960;31.5248;-1.3664;-13.4932;
989585501914960;31.4272;-1.3420;-13.3712;
989585511914960;31.4272;-1.3542;-13.2492;
989585521914960;31.4516;-1.3542;-13.2248;
989585531914960;31.4516;-1.3664;-13.3468;
989585541914960;31.4882;-1.3786;-13.3102;
989585551914960;31.4760;-1.4030;-13.2126;
989585561914960;31.5126;-1.3542;-13.3102;
989585571914960;31.4760;-1.3664;-13.2004;
989585581914960;31.3052;-1.4152;-12.9564;
989585591914960;31.1710;-1.3664;-12.7856;
989585601914960;30.8904;-1.3542;-12.4074;
989585611914960;30.7684;-1.3908;-12.1390;
989585621914960;30.6342;-1.4274;-11.9804;
989585631914960;30.6220;-1.4396;-11.9194;
989585641914960;30.5244;-1.4762;-11.7364;
989585651914960;30.5732;-1.5006;-11.8218;
989585661914960;30.7562;-1.5006;-11.9560;
989585671914960;30.8416;-1.5494;-12.0658;
989585681914960;31.0002;-1.5738;-12.1878;
989585691914960;31.0490;-1.5982;-12.2366;
989585701914960;31.0978;-1.6104;-12.2732;
