Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
3100323077172410;-9.4980;-0.0296;-2.6321;
3100323087269910;-9.4693;-0.0129;-2.5887;
3100323097365118;-9.3855;-0.0153;-2.4165;
3100323107446368;-9.4478;-0.0129;-2.5504;
3100323117545899;-9.5219;0.0015;-2.7015;
3100323127627149;-9.4645;0.0494;-2.6441;
3100323137789389;-9.4813;0.0326;-2.5768;
3100323147887983;-9.5004;0.0206;-2.5122;
3100323157999389;-9.4167;0.0852;-2.4165;
3100323168080014;-9.4310;0.1307;-2.4595;
3100323178204649;-9.5028;0.1738;-2.5624;
3100323188311576;-9.5052;0.1451;-2.5720;
3100323198435535;-9.4502;0.1451;-2.5146;
3100323208554545;-9.4645;0.0948;-2.4858;
3100323218637618;-9.4741;0.0637;-2.4978;
3100323228737722;-9.4573;0.1020;-2.5122;
3100323238844493;-9.4837;0.1259;-2.5193;
3100323248957305;-9.5219;0.1235;-2.5146;
3100323259087618;-9.4765;0.1427;-2.4667;
3100323269166160;-9.4454;0.1929;-2.4236;
3100323279282305;-9.4621;0.2459;-2.3686;
3100323289388972;-9.4956;0.2626;-2.3590;
3100323299496576;-9.4693;0.2674;-2.3806;
3100323309600118;-9.4956;0.2937;-2.4141;
3100323319713139;-9.5124;0.3081;-2.4188;
3100323329821472;-9.4597;0.3153;-2.3638;
3100323339929910;-9.4765;0.2865;-2.3495;
3100323350028972;-9.4956;0.2818;-2.3375;
3100323360144389;-9.5004;0.2602;-2.3710;
3100323370245222;-9.5315;0.2698;-2.4835;
3100323380358660;-9.4741;0.1834;-2.5457;
3100323390464805;-9.4621;0.1451;-2.4500;
3100323400570535;-9.4908;0.0996;-2.2917;
3100323410680222;-9.5462;0.0948;-2.2128;
3100323420792305;-9.5605;0.0685;-2.2199;
3100323430898764;-9.5533;-0.0272;-2.3423;
3100323441007566;-9.4980;-0.1017;-2.4906;
3100323451112514;-9.4956;-0.1878;-2.5313;
3100323461232826;-9.5533;-0.2955;-2.4619;
3100323471326264;-9.6084;-0.4394;-2.3180;
3100323481439180;-9.5868;-0.4825;-2.3662;
3100323491550222;-9.5462;-0.5088;-2.4093;
3100323501652826;-9.5486;-0.5399;-2.4691;
3100323511767722;-9.5821;-0.7172;-2.5098;
3100323521869389;-9.5988;-1.0190;-2.5481;
3100323531980014;-9.6012;-1.2514;-2.4404;
3100323542078555;-9.5605;-1.1291;-2.3782;
3100323552189493;-9.5605;-0.9425;-2.4165;
3100323562297149;-9.5605;-0.8707;-2.6417;
3100323572405951;-9.5052;-0.8755;-2.7517;
3100323582514701;-9.4645;-0.7484;-2.7063;
3100323592625066;-9.4717;-0.5495;-2.5648;
3100323602737097;-9.4310;-0.3365;-2.3997;
3100323612838035;-9.4143;-0.0344;-2.2917;
3100323622948816;-9.4430;0.2387;-2.3590;
3100323633057566;-9.4023;0.4325;-2.4643;
3100323643158139;-9.3640;0.6194;-2.6082;
3100323653274597;-9.3066;0.8040;-2.6201;
