Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
3100883327406318;862.3925;
3100883367398818;862.3737;
3100883407380276;862.3612;
3100883447378818;862.3525;
3100883487387828;862.3438;
3100883527380068;862.3300;
3100883567399547;862.3187;
3100883607401630;862.3100;
3100883647401943;862.3050;
3100883687403193;862.3012;
3100883727401630;862.2975;
3100883767402984;862.2987;
3100883807403453;862.2950;
3100883847405536;862.3000;
3100883887409964;862.2987;
3100883927399547;862.2975;
3100883967406839;862.2950;
3100884007405276;862.2962;
3100884047405276;862.2925;
3100884087410484;862.2925;
3100884127406109;862.2913;
3100884167407880;862.2900;
3100884207399026;862.2925;
3100884247402672;862.2925;
3100884287404755;862.2975;
3100884327378505;862.2962;
3100884367379234;862.3012;
3100884407379130;862.3000;
3100884447378401;862.2925;
3100884487403453;862.2925;
3100884527402464;862.2950;
3100884567399547;862.2950;
3100884607401109;862.2950;
3100884647408401;862.2975;
3100884687403453;862.2975;
3100884727407359;862.3037;
3100884767407151;862.3025;
3100884807405276;862.3025;
3100884847405536;862.3125;
3100884887404755;862.3087;
3100884927406109;862.3100;
3100884967406109;862.3087;
3100885007407359;862.3075;
3100885047405797;862.3150;
3100885087406630;862.3062;
3100885127409443;862.3050;
3100885167403714;862.3012;
3100885207404755;862.3000;
3100885247377776;862.2987;
3100885287379651;862.3000;
3100885327379234;862.3025;
3100885367379234;862.3050;
3100885407378818;862.3137;
3100885447405797;862.3112;
3100885487404755;862.3137;
3100885527399286;862.3125;
3100885567404026;862.3112;
3100885607404755;862.3137;
3100885647404547;862.3125;
3100885687403453;862.3087;
3100885727404547;862.3050;
3100885767406318;862.3087;
3100885807408714;862.3125;
3100885847406109;862.3175;
3100885887407620;862.3187;
3100885927407620;862.3250;
3100885967405380;862.3312;
3100886007406318;862.3362;
3100886047406839;862.3287;
3100886087408401;862.3312;
3100886127407151;862.3262;
3100886167406109;862.3325;
3100886207378036;862.3312;
3100886247379234;862.3287;
3100886287380901;862.3312;
3100886327379026;862.3312;
3100886367417255;862.3250;
3100886407400901;862.3237;
3100886447405276;862.3212;
3100886487404755;862.3237;
3100886527406630;862.3250;
3100886567406630;862.3200;
3100886607403453;862.3187;
3100886647405589;862.3162;
3100886687405536;862.3162;
3100886727405536;862.3187;
3100886767405276;862.3250;
3100886807408922;862.3212;
3100886847406318;862.3237;
3100886887408714;862.3312;
3100886927408193;862.3312;
3100886967408193;862.3287;
3100887007405068;862.3275;
3100887047405641;862.3312;
3100887087412568;862.3337;
3100887127404234;862.3350;
3100887167381422;862.3362;
3100887207378818;862.3400;
3100887247393401;862.3400;
3100887287383401;862.3387;
3100887327406109;862.3425;
3100887367405276;862.3425;
3100887407406630;862.3412;
3100887447403714;862.3513;
3100887487404547;862.3525;
3100887527404547;862.3475;
3100887567408193;862.3475;
3100887607407359;862.3513;
3100887647405276;862.3488;
3100887687405797;862.3488;
3100887727406630;862.3375;
3100887767406318;862.3312;
3100887807403453;862.3187;
3100887847404026;862.3162;
3100887887411318;862.3112;
3100887927408401;862.3112;
3100887967405276;862.3125;
3100888007405276;862.3100;
3100888047408193;862.3062;
3100888087410068;862.3187;
3100888127379547;862.3225;
3100888167378505;862.3225;
3100888207378870;862.3237;
3100888247415484;862.3237;
3100888287404755;862.3337;
3100888327403453;862.3400;
3100888367404547;862.3337;
3100888407408922;862.3275;
3100888447407359;862.3287;
3100888487404547;862.3337;
3100888527406109;862.3400;
3100888567405276;862.3412;
3100888607409755;862.3375;
3100888647403714;862.3375;
3100888687405068;862.3250;
3100888727406630;862.3062;
3100888767405068;862.2937;
3100888807406839;862.2900;
3100888847409703;862.2850;
3100888887404026;862.2775;
3100888927408193;862.2700;
3100888967410484;862.2700;
3100889007404755;862.2675;
3100889047374859;862.2662;
3100889087380484;862.2687;
3100889127379443;862.2787;
3100889167379547;862.2825;
3100889207406109;862.2875;
3100889247410276;862.2875;
3100889287405068;862.2962;
3100889327404547;862.2962;
3100889367406630;862.2975;
3100889407406109;862.3012;
3100889447402464;862.3037;
3100889487407359;862.3125;
3100889527405276;862.3162;
3100889567406109;862.3200;
3100889607405536;862.3262;
3100889647403193;862.3150;
3100889687406630;862.3112;
3100889727404547;862.3112;
3100889767406109;862.3125;
3100889807407620;862.3125;
3100889847408714;862.3175;
3100889887398297;862.3225;
3100889927406839;862.3362;
3100889967387984;862.3375;
3100890007387568;862.3287;
3100890047378089;862.3250;
3100890087382880;862.3312;
3100890127421734;862.3450;
3100890167406839;862.3337;
3100890207405068;862.3325;
3100890247404234;862.3362;
3100890287399859;862.3513;
3100890327409234;862.3600;
3100890367407620;862.3750;
3100890407405797;862.3850;
3100890447403453;862.3925;
3100890487406839;862.3925;
3100890527405536;862.3900;
3100890567407151;862.3975;
3100890607408193;862.3937;
3100890647407359;862.3862;
3100890687406318;862.3837;
3100890727406839;862.3875;
3100890767398297;862.3887;
3100890807403453;862.3800;
3100890847409443;862.3600;
3100890887407151;862.3500;
3100890927379964;862.3212;
3100890967380589;862.3062;
3100891007380484;862.3012;
3100891047378714;862.3000;
3100891087418609;862.3075;
3100891127408193;862.3087;
3100891167403714;862.3062;
3100891207403297;862.3025;
3100891247405276;862.3012;
3100891287405276;862.2937;
3100891327407880;862.2850;
3100891367405536;862.2913;
3100891407408193;862.2850;
3100891447405536;862.2800;
3100891487401370;862.2838;
3100891527408453;862.2775;
3100891567407359;862.2612;
3100891607405536;862.2450;
3100891647407620;862.2387;
3100891687407151;862.2362;
3100891727405536;862.2387;
3100891767408401;862.2387;
3100891807408193;862.2375;
3100891847380536;862.2412;
3100891887379443;862.2325;
3100891927378505;862.2425;
3100891967380172;862.2762;
3100892007422464;862.2975;
3100892047406109;862.3050;
3100892087408714;862.3112;
3100892127404755;862.3200;
3100892167401630;862.3237;
3100892207406839;862.3362;
3100892247406318;862.3312;
3100892287407880;862.3300;
3100892327405536;862.3375;
3100892367406109;862.3425;
3100892407410276;862.3412;
3100892447401370;862.3412;
3100892487408922;862.3362;
3100892527405536;862.3375;
3100892567408922;862.3425;
3100892607407880;862.3562;
3100892647405797;862.3637;
3100892687401370;862.3600;
3100892727404026;862.3550;
3100892767400068;862.3600;
3100892807394234;862.3650;
3100892847379547;862.3687;
3100892887378193;862.3737;
3100892927380068;862.3725;
3100892967406839;862.3712;
3100893007406839;862.3687;
3100893047404755;862.3550;
3100893087404547;862.3350;
3100893127407359;862.3362;
3100893167409703;862.3425;
3100893207407880;862.3500;
3100893247403193;862.3513;
3100893287407151;862.3500;
3100893327407151;862.3575;
3100893367406630;862.3612;
3100893407407880;862.3675;
3100893447408193;862.3662;
3100893487407880;862.3725;
3100893527409234;862.3775;
3100893567407359;862.3787;
3100893607407359;862.3750;
3100893647407151;862.3762;
3100893687408714;862.3787;
3100893727380484;862.3825;
3100893767390172;862.3825;
3100893807378036;862.3950;
3100893847377880;862.4000;
3100893887429026;862.4175;
3100893927408714;862.4187;
3100893967406318;862.4075;
3100894007402151;862.4025;
3100894047400901;862.3962;
3100894087406109;862.4113;
3100894127404547;862.4050;
3100894167413609;862.3862;
3100894207413141;862.3850;
3100894247405068;862.3950;
3100894287408714;862.3950;
3100894327409703;862.3925;
3100894367408193;862.3775;
3100894407408714;862.3650;
3100894447405068;862.3725;
3100894487412047;862.3600;
3100894527409234;862.3463;
3100894567404026;862.3362;
3100894607406318;862.3475;
3100894647398297;862.3575;
3100894687382464;862.3587;
3100894727377984;862.3650;
3100894767379026;862.3687;
3100894807378818;862.3687;
3100894847405797;862.3712;
3100894887426109;862.3800;
3100894927409443;862.3962;
3100894967407620;862.4012;
3100895007404026;862.4075;
3100895047402984;862.4012;
3100895087418036;862.3875;
3100895127407359;862.3775;
3100895167407880;862.3725;
3100895207408922;862.3787;
3100895247407620;862.3925;
