Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
1629268575706910;2800.0000;
1629268709035816;2817.0000;
1629268842366962;2837.0000;
1629268909032743;2849.0000;
1629269042366025;2860.0000;
1629269109031962;2899.0000;
1629269242369410;2923.0000;
1629269309004358;2532.0000;
1629269442367170;1323.0000;
1629269509028004;2117.0000;
1629269642334566;2156.0000;
1629269709026962;1043.0000;
1629269842359775;983.0000;
1629269909023577;1008.0000;
1629270042356129;1049.0000;
1629270175663525;1025.0000;
1629270242359358;969.0000;
1629270375672535;937.0000;
1629270442353316;497.0000;
1629270575663160;489.0000;
1629270642324775;501.0000;
1629270775655608;958.0000;
1629270842347483;979.0000;
1629270975666337;1020.0000;
1629271042347327;1063.0000;
1629271175670243;1175.0000;
1629271242351233;1138.0000;
1629271375650816;1083.0000;
1629271442343993;1083.0000;
1629271575648316;1083.0000;
1629271709007483;1115.0000;
1629271775664670;1168.0000;
1629271909002795;1193.0000;
1629271975642691;1211.0000;
1629272109006233;1216.0000;
1629272175677483;1214.0000;
1629272308975087;1196.0000;
1629272375675712;1123.0000;
1629272509001129;1068.0000;
1629272575673420;1051.0000;
1629272708998316;1045.0000;
1629272775668525;1031.0000;
1629272908994462;1027.0000;
1629273042327275;1036.0000;
1629273108995504;1042.0000;
1629273242327587;1044.0000;
1629273308966233;1042.0000;
1629273442323733;1044.0000;
1629273508985816;1038.0000;
1629273642293525;1026.0000;
1629273708988733;1021.0000;
1629273842316754;1022.0000;
1629273908985608;1041.0000;
1629274042320660;1077.0000;
1629274108988004;1108.0000;
1629274242324410;1133.0000;
1629274375618525;1154.0000;
1629274442318941;1173.0000;
1629274575647691;1179.0000;
1629274642327170;1189.0000;
1629274775626441;658.0000;
1629274842308160;1221.0000;
1629274975612691;675.0000;
1629275042303837;681.0000;
1629275175619670;686.0000;
1629275242308525;1253.0000;
1629275375611337;1263.0000;
1629275442277587;701.0000;
1629275575611129;697.0000;
1629275642297691;687.0000;
1629275775605087;1244.0000;
1629275908965816;652.0000;
1629275975603525;630.0000;
1629276108976858;641.0000;
1629276175606233;654.0000;
1629276308968212;1227.0000;
1629276375599566;1254.0000;
1629276508962066;1247.0000;
1629276575596910;1240.0000;
1629276708956858;1202.0000;
1629276775603004;1185.0000;
1629276908956441;1184.0000;
1629276975611025;1170.0000;
1629277108919983;1158.0000;
1629277242286077;1156.0000;
1629277308952170;1152.0000;
1629277442257900;1134.0000;
1629277508948004;1120.0000;
1629277642279150;1123.0000;
1629277708945712;1136.0000;
1629277842278993;625.0000;
1629277908942900;627.0000;
1629278042275191;622.0000;
1629278108923993;616.0000;
1629278242271858;1118.0000;
1629278308938316;1115.0000;
1629278442245295;1120.0000;
1629278575607743;1134.0000;
1629278642270660;1155.0000;
1629278775574983;1176.0000;
1629278842265660;1191.0000;
1629278975572691;1204.0000;
1629279042266337;1211.0000;
1629279175588733;1214.0000;
1629279242262379;1205.0000;
1629279375568160;1190.0000;
1629279442234879;1185.0000;
1629279575596650;1181.0000;
1629279642255816;1194.0000;
1629279775564566;1180.0000;
1629279908923108;1143.0000;
1629279975563525;1102.0000;
1629280108894254;1056.0000;
1629280175561754;613.0000;
1629280308910660;650.0000;
1629280375557900;1210.0000;
1629280508915504;1237.0000;
1629280575556858;1271.0000;
1629280708915504;1315.0000;
1629280775553733;1355.0000;
1629280908911441;1421.0000;
1629280975552327;1483.0000;
1629281108885712;1546.0000;
1629281175548733;1596.0000;
1629281308908941;1621.0000;
1629281442214566;1607.0000;
1629281508906545;1596.0000;
1629281642239045;1592.0000;
1629281708910295;1586.0000;
1629281842241337;1561.0000;
1629281908905920;1526.0000;
1629282042236025;1540.0000;
1629282108874150;1519.0000;
1629282242232275;1491.0000;
1629282308899254;1478.0000;
1629282442258525;1447.0000;
1629282508901129;1439.0000;
1629282642232900;1427.0000;
1629282775533420;1404.0000;
1629282842227170;1396.0000;
1629282975531962;1382.0000;
1629283042225191;1323.0000;
1629283175535920;1285.0000;
1629283242223577;1288.0000;
1629283375528108;1337.0000;
1629283442232795;2816.0000;
1629283575536545;2997.0000;
1629283642219254;3413.0000;
1629283775525191;3433.0000;
1629283842217587;3408.0000;
1629283975522795;3368.0000;
1629284108881337;3328.0000;
1629284175521129;3352.0000;
1629284308881337;3330.0000;
1629284375519410;3279.0000;
1629284508879358;3206.0000;
1629284575532691;3169.0000;
1629284708875400;3137.0000;
1629284775514775;3112.0000;
1629284908848004;3088.0000;
1629284975512327;3077.0000;
