Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
1182063115689552;42.3462;-6.9174;8.8938;
1182063125689552;42.3462;-6.9174;8.8938;
1182063137067365;42.3096;-6.8930;8.6254;
1182063147067365;42.1266;-6.7710;8.8206;
1182063157067365;42.0900;-6.7588;8.6742;
1182063167067365;42.0534;-6.7466;8.6132;
1182063177067365;42.0656;-6.7100;8.5034;
1182063187067365;42.1022;-6.7100;8.3204;
1182063197067365;42.1510;-6.7222;8.1496;
1182063207067365;42.1754;-6.6856;8.0398;
1182063217067365;42.1022;-6.6612;8.1496;
1182063227067365;42.1022;-6.7100;8.0154;
1182063237067365;42.1632;-6.7100;8.0398;
1182063247067365;42.1510;-6.6978;8.1496;
1182063257067365;42.0656;-6.6978;8.2960;
1182063267067365;41.9924;-6.6734;8.5278;
1182063277067365;41.9314;-6.6002;8.6620;
1182063287067365;41.7728;-6.6246;8.7962;
1182063297067365;41.8338;-6.6368;8.6742;
1182063307067365;41.8948;-6.6124;8.6620;
1182063317067365;41.8460;-6.6124;8.6254;
1182063327067365;41.9436;-6.6124;8.4668;
1182063337067365;42.1388;-6.6002;8.1862;
1182063347067365;42.2120;-6.6124;8.0276;
1182063357067365;42.1144;-6.6734;8.0520;
1182063367067365;42.2120;-6.6490;7.9422;
1182063377067365;42.1876;-6.6368;8.0032;
1182063387067365;42.1754;-6.6490;7.9788;
1182063397067365;42.1754;-6.6490;8.0032;
1182063407067365;42.1266;-6.6612;7.9910;
1182063417067365;42.0290;-6.6734;8.1618;
1182063427067365;42.0900;-6.6612;8.1496;
1182063437067365;42.2730;-6.6246;7.9300;
1182063447067365;42.2852;-6.6368;7.9056;
1182063457067365;42.4438;-6.6490;7.7592;
1182063467067365;42.5658;-6.6124;7.6128;
1182063477067365;42.6634;-6.6246;7.5518;
1182063487067365;42.8220;-6.6002;7.4542;
1182063497067365;42.9196;-6.6368;7.3322;
1182063507067365;42.9684;-6.6612;7.2834;
1182063517067365;42.9562;-6.6978;7.4420;
1182063527067365;43.0050;-6.7100;7.4908;
1182063537067365;43.0172;-6.6856;7.4786;
1182063547067365;42.8952;-6.7100;7.7470;
1182063557067365;42.8342;-6.7100;7.8690;
1182063567067365;42.5902;-6.7588;8.1862;
1182063577067365;42.4560;-6.7344;8.3936;
1182063587067365;42.4804;-6.7222;8.4180;
1182063597067365;42.4682;-6.7344;8.3814;
1182063607067365;42.3828;-6.7222;8.4790;
1182063617067365;42.3218;-6.7832;8.6254;
1182063627067365;42.3340;-6.7588;8.6254;
1182063637067365;42.3096;-6.7954;8.6864;
1182063647067365;42.3828;-6.7954;8.6620;
1182063657067365;42.3218;-6.8686;8.7962;
1182063667067365;41.9558;-6.9296;9.3330;
