Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
582532991638064;-9.5076;1.7836;-1.7264;
582533001759314;-9.5100;1.8078;-1.6953;
582533011846189;-9.4837;1.8317;-1.6379;
582533021988220;-9.5172;1.8150;-1.6618;
582533032075095;-9.5124;1.8126;-1.6618;
582533042219939;-9.5267;1.8051;-1.5517;
582533052308636;-9.5581;1.8027;-1.5326;
582533062433116;-9.5076;1.7955;-1.6092;
582533072533741;-9.5004;1.8003;-1.6140;
582533082642439;-9.5195;1.8051;-1.6211;
582533092739001;-9.5390;1.8221;-1.6642;
582533102836657;-9.5100;1.8293;-1.6307;
582533112946501;-9.5172;1.8365;-1.6044;
582533123030251;-9.5028;1.8437;-1.6164;
582533133126709;-9.4813;1.8197;-1.6594;
582533143266501;-9.4837;1.8173;-1.6881;
582533153347022;-9.5004;1.8003;-1.6929;
582533163452439;-9.5004;1.8078;-1.7264;
582533173570043;-9.4908;1.7955;-1.7288;
582533183677126;-9.4860;1.7859;-1.7169;
582533193761501;-9.5076;1.8003;-1.7408;
582533203869314;-9.5028;1.8078;-1.7551;
582533214004834;-9.5052;1.8126;-1.7743;
582533224075876;-9.4837;1.8027;-1.7647;
582533234182022;-9.4693;1.8150;-1.7503;
582533244287022;-9.4884;1.8365;-1.7001;
582533254385772;-9.4860;1.8676;-1.7384;
582533264491397;-9.4884;1.8556;-1.7695;
582533274600772;-9.4837;1.8556;-1.7743;
582533284705720;-9.4884;1.8556;-1.7791;
582533294807647;-9.4693;1.8485;-1.7671;
582533304916814;-9.4669;1.8676;-1.7360;
582533315004001;-9.4645;1.8700;-1.7432;
582533325124105;-9.4669;1.9011;-1.7336;
582533335228584;-9.4717;1.9226;-1.7384;
582533345325355;-9.4717;1.9107;-1.7456;
582533355409574;-9.4645;1.9298;-1.7145;
582533365546189;-9.4645;1.9274;-1.7384;
582533375645668;-9.4717;1.9155;-1.7192;
582533385748793;-9.4693;1.9107;-1.7097;
582533395856605;-9.5004;1.8867;-1.7169;
582533405953064;-9.5124;1.8939;-1.7073;
582533416058636;-9.4908;1.8772;-1.7288;
582533426162959;-9.4597;1.8700;-1.7408;
582533436266189;-9.5052;1.8437;-1.7503;
582533446390876;-9.4860;1.8293;-1.7551;
582533456474886;-9.5243;1.8245;-1.7527;
582533466585564;-9.4932;1.8173;-1.7264;
582533476683793;-9.4908;1.8051;-1.7073;
582533486797543;-9.4717;1.8126;-1.6929;
582533496904001;-9.4884;1.7907;-1.7025;
582533507002751;-9.5052;1.7788;-1.7216;
582533517109834;-9.5366;1.7979;-1.7097;
582533527208584;-9.4956;1.7931;-1.7121;
582533537316189;-9.4860;1.8102;-1.6977;
582533547419730;-9.4837;1.8317;-1.7073;
582533557529730;-9.5028;1.8628;-1.7216;
582533567634939;-9.5124;1.8556;-1.6905;
582533577731501;-9.5052;1.8700;-1.6881;
582533587845459;-9.4813;1.8820;-1.6714;
582533597945928;-9.4908;1.8963;-1.6690;
582533608053584;-9.5100;1.9178;-1.6307;
582533618150980;-9.5195;1.9322;-1.6499;
582533628250251;-9.4956;1.9442;-1.6475;
582533638357334;-9.4837;1.9466;-1.6355;
582533648469209;-9.4789;1.9801;-1.6546;
582533658570564;-9.4765;1.9657;-1.6546;
582533668667230;-9.4789;2.0016;-1.6259;
582533678784626;-9.4980;1.9848;-1.6451;
582533688879001;-9.4789;1.9801;-1.6211;
582533698988428;-9.4860;1.9944;-1.6044;
582533709081866;-9.4980;2.0351;-1.6235;
582533719198897;-9.4645;2.0904;-1.6666;
582533729297751;-9.4645;2.1263;-1.6714;
582533739404522;-9.4525;2.1646;-1.6738;
582533749529470;-9.4430;2.1861;-1.6307;
582533759613689;-9.4502;2.2172;-1.5996;
582533769713168;-9.4741;2.2699;-1.6164;
582533779832751;-9.4573;2.3755;-1.6235;
582533789951970;-9.4621;2.5358;-1.6355;
582533800024418;-9.3999;2.5286;-1.6044;
582533810128689;-9.3975;2.5980;-1.5924;
582533820234209;-9.3855;2.6366;-1.5517;
582533830349730;-9.3808;2.5502;-1.5398;
582533840435251;-9.4334;2.5478;-1.6618;
582533850547647;-9.4454;2.4353;-1.5302;
582533860682855;-9.4837;2.3177;-1.4342;
582533870775772;-9.4908;2.1981;-1.5302;
582533880872751;-9.4478;2.0614;-1.6546;
582533890971918;-9.4430;1.9370;-1.8272;
582533901060980;-9.4645;1.8221;-1.9636;
582533911168168;-9.4645;1.7524;-1.9756;
582533921275251;-9.4454;1.6711;-1.9229;
582533931376084;-9.5124;1.6256;-1.8679;
