Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
3409448382672;-0.0719;0.0305;0.0707;
3409458490797;-0.0655;0.0189;0.0739;
3409468579756;-0.0836;0.0029;0.0696;
3409478687881;-0.1145;-0.0056;0.0686;
3409488796006;-0.1379;-0.0109;0.0664;
3409498926058;-0.1614;-0.0312;0.0611;
3409509034079;-0.1742;-0.0493;0.0515;
3409519142204;-0.1475;-0.0397;0.0494;
3409529233558;-0.0943;-0.0237;0.0526;
3409539341631;-0.0410;-0.0099;0.0547;
3409549449756;-0.0368;0.0040;0.0547;
3409559548610;-0.0399;0.0093;0.0537;
3409569656735;-0.0421;0.0146;0.0526;
3409579764860;-0.0453;0.0083;0.0453;
3409589875068;-0.0517;-0.0056;0.0399;
3409599983193;-0.0527;0.0051;0.0410;
3409610091318;-0.0559;0.0168;0.0431;
3409620195901;-0.0581;0.0104;0.0378;
3409630304026;-0.0527;0.0051;0.0346;
3409640412151;-0.0495;0.0051;0.0378;
3409650523974;-0.0517;-0.0077;0.0368;
3409660632099;-0.0506;-0.0216;0.0304;
3409670740224;-0.0421;-0.0141;0.0314;
3409680845120;-0.0389;0.0061;0.0304;
3409690953245;-0.0399;0.0136;0.0250;
3409701061370;-0.0431;0.0104;0.0186;
3409711164443;-0.0463;0.0104;0.0165;
3409721272568;-0.0463;0.0136;0.0154;
3409731380693;-0.0474;0.0093;0.0154;
3409741493245;-0.0495;0.0019;0.0112;
3409751601370;-0.0442;0.0051;0.0091;
3409761709495;-0.0421;0.0083;0.0069;
3409771848089;-0.0453;0.0008;0.0059;
3409781956110;-0.0453;0.0008;0.0069;
3409792064235;-0.0474;0.0061;0.0080;
3409802148401;-0.0495;0.0040;0.0048;
3409812256526;-0.0506;-0.0067;0.0080;
3409822364651;-0.0474;-0.0045;0.0154;
3409832472151;-0.0485;0.0061;0.0218;
3409842580276;-0.0527;0.0051;0.0240;
3409852688401;-0.0559;0.0051;0.0250;
3409862784756;-0.0559;0.0040;0.0282;
3409872892881;-0.0581;-0.0013;0.0357;
3409883001006;-0.0613;-0.0088;0.0399;
3409893110745;-0.0644;-0.0194;0.0399;
3409903218818;-0.0655;-0.0280;0.0410;
3409913326943;-0.0644;-0.0322;0.0421;
3409923430485;-0.0602;-0.0280;0.0389;
3409933538610;-0.0623;-0.0248;0.0325;
3409943646735;-0.0602;-0.0258;0.0250;
3409953770172;-0.0613;-0.0184;0.0154;
3409963878297;-0.0666;-0.0067;0.0133;
3409973986088;-0.0740;0.0040;0.0091;
3409984076713;-0.0740;0.0178;0.0048;
3409994184838;-0.0740;0.0411;0.0016;
3410004292963;-0.0815;0.0475;-0.0005;
3410014416297;-0.0858;0.0264;0.0016;
3410024524474;-0.0804;0.0051;0.0048;
3410034632547;-0.0783;0.0029;0.0059;
3410044754213;-0.0804;-0.0067;0.0101;
3410054862338;-0.0762;-0.0077;0.0133;
3410064970463;-0.0719;0.0168;0.0165;
3410075058484;-0.0772;0.0337;0.0144;
3410085166609;-0.0921;0.0253;0.0080;
3410095274734;-0.1007;0.0115;0.0069;
3410105385047;-0.1007;0.0040;0.0101;
3410115493172;-0.0985;-0.0109;0.0133;
3410125601297;-0.0889;-0.0173;0.0208;
3410135708172;-0.0879;-0.0024;0.0293;
3410145816297;-0.0964;0.0051;0.0293;
3410155924422;-0.1081;-0.0003;0.0250;
3410166032026;-0.1071;-0.0003;0.0346;
3410176140151;-0.1049;0.0104;0.0505;
3410186248276;-0.1113;-0.0024;0.0601;
3410196356401;-0.1145;-0.0407;0.0686;
3410206464526;-0.0996;-0.0482;0.0792;
3410216572651;-0.0325;-0.0088;0.0888;
3410226682859;0.0943;0.0264;0.0984;
3410236790984;0.1348;0.0253;0.1122;
3410246899109;0.1124;0.0316;0.1229;
3410257007286;0.0858;0.0486;0.1357;
3410267115411;0.0101;0.0337;0.1357;
3410277223536;-0.1262;-0.0194;0.1304;
3410287346036;-0.1624;-0.0493;0.1229;
3410297454109;-0.1230;-0.0056;0.1453;
3410307562234;-0.1252;0.0093;0.1378;
3410317663536;-0.1358;-0.0226;0.1293;
3410327771661;-0.1209;0.0040;0.1325;
3410337879786;-0.0250;0.0646;0.1378;
3410347981401;0.0005;0.0539;0.1186;
3410358089526;-0.0953;0.0104;0.0867;
3410368197651;-0.1571;0.0040;0.0686;
3410378311453;-0.1326;0.0083;0.0547;
3410388419578;-0.1369;-0.0120;0.0346;
3410398527703;-0.1230;-0.0290;0.0229;
3410408658640;-0.0762;0.0104;0.0101;
3410418766765;0.0389;0.0720;-0.0144;
3410428874838;0.1049;0.0816;-0.0527;
3410438950047;0.0240;0.0337;-0.0921;
3410449058172;-0.1156;-0.0003;-0.1081;
3410459166297;-0.0932;0.0136;-0.1007;
3410469278067;-0.0879;0.0316;-0.1039;
3410479386192;-0.0900;0.0369;-0.1241;
3410489494317;-0.1103;0.0210;-0.1486;
3410499600776;-0.0921;-0.0099;-0.1614;
3410509708901;-0.0602;0.0115;-0.1593;
3410519817026;0.0176;0.0454;-0.1475;
3410529933067;0.0879;0.0264;-0.1486;
3410540041192;0.0964;-0.0120;-0.1603;
3410550149265;0.1603;0.0051;-0.1571;
3410560252963;0.3338;0.0667;-0.1390;
3410570361088;0.5202;0.0859;-0.1241;
3410580469161;0.6971;0.0774;-0.1092;
3410590574786;0.8451;0.1125;-0.0900;
3410600682911;0.8760;0.0848;-0.0804;
3410610790984;0.7418;-0.0386;-0.0708;
3410620900047;0.6481;-0.0887;-0.0485;
3410631008172;0.7706;-0.0045;-0.0346;
3410641116245;0.9048;0.0529;-0.0144;
3410651224838;0.8931;0.0518;-0.0176;
3410661332963;0.8047;0.0699;-0.0208;
3410671441036;0.6821;0.0763;-0.0208;
3410681547286;0.5128;0.0232;-0.0368;
3410691655411;0.3274;-0.0407;-0.0378;
3410701763484;0.2402;-0.0226;-0.0495;
3410711870463;0.1699;0.0093;-0.0730;
3410721978588;0.0676;-0.0216;-0.0921;
3410732086661;-0.0165;-0.0738;-0.1103;
3410742197026;-0.0176;-0.0610;-0.1241;
3410752305151;-0.0059;-0.0205;-0.1518;
3410762413224;-0.0197;0.0029;-0.1646;
3410772523380;-0.0069;0.0264;-0.1582;
3410782631401;0.0123;0.0305;-0.1561;
3410792739526;-0.0080;-0.0429;-0.1731;
3410802847599;0.0016;-0.0663;-0.1624;
3410812948067;0.0133;-0.0162;-0.1454;
3410823056192;-0.0144;-0.0375;-0.1774;
3410833164265;-0.0176;-0.0184;-0.1955;
3410843288953;-0.0080;0.0880;-0.1795;
