Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
703304284913396;49.0928;-14.6156;-10.4432;
703304294913396;49.0928;-14.6156;-10.4432;
703304306267146;48.8610;-14.7864;-10.2602;
703304316267146;48.6780;-14.8352;-9.9430;
703304326267146;48.5316;-14.8596;-9.7844;
703304336267146;48.2754;-14.8718;-9.5160;
703304346267146;48.2144;-14.8718;-9.3818;
703304356267146;48.0924;-14.8840;-9.2232;
703304366267146;47.9704;-14.9084;-9.0646;
703304376267146;47.8362;-14.9084;-8.8694;
703304386267146;47.7386;-14.9084;-8.6620;
703304396267146;47.6776;-14.9084;-8.6254;
703304406267146;47.7020;-14.8840;-8.5522;
703304416267146;47.8240;-14.8962;-8.6864;
703304426267146;47.8118;-14.9084;-8.7108;
703304436267146;47.8484;-14.9206;-8.7840;
703304446267146;47.7996;-14.9084;-8.6498;
703304456267146;47.6288;-14.9694;-8.5278;
703304466267146;47.5556;-14.9816;-8.4912;
703304476267146;47.4702;-14.9572;-8.3448;
703304486267146;47.3360;-14.9694;-8.3204;
703304496267146;47.2262;-14.9450;-8.1374;
703304506267146;47.0920;-14.9328;-7.9422;
703304516267146;46.9456;-14.9206;-7.6860;
703304526267146;46.9090;-14.9572;-7.7348;
703304536267146;46.9578;-14.9206;-7.7226;
703304546267146;47.0676;-14.8962;-7.9178;
703304556267146;47.0798;-14.8962;-8.0154;
703304566267146;47.1164;-14.8962;-7.9910;
703304576267146;47.0554;-14.8962;-7.9300;
703304586267146;47.1408;-14.8840;-8.0520;
703304596267146;47.2384;-14.8962;-8.2472;
703304606267146;47.1286;-14.9084;-8.0642;
703304616267146;47.2384;-14.8840;-8.2472;
703304626267146;47.2506;-14.8962;-8.2228;
703304636267146;47.2872;-14.8718;-8.2106;
703304646267146;47.2262;-14.8962;-8.2228;
703304656267146;47.2506;-14.9328;-8.3082;
703304666267146;47.2872;-14.9694;-8.2838;
703304676267146;47.3482;-14.9206;-8.3448;
703304686267146;47.3848;-14.9084;-8.4180;
703304696267146;47.2384;-14.9816;-8.2106;
703304706267146;47.0432;-14.9694;-7.9544;
703304716267146;46.8602;-14.9816;-7.6982;
703304726267146;46.7626;-14.9572;-7.5274;
703304736267146;46.7504;-14.9572;-7.4664;
703304746267146;46.5796;-14.9206;-7.3078;
703304756267146;46.4942;-14.9206;-7.1492;
703304766267146;46.4210;-14.9206;-7.0638;
703304776267146;46.3966;-14.8840;-7.0028;
703304786267146;46.5186;-14.8596;-7.0394;
703304796267146;46.6772;-14.8962;-7.2346;
703304806267146;46.9212;-14.9206;-7.4542;
703304816267146;47.0432;-14.9450;-7.5884;
703304826267146;47.1652;-14.9572;-7.6616;
703304836267146;47.1652;-15.0060;-7.6616;
703304846267146;47.1896;-14.9938;-7.5884;
