TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
585955324859809;1636217796430;40.235028330000;-111.667235100000;1355.5881;0.7600;99.9000;5.74895239;11.87134361;0.41617304;20.75598717;
585956387208298;1636217798000;40.235030530000;-111.667211910000;1367.5300;1.1200;92.3000;3.79009247;6.02345610;1.22188377;51.64031601;
585957401103141;1636217799000;40.235040280000;-111.667183990000;1369.1405;2.1600;85.4000;3.79009247;3.53490329;0.89308453;14.53556824;
585958396708609;1636217800000;40.235047740000;-111.667156730000;1368.5573;2.3500;85.5000;3.79009247;3.28109908;0.73756355;15.35169697;
585959395422307;1636217801000;40.235058770000;-111.667098900000;1369.4824;5.0200;91.0000;3.79009247;3.06072474;0.74411023;7.23339844;
585960406003088;1636217802000;40.235064060000;-111.667040540000;1370.7563;5.1800;89.7000;3.79009247;2.96039939;0.39446166;2.58382821;
585961410361265;1636217803000;40.235068810000;-111.666978850000;1369.7524;5.3400;89.3000;3.79009247;2.70570350;1.13371074;11.88084126;
585962401273608;1636217804000;40.235069740000;-111.666910610000;1369.8580;6.1100;90.9000;3.79009247;2.50000000;0.05830952;0.33583593;
585963397336628;1636217805000;40.235073600000;-111.666842190000;1369.4252;6.3700;90.4000;3.79009247;2.50000000;0.05830952;0.33650509;
585964408403868;1636217806000;40.235073470000;-111.666767330000;1369.9163;6.6700;92.5000;3.79009247;2.50000000;0.05000000;0.30589178;
585965403228971;1636217807000;40.235075880000;-111.666685180000;1369.9617;6.8400;89.4000;3.79009247;2.50000000;0.05000000;0.29429674;
585966397513242;1636217808000;40.235075140000;-111.666602150000;1369.6199;7.0600;89.5000;3.79009247;2.50000000;0.05830952;0.29206422;
585967401274023;1636217809000;40.235073180000;-111.666522030000;1369.6140;7.0100;89.5000;3.79009247;2.50000000;0.20248456;1.00852990;
585968403615637;1636217810000;40.235069300000;-111.666442010000;1369.6724;7.3000;90.9000;3.79009247;2.50000000;0.20248456;0.97136974;
585969402297668;1636217811000;40.235070270000;-111.666353660000;1369.8800;7.2900;89.9000;3.79009247;2.50000000;0.05830952;0.28764480;
585970408318501;1636217812000;40.235067180000;-111.666266340000;1369.9492;7.3900;90.4000;3.79009247;2.50000000;0.05830952;0.26867655;
585971404009438;1636217813000;40.235067170000;-111.666181470000;1370.0431;7.2900;90.5000;3.79009247;2.50000000;0.05830952;0.26647666;
585972406944750;1636217814000;40.235065570000;-111.666095860000;1370.2823;7.3600;89.9000;3.79009247;2.50000000;0.05385165;0.25958052;
585973412915322;1636217815000;40.235065140000;-111.666007070000;1370.1873;7.3700;89.4000;3.79009247;2.50000000;1.09931803;8.26998520;
585974408174437;1636217816000;40.235065100000;-111.665921790000;1369.6179;7.3500;89.6000;3.79009247;2.50000000;1.07377839;0.48665792;
585975410919176;1636217817000;40.235063190000;-111.665834320000;1369.3335;7.3500;90.3000;3.79009247;2.50000000;1.08226609;0.86043119;
585976410085790;1636217818000;40.235060330000;-111.665746180000;1369.6621;7.2900;90.8000;3.79009247;2.50000000;1.09077954;1.24042249;
585977410990738;1636217819000;40.235063210000;-111.665662090000;1369.6245;7.2800;85.8000;3.79009247;2.50000000;1.08226609;1.61417401;
585978405477560;1636217820000;40.235067530000;-111.665574590000;1369.2759;7.2900;85.5000;3.79009247;2.50000000;1.08226609;1.97423029;
