TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
393782865605485;1653144090000;40.227616440000;-111.674406340000;1359.6758;0.0000;-3000.0000;5.01572037;7.56856489;0.45967379;-1.00000000;
393783865297776;1653144091000;40.227605130000;-111.674411610000;1364.7404;0.0000;-3000.0000;4.64905119;6.82233095;0.08062258;-1.00000000;
393784867006682;1653144092000;40.227603860000;-111.674409310000;1365.0834;0.0000;-3000.0000;4.44170809;6.01191044;0.08062258;-1.00000000;
393785872522827;1653144093000;40.227597370000;-111.674408110000;1365.1542;0.0000;-3000.0000;4.24056196;5.43061638;0.08062258;-1.00000000;
393786876981525;1653144094000;40.227596620000;-111.674404910000;1365.3394;0.0000;-3000.0000;4.19251490;5.19052553;0.08062258;-1.00000000;
393787870181264;1653144095000;40.227595570000;-111.674402550000;1364.5872;0.0000;-3000.0000;4.01603365;4.84208918;0.08062258;-1.00000000;
393788874302409;1653144096000;40.227593730000;-111.674402130000;1364.0995;0.0000;-3000.0000;3.85000682;4.53438520;0.08062258;-1.00000000;
393789871720117;1653144097000;40.227591930000;-111.674398840000;1363.8500;0.0000;-3000.0000;3.79009247;4.41240311;0.08062258;-1.00000000;
393790868058086;1653144098000;40.227591280000;-111.674398820000;1363.7104;0.0000;-3000.0000;3.79009247;4.37453127;0.08062258;-1.00000000;
393791872684023;1653144099000;40.227600440000;-111.674399460000;1364.4624;0.0000;-3000.0000;3.79009247;3.97703218;1.12004459;-1.00000000;
393792871930220;1653144100000;40.227605280000;-111.674400040000;1365.8643;0.4300;315.4000;3.79009247;3.29001236;1.06850362;4.41241693;
393793871260324;1653144101000;40.227605280000;-111.674399880000;1365.6086;0.3200;319.7000;3.79009247;2.79439068;1.09416640;4.97441292;
393794873868188;1653144102000;40.227603320000;-111.674399160000;1365.2944;0.1500;315.4000;3.79009247;2.61877370;1.12004459;79.07506561;
393795868183448;1653144103000;40.227615800000;-111.674402760000;1365.1235;1.6400;329.4000;3.79009247;2.50000000;0.04472136;1.07657301;
393796870098136;1653144104000;40.227630680000;-111.674410130000;1364.5300;1.9000;340.1000;3.79009247;2.50000000;0.14764823;2.46854997;
393797871943760;1653144105000;40.227653720000;-111.674419660000;1364.1429;2.9100;340.2000;3.79009247;2.50000000;0.14764823;1.63207054;
393798870604229;1653144106000;40.227685840000;-111.674428800000;1364.0895;4.0700;351.2000;3.79009247;2.50000000;0.05385165;0.42318222;
393799865617301;1653144107000;40.227720880000;-111.674429140000;1363.9335;3.8000;0.4000;3.79009247;2.50000000;0.04472136;0.46306217;
393800868846207;1653144108000;40.227754170000;-111.674427800000;1363.5950;3.7800;0.7000;3.79009247;2.50000000;0.05000000;0.51007092;
393801864734071;1653144109000;40.227788710000;-111.674427140000;1363.3748;3.9100;359.5000;3.79009247;2.50000000;0.05000000;0.56025964;
393802866673185;1653144110000;40.227825310000;-111.674429080000;1363.7151;4.0800;358.3000;3.79009247;2.50000000;0.05000000;0.54891622;
393803867783497;1653144111000;40.227863450000;-111.674432580000;1363.5753;4.1400;357.7000;3.79009247;2.50000000;1.00955439;8.59533024;
393804870415112;1653144112000;40.227903340000;-111.674434880000;1363.7838;4.2600;358.6000;3.79009247;2.50000000;0.99297535;3.55671120;
393805863760528;1653144113000;40.227944190000;-111.674438090000;1363.8232;4.4100;355.3000;3.79009247;2.50000000;1.00955439;4.98901796;
393806868302611;1653144114000;40.227986040000;-111.674438350000;1363.7722;4.5100;358.8000;3.79009247;2.50000000;0.99297535;5.63570976;
393807866012246;1653144115000;40.228028880000;-111.674438490000;1363.8539;4.7000;354.8000;3.79009247;2.50000000;0.98473346;5.79372692;
393808869989798;1653144116000;40.228073020000;-111.674438070000;1364.1871;4.7900;358.3000;3.79009247;2.50000000;0.98229325;4.98737097;
393809865540526;1653144117000;40.228113930000;-111.674436460000;1364.0629;4.4500;358.6000;3.79009247;2.50000000;0.98473346;5.05606174;
393810865599224;1653144118000;40.228154390000;-111.674433920000;1364.0121;4.4100;359.7000;3.79009247;2.50000000;1.01513541;5.11890459;
393811870197765;1653144119000;40.228195730000;-111.674435890000;1364.1190;4.4800;355.7000;3.79009247;2.50000000;0.96020830;4.78675604;
393812867358442;1653144120000;40.228237300000;-111.674437220000;1364.2288;4.5100;355.6000;3.79009247;2.50000000;0.97652447;3.83560681;
393813866588702;1653144121000;40.228278220000;-111.674437030000;1364.2098;4.4400;357.5000;3.79009247;2.50000000;1.04307234;4.11725187;
393814869247816;1653144122000;40.228318890000;-111.674440800000;1364.3386;4.4400;355.4000;3.79009247;2.50000000;1.05683494;4.26654196;
393815872860993;1653144123000;40.228362600000;-111.674446640000;1364.8301;4.9300;353.6000;3.79009247;2.50000000;1.01833200;4.01064825;
393816876266982;1653144124000;40.228405860000;-111.674451210000;1364.7015;4.9000;356.9000;3.79009247;2.50000000;0.99297535;3.50489926;
393817877208596;1653144125000;40.228450240000;-111.674450850000;1364.8008;4.9600;1.5000;3.79009247;2.50000000;0.97416633;3.31771016;
393818875319586;1653144126000;40.228493200000;-111.674447480000;1364.8125;5.0800;1.6000;3.79009247;2.50000000;1.09077954;3.45167136;
393819871206981;1653144127000;40.228542170000;-111.674446740000;1364.8740;5.6800;358.5000;3.79009247;2.50000000;1.03227901;3.42701244;
393820880641772;1653144128000;40.228594160000;-111.674450490000;1364.8336;5.5400;359.3000;3.79009247;2.50000000;1.03469801;3.45812893;
393821871878022;1653144129000;40.228644680000;-111.674448160000;1365.0023;5.6300;358.8000;3.79009247;2.50000000;0.98005104;3.27688837;
393822868277813;1653144130000;40.228696050000;-111.674444680000;1365.0500;5.5700;2.3000;3.79009247;2.50000000;1.09288609;3.01693106;
393823868846198;1653144131000;40.228743040000;-111.674442170000;1365.2878;5.1600;358.9000;3.79009247;2.50000000;1.04043257;2.85644078;
393824877076458;1653144132000;40.228791740000;-111.674438890000;1364.7262;5.3300;1.0000;3.79009247;2.50000000;0.94999999;2.69219899;
393825865146302;1653144133000;40.228838270000;-111.674440960000;1364.3209;5.0900;0.0000;3.79009247;2.50000000;0.94999999;2.45369792;
393826871989635;1653144134000;40.228887090000;-111.674444240000;1364.1658;5.1100;0.0000;3.79009247;2.50000000;0.99864906;2.32114267;
393827874786145;1653144135000;40.228937690000;-111.674443130000;1363.9663;5.2900;1.4000;3.79009247;2.50000000;1.03464973;2.37678027;
