Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
975046259434325;0.0133;-0.0056;-0.0136;
975046269552241;0.0133;0.0029;-0.0083;
975046279644481;0.0080;-0.0003;-0.0083;
975046289744741;0.0048;-0.0003;-0.0104;
975046299865835;0.0048;0.0008;-0.0115;
975046309977085;0.0059;-0.0003;-0.0125;
975046320049845;0.0069;0.0008;-0.0136;
975046330169168;0.0069;-0.0003;-0.0125;
975046340277710;0.0069;-0.0003;-0.0157;
975046350373752;0.0069;0.0008;-0.0136;
975046360476981;0.0059;0.0008;-0.0136;
975046370576147;0.0091;0.0019;-0.0146;
975046380684585;0.0101;0.0019;-0.0146;
975046390790939;0.0037;-0.0003;-0.0136;
975046400894168;0.0048;0.0019;-0.0136;
975046410989845;0.0048;0.0019;-0.0125;
975046421096043;0.0059;0.0008;-0.0146;
975046431200106;0.0048;0.0008;-0.0157;
975046441310731;0.0080;-0.0003;-0.0136;
975046451408543;0.0069;-0.0024;-0.0146;
975046461519585;0.0069;-0.0013;-0.0146;
975046471620054;0.0069;-0.0003;-0.0157;
975046481714897;0.0048;-0.0003;-0.0189;
975046491822397;0.0037;-0.0003;-0.0178;
975046501928752;0.0069;0.0029;-0.0168;
975046512030887;0.0048;0.0008;-0.0157;
975046522136252;0.0037;-0.0003;-0.0146;
975046532237397;0.0048;-0.0003;-0.0136;
975046542343960;0.0059;-0.0003;-0.0115;
975046552446877;0.0016;0.0008;-0.0083;
975046562548543;0.0005;0.0029;-0.0061;
975046572670627;0.0016;0.0040;-0.0029;
975046582766252;0.0016;0.0040;0.0003;
975046592868960;-0.0037;0.0051;0.0035;
975046602981304;-0.0112;0.0040;0.0056;
975046613064637;-0.0091;0.0029;0.0109;
975046623168127;-0.0048;0.0029;0.0141;
975046633278127;-0.0027;0.0029;0.0194;
975046643383960;-0.0059;0.0040;0.0226;
975046653480522;-0.0048;0.0040;0.0237;
975046663585210;-0.0069;0.0040;0.0280;
975046673689585;-0.0069;0.0040;0.0322;
975046683796720;-0.0059;0.0029;0.0333;
975046693895106;-0.0069;0.0019;0.0354;
975046704000627;-0.0069;0.0019;0.0375;
975046714126564;-0.0091;0.0029;0.0407;
975046724211877;-0.0101;0.0029;0.0418;
975046734312918;-0.0112;0.0040;0.0429;
975046744417502;-0.0112;0.0051;0.0439;
975046754517293;-0.0112;0.0051;0.0450;
975046764617710;-0.0133;0.0040;0.0439;
975046774722502;-0.0272;0.0051;0.0407;
975046784830002;-0.0666;0.0061;0.0333;
975046794926564;-0.1316;0.0072;0.0216;
975046805041304;-0.1869;0.0029;0.0099;
975046815119325;-0.1933;-0.0013;0.0035;
975046825263543;-0.1667;-0.0035;0.0045;
975046835350522;-0.1188;-0.0067;0.0045;
975046845452502;-0.0772;-0.0056;-0.0040;
975046855545887;-0.0378;0.0019;-0.0104;
975046865653022;0.0037;0.0051;-0.0115;
975046875757397;0.0112;0.0051;-0.0125;
975046885868752;0.0048;0.0029;-0.0157;
975046895985106;0.0027;0.0019;-0.0189;
975046906065575;0.0027;-0.0024;-0.0242;
975046916179168;0.0080;-0.0045;-0.0264;
975046926293387;0.0123;-0.0045;-0.0274;
975046936360262;0.0112;-0.0035;-0.0296;
975046946496304;0.0080;-0.0024;-0.0317;
