Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
392875601396733;0.0112;0.0016;-0.0372;
392875611469181;0.0091;0.0005;-0.0393;
392875621594493;0.0059;0.0016;-0.0340;
392875631701108;0.0048;0.0005;-0.0308;
392875641804128;0.0048;0.0016;-0.0286;
392875651913295;0.0027;0.0016;-0.0222;
392875662014233;-0.0037;0.0037;-0.0190;
392875672119076;-0.0112;0.0048;-0.0169;
392875682219545;-0.0218;0.0016;-0.0148;
392875692311472;-0.0282;0.0027;-0.0095;
392875702410170;-0.0336;0.0027;-0.0031;
392875712514024;-0.0336;0.0027;0.0012;
392875722618972;-0.0336;0.0027;0.0065;
392875732721889;-0.0314;0.0027;0.0119;
392875742826056;-0.0282;0.0005;0.0150;
392875752932410;-0.0208;-0.0016;0.0204;
392875763036056;-0.0123;0.0005;0.0257;
392875773141681;-0.0069;0.0027;0.0300;
392875783233920;-0.0091;0.0016;0.0342;
392875793354545;-0.0091;-0.0005;0.0342;
392875803449181;-0.0101;-0.0005;0.0364;
392875813548295;-0.0080;-0.0005;0.0385;
392875823648816;-0.0101;-0.0005;0.0395;
392875833737670;-0.0101;-0.0005;0.0406;
392875843853712;-0.0101;0.0005;0.0406;
392875853963556;-0.0091;-0.0005;0.0417;
392875864063972;-0.0091;0.0005;0.0427;
392875874187878;-0.0091;-0.0005;0.0427;
392875884275066;-0.0091;-0.0016;0.0406;
392875894372618;-0.0091;-0.0016;0.0406;
392875904471160;-0.0101;0.0005;0.0395;
392875914592983;-0.0091;0.0016;0.0385;
392875924710691;-0.0080;0.0005;0.0353;
392875934807931;-0.0101;0.0016;0.0353;
392875944882306;-0.0101;0.0027;0.0342;
392875955011524;-0.0080;0.0027;0.0342;
392875965150326;-0.0069;0.0005;0.0332;
392875975224493;-0.0080;0.0005;0.0310;
392875985343503;-0.0101;0.0005;0.0310;
392875995403347;-0.0091;0.0005;0.0289;
392876005522826;-0.0080;-0.0005;0.0257;
392876015632514;-0.0080;0.0005;0.0246;
392876025751993;-0.0080;0.0005;0.0225;
392876035841160;-0.0069;-0.0005;0.0214;
392876045956733;-0.0059;0.0005;0.0204;
392876056040014;-0.0048;0.0005;0.0193;
392876066142253;-0.0027;0.0005;0.0172;
392876076254597;-0.0048;0.0005;0.0182;
392876086345587;-0.0048;-0.0005;0.0161;
392876096464181;-0.0037;-0.0016;0.0140;
392876106552983;-0.0037;-0.0005;0.0140;
392876116677306;-0.0016;-0.0005;0.0108;
392876126761472;-0.0027;-0.0005;0.0108;
392876136861420;-0.0027;0.0016;0.0108;
392876146965378;-0.0027;0.0016;0.0097;
392876157068191;-0.0037;0.0005;0.0097;
392876167164128;-0.0037;0.0016;0.0087;
