Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
3388394909951;-0.0257;0.0338;-0.0699;
3388404984326;-0.0289;0.0306;-0.0720;
3388415106461;-0.0289;0.0169;-0.0784;
3388425210628;-0.0119;0.0105;-0.0838;
3388435316982;0.0233;0.0116;-0.0848;
3388445432139;0.0702;0.0180;-0.0848;
3388455511566;0.1245;0.0297;-0.0838;
3388465656566;0.1746;0.0413;-0.0869;
3388475762816;0.2065;0.0498;-0.0880;
3388485897764;0.2140;0.0541;-0.0891;
3388495968909;0.1810;0.0423;-0.0944;
3388506084482;0.1288;0.0276;-0.1008;
3388516191670;0.0872;0.0233;-0.1061;
3388526334743;0.0531;0.0212;-0.1093;
3388536413076;0.0201;0.0169;-0.1093;
3388546519795;-0.0055;0.0137;-0.1072;
3388556635732;-0.0268;0.0137;-0.1040;
3388566760889;-0.0321;0.0190;-0.0987;
3388576855159;-0.0289;0.0244;-0.0912;
3388586960003;-0.0300;0.0265;-0.0859;
3388597070368;-0.0406;0.0244;-0.0784;
3388607171878;-0.0481;0.0276;-0.0720;
3388617290003;-0.0555;0.0276;-0.0678;
3388627398441;-0.0555;0.0222;-0.0635;
3388637509743;-0.0577;0.0180;-0.0550;
3388647625211;-0.0619;0.0148;-0.0422;
3388657729118;-0.0672;0.0063;-0.0241;
3388667836618;-0.0758;-0.0055;-0.0081;
3388677955524;-0.0800;-0.0204;0.0079;
3388688060420;-0.0758;-0.0278;0.0292;
3388698157503;-0.0555;-0.0278;0.0494;
3388708293441;0.0148;-0.0257;0.0739;
3388718381878;0.1117;-0.0225;0.1036;
3388728496201;0.2129;-0.0236;0.1345;
3388738604899;0.3013;-0.0300;0.1611;
3388748706045;0.3514;-0.0385;0.1824;
3388758843649;0.3418;-0.0481;0.1899;
3388768928701;0.2715;-0.0672;0.1867;
3388779028076;0.1937;-0.0715;0.1856;
3388789162711;0.1383;-0.0545;0.1888;
3388799266045;0.0680;-0.0459;0.1867;
3388809404951;-0.0065;-0.0427;0.1760;
3388819518180;-0.0640;-0.0300;0.1590;
3388829588389;-0.1033;-0.0172;0.1451;
3388839715316;-0.1278;-0.0150;0.1334;
3388849837243;-0.1172;-0.0161;0.1260;
3388859923545;-0.1023;-0.0204;0.1164;
3388870041930;-0.0768;-0.0300;0.1089;
3388880132503;-0.0310;-0.0342;0.1068;
3388890253232;0.0244;-0.0321;0.1089;
3388900377555;0.0862;-0.0214;0.1089;
3388910472191;0.1447;-0.0023;0.0993;
3388920582503;0.1735;0.0052;0.0899;
3388930705732;0.1671;0.0009;0.0814;
3388940795941;0.1501;-0.0012;0.0803;
3388950908128;0.1479;0.0052;0.0792;
3388961031982;0.1501;0.0148;0.0707;
3388971140316;0.1330;0.0095;0.0632;
3388981250368;0.1192;0.0084;0.0569;
3388991360316;0.1309;0.0169;0.0547;
3389001476461;0.1170;0.0116;0.0515;
3389011587399;0.0435;-0.0268;0.0451;
3389021687503;0.0233;-0.0406;0.0430;
3389031799795;0.0936;-0.0150;0.0473;
3389041907711;0.1426;-0.0001;0.0547;
3389052019118;0.0723;-0.0385;0.0302;
3389062127191;-0.2631;-0.1290;0.0196;
3389072235524;-0.0630;-0.0651;0.0558;
3389082350420;-0.0758;-0.0534;0.0686;
3389092458961;-0.1555;-0.0992;0.0643;
3389102568128;-0.0715;-0.0609;0.0803;
