Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
3547569994319208;0.0003;0.0001;0.0005;
3547570196484833;0.0008;-0.0001;-0.0000;
3547570398620823;0.0010;-0.0002;0.0002;
3547570600804677;0.0009;0.0001;-0.0001;
3547570802934521;0.0004;-0.0001;-0.0001;
3547571005081813;0.0007;-0.0000;0.0004;
3547571207238375;0.0009;0.0001;0.0002;
3547571409393375;0.0003;0.0001;0.0004;
3547571611542229;0.0006;0.0004;-0.0001;
3547571813687490;0.0004;-0.0001;0.0002;
3547572015833271;0.0010;-0.0003;0.0000;
3547572217991917;0.0008;0.0001;0.0004;
3547572420125927;0.0006;0.0001;0.0004;
3547572622291500;0.0005;-0.0002;-0.0002;
3547572824449990;0.0007;-0.0003;0.0002;
3547573026592542;0.0006;0.0005;-0.0001;
3547573228744260;0.0008;0.0003;0.0002;
3547573430901188;0.0007;-0.0002;-0.0019;
3547573633054625;0.0220;0.0120;0.0095;
3547573835239885;0.0333;-0.0103;-0.0027;
3547574037372333;0.0241;0.0488;0.0083;
3547574239519885;-0.0079;-0.0574;-0.0144;
3547574441656813;0.0003;0.0003;0.0004;
3547574643816396;-0.0000;-0.0000;0.0003;
3547574845998115;0.0002;0.0001;0.0000;
3547575048143688;0.0008;0.0002;0.0002;
3547575250272646;0.0004;-0.0004;0.0000;
3547575452435823;0.0008;-0.0000;0.0004;
3547575654578167;0.0006;0.0005;0.0005;
3547575856732490;0.0163;0.1409;0.0266;
3547576058876500;0.0454;-0.0212;-0.0011;
3547576261035563;0.0780;-0.0669;-0.0139;
3547576463195510;0.0800;0.0452;0.0082;
3547576665335146;0.0429;0.0287;0.0119;
3547576867487698;0.0228;0.0292;-0.0031;
3547577069658323;-0.0025;-0.0899;-0.0161;
3547577271790875;0.0007;0.0016;-0.0014;
3547577473946396;0.0111;0.0248;-0.0154;
3547577676097385;0.0006;0.0001;-0.0001;
3547577878263271;0.0073;-0.1332;-0.0026;
3547578080403271;-0.0115;0.0056;0.0004;
3547578282581188;0.0008;-0.0002;0.0001;
3547578484700979;0.0064;-0.0263;-0.0003;
3547578686862594;0.1474;-0.4767;-0.0376;
3547578889012438;-0.0821;0.1835;-0.0282;
3547579091183948;-0.2531;0.3491;-0.0283;
3547579293318115;0.3397;0.4954;0.2244;
3547579495468115;-0.2160;-0.2849;-0.1049;
3547579697626344;-0.0120;-0.1927;-0.0058;
3547579899797229;0.0035;0.0712;-0.0188;
3547580101932125;-0.0074;0.0649;0.0068;
3547580304081760;0.0003;0.0001;0.0002;
3547580506231500;0.0010;0.1236;0.0265;
3547580708392802;-0.0014;-0.0293;0.0234;
3547580910530146;0.0019;0.1022;-0.0000;
3547581112683792;-0.0004;0.0310;0.0057;
3547581314854990;-0.0058;-0.0497;-0.0007;
3547581516981292;0.0014;-0.0243;-0.0339;
3547581719152177;0.0004;0.0041;-0.0013;
3547581921285927;0.0004;-0.0003;0.0000;
3547582123433948;0.0010;-0.0003;0.0002;
3547582325612385;0.0007;-0.0001;0.0003;
3547582527737281;0.0027;0.2119;0.0313;
3547582729899208;0.0036;0.0782;0.0064;
3547582932038115;-0.0042;-0.2401;-0.0178;
3547583134198010;0.0003;-0.1639;-0.0283;
3547583336341344;0.0016;0.2179;0.0444;
3547583538481760;0.0040;0.0353;0.0003;
3547583740648948;0.0048;-0.0289;0.0024;
3547583942798896;0.0044;-0.0313;0.0022;
3547584144949365;0.0131;-0.0991;-0.0083;
3547584347090615;-0.0260;-0.0059;0.0022;
