Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
3547569873028427;-0.0123;9.7161;1.7379;
3547570075189469;-0.0135;9.7172;1.7346;
3547570277324000;-0.0070;9.7167;1.7367;
3547570479491396;-0.0109;9.7119;1.7368;
3547570681634833;-0.0151;9.7152;1.7369;
3547570883801813;-0.0098;9.7137;1.7285;
3547571085948896;-0.0146;9.7149;1.7349;
3547571288104521;-0.0100;9.7145;1.7363;
3547571490240250;-0.0097;9.7170;1.7340;
3547571692402021;-0.0099;9.7206;1.7330;
3547571894550250;-0.0091;9.7177;1.7338;
3547572096698271;-0.0093;9.7155;1.7290;
3547572298872177;-0.0107;9.7103;1.7338;
3547572500997438;-0.0107;9.7183;1.7364;
3547572703157021;-0.0121;9.7143;1.7314;
3547572905309000;-0.0111;9.7200;1.7253;
3547573107461969;-0.0101;9.7159;1.7331;
3547573309609573;-0.0183;9.7191;1.7289;
3547573511757333;0.0008;9.7135;1.7314;
3547573713915510;-0.0724;9.7318;1.6821;
3547573916057750;0.0542;9.7234;1.6278;
3547574118221188;-0.0228;9.7410;1.5921;
3547574320363063;-0.0013;9.7322;1.5868;
3547574522532854;-0.0085;9.7366;1.5824;
3547574724671552;-0.0135;9.7375;1.5870;
3547574926824417;-0.0113;9.7426;1.5889;
3547575128983479;-0.0129;9.7430;1.5907;
3547575331133063;-0.0169;9.7340;1.5928;
3547575533283844;-0.0074;9.7377;1.5885;
3547575735448375;-0.0074;9.7315;1.5752;
3547575937590250;-0.1087;9.7640;1.5706;
3547576139742125;-0.0789;9.7552;1.4558;
3547576341908219;-0.0935;9.7788;1.3039;
3547576544070354;-0.0766;9.7975;1.1643;
3547576746203740;0.3129;9.8094;1.0935;
3547576948348844;-0.0243;9.8132;1.0395;
3547577150491448;0.0864;9.8130;1.0377;
3547577352664313;-0.0289;9.8157;1.0332;
3547577554835458;-0.0452;9.8143;1.0197;
3547577756962490;-0.0519;9.8201;1.0141;
3547577959176604;-0.0455;9.8090;1.0150;
3547578161259625;-0.0311;9.8068;1.0178;
3547578363417906;-0.0258;9.8163;1.0386;
3547578565568010;-0.0291;9.8074;1.0915;
3547578767716656;-0.0716;9.8481;0.5440;
3547578969876552;-0.1122;9.8134;1.0822;
3547579172014417;-0.5693;9.7761;1.5073;
3547579374180927;0.2389;9.7818;0.5238;
3547579576327698;-0.0340;9.8167;1.1734;
3547579778485250;0.1648;9.7767;1.0881;
3547579980635615;-0.1020;9.8068;1.1574;
3547580182789729;-0.0921;9.7946;1.1988;
3547580384941396;-0.0456;9.7892;1.1568;
3547580587090615;-0.1052;9.8068;1.1717;
3547580789240927;-0.0051;9.7942;1.1578;
3547580991389938;-0.0875;9.8207;1.1471;
3547581193542646;-0.0313;9.7979;1.1755;
3547581395693896;-0.0236;9.7983;1.1788;
3547581597852646;-0.0886;9.7952;1.1707;
3547581799988635;-0.0893;9.8045;1.1733;
3547582002150250;-0.0891;9.7973;1.1675;
3547582204292490;-0.0879;9.7997;1.1701;
3547582406447698;-0.0923;9.7991;1.1699;
3547582608604990;-0.0955;9.8069;1.1729;
3547582810754052;-0.0929;9.7970;1.1786;
3547583012899781;-0.0439;9.7903;1.2345;
3547583215061448;-0.0827;9.7975;1.0795;
3547583417213010;-0.0948;9.8155;1.1644;
3547583619347854;-0.0488;9.8009;1.1773;
3547583821538427;-0.0434;9.7996;1.1578;
3547584023673063;-0.0335;9.7995;1.1710;
3547584225813948;-0.0718;9.8129;1.1083;
3547584427963271;0.0151;9.7807;1.1897;
3547584630134938;-0.0230;9.7976;1.1765;
3547584832259938;-0.0494;9.7955;1.1264;
3547585034416917;-0.0937;9.7978;1.2331;
3547585236580198;-0.0920;9.7973;1.1827;
3547585438718427;-0.1062;9.8003;1.1820;
3547585640857438;-0.0854;9.7975;1.1780;
3547585843003792;-0.0949;9.7934;1.1804;
3547586045161135;-0.0935;9.7946;1.1833;
3547586247312646;-0.0941;9.7937;1.1834;
3547586449465875;-0.0927;9.7929;1.1812;
3547586651618948;-0.0940;9.7929;1.1866;
3547586853768479;-0.1924;9.8361;1.2596;
3547587055948896;0.1230;9.7433;1.1055;
3547587258071135;-0.1093;9.7911;1.1889;
3547587460217854;-0.0942;9.7961;1.1848;
3547587662368427;-0.0912;9.7940;1.1833;
3547587864522021;-0.0969;9.7997;1.1842;
3547588066674521;-0.0927;9.7906;1.1827;
3547588268824156;-0.0886;9.7943;1.1795;
3547588470976917;-0.0935;9.7982;1.1824;
3547588673128896;-0.0955;9.7964;1.1833;
3547588875283219;-0.0849;9.7949;1.1863;
3547589077433323;-0.0965;9.7923;1.1839;
3547589279592438;-0.0960;9.7960;1.1875;
3547589481733635;-0.0939;9.8006;1.1870;
3547589683894156;-0.0958;9.7919;1.1788;
3547589886055354;-0.0899;9.7934;1.1887;
3547590088199885;-0.0923;9.7965;1.1705;
3547590290351031;-0.0970;9.7916;1.1769;
3547590492507958;-0.0608;9.7919;1.1783;
3547590694650927;-0.0693;9.7945;1.1937;
3547590896809781;-0.0902;9.7979;1.1791;
3547591098973896;-0.0439;9.7854;1.1836;
3547591301137698;-0.1124;9.8064;1.1940;
3547591503282333;-0.0958;9.7988;1.1751;
3547591705455146;-0.0915;9.7957;1.1824;
3547591907610094;-0.0916;9.7928;1.1767;
3547592109721552;-0.0914;9.7897;1.1747;
3547592311887958;-0.0917;9.7857;1.1818;
3547592514037229;-0.0905;9.7891;1.1821;
3547592716186240;-0.0965;9.7958;1.1816;
3547592918357698;-0.0931;9.7936;1.1831;
3547593120520042;-0.0900;9.7967;1.1758;
3547593322646344;-0.0983;9.7983;1.1735;
3547593524824260;-0.0951;9.7921;1.1852;
3547593726980927;-0.0967;9.7941;1.1755;
3547593929103427;-0.0933;9.7940;1.1704;
3547594131289781;-0.0935;9.7933;1.1753;
3547594333421344;-0.0920;9.7959;1.1779;
3547594535575510;-0.0967;9.7927;1.1719;
3547594737731135;-0.0937;9.7928;1.1719;
3547594939881031;-0.0942;9.7927;1.1695;
3547595142025823;-0.0915;9.7915;1.1803;
3547595344199156;-0.0976;9.7948;1.1769;
3547595546353635;-0.0928;9.7922;1.1693;
3547595748500510;-0.0918;9.7924;1.1670;
3547595950650719;-0.0861;9.7951;1.1749;
3547596152820823;-0.0872;9.7952;1.1728;
3547596354976240;-0.0958;9.7934;1.1695;
3547596557102906;-0.0916;9.7976;1.1716;
3547596759264260;-0.0929;9.7982;1.1680;
3547596961431813;-0.0906;9.7936;1.1753;
3547597163592073;-0.0964;9.7991;1.1701;
3547597365730615;-0.0965;9.7995;1.1717;
3547597567885406;-0.0886;9.7982;1.1725;
3547597770029677;-0.0888;9.8037;1.1764;
3547597972172490;-0.0940;9.7970;1.1741;
3547598174335719;-0.0929;9.7958;1.1721;
3547598376472698;-0.0896;9.7951;1.1671;
3547598578626448;-0.0961;9.7964;1.1743;
3547598780790458;-0.0947;9.7922;1.1776;
3547598982961031;-0.0904;9.7987;1.1716;
3547599185081500;-0.0912;9.7963;1.1683;
3547599387242125;-0.0917;9.7946;1.1705;
3547599589408792;-0.0918;9.7959;1.1722;
3547599791544469;-0.0911;9.7942;1.1700;
3547599993703271;-0.0949;9.7948;1.1754;
3547600195861708;-0.0928;9.7991;1.1731;
3547600398006344;-0.0948;9.7988;1.1718;
3547600600168688;-0.0946;9.7961;1.1687;
3547600802296917;-0.0893;9.7995;1.1677;
3547601004466760;-0.0902;9.7954;1.1761;
3547601206612073;-0.0881;9.8013;1.1697;
3547601408774417;-0.0923;9.8007;1.1747;
3547601610933427;-0.0904;9.7967;1.1694;
3547601813072177;-0.0906;9.7954;1.1701;
3547602015236708;-0.0882;9.7963;1.1688;
3547602217381396;-0.0952;9.8013;1.1764;
3547602419527177;-0.0912;9.7977;1.1783;
3547602621680250;-0.0948;9.7999;1.1718;
3547602823839365;-0.0910;9.7973;1.1724;
3547603025996760;-0.0958;9.7971;1.1741;
3547603228138844;-0.0898;9.7960;1.1748;
3547603430294365;-0.0931;9.7949;1.1743;
3547603632438427;-0.0866;9.8009;1.1733;
3547603834600094;-0.0908;9.8015;1.1757;
3547604036747646;-0.0948;9.7997;1.1753;
3547604238887073;-0.0949;9.7939;1.1746;
3547604441055406;-0.0914;9.7966;1.1709;
3547604643180458;-0.0911;9.7991;1.1751;
3547604845366188;-0.0894;9.7987;1.1737;
3547605047478792;-0.0936;9.7988;1.1755;
3547605249657646;-0.0923;9.7960;1.1763;
3547605451804052;-0.0924;9.7935;1.1718;
3547605653954677;-0.0918;9.7951;1.1727;
3547605856095510;-0.0925;9.8024;1.1722;
3547606058256448;-0.0940;9.8015;1.1704;
3547606260395094;-0.0893;9.7915;1.1733;
3547606462575615;-0.0942;9.7939;1.1698;
3547606664712802;-0.0935;9.8002;1.1692;
3547606866841552;-0.0967;9.7919;1.1772;
3547607069019260;-0.0963;9.7960;1.1754;
3547607271154677;-0.0923;9.7987;1.1782;
3547607473305979;-0.0957;9.7936;1.1689;
3547607675459052;-0.0984;9.7943;1.1729;
3547607877606083;-0.0914;9.7951;1.1737;
3547608079773740;-0.0939;9.7925;1.1721;
3547608281904625;-0.0934;9.7939;1.1820;
3547608484056552;-0.0915;9.8005;1.1743;
3547608686214781;-0.0937;9.7928;1.1736;
3547608888372177;-0.0920;9.7951;1.1736;
3547609090520354;-0.0970;9.7951;1.1734;
3547609292651292;-0.0906;9.7922;1.1782;
3547609494827958;-0.0966;9.7935;1.1707;
3547609696977594;-0.0922;9.7912;1.1731;
3547609899125615;-0.0903;9.7915;1.1749;
3547610101289469;-0.0927;9.7898;1.1758;
3547610303404208;-0.0978;9.7993;1.1746;
3547610505559833;-0.0952;9.7933;1.1773;
3547610707719260;-0.0931;9.7917;1.1748;
3547610909879990;-0.0921;9.7931;1.1748;
3547611112033115;-0.0930;9.7969;1.1777;
3547611314152646;-0.0991;9.7921;1.1774;
3547611516322906;-0.0892;9.8005;1.1733;
3547611718491344;-0.0905;9.7975;1.1807;
3547611920614052;-0.0939;9.7997;1.1729;
3547612122780563;-0.0937;9.7984;1.1749;
3547612324946396;-0.0954;9.7993;1.1729;
3547612527075875;-0.0947;9.8009;1.1728;
3547612729242385;-0.0904;9.7940;1.1717;
3547612931387438;-0.0917;9.8021;1.1739;
3547613133528740;-0.0990;9.7959;1.1747;
3547613335696292;-0.0898;9.7937;1.1725;
3547613537818323;-0.0961;9.7969;1.1745;
3547613739999208;-0.0925;9.7961;1.1730;
3547613942118219;-0.0936;9.7947;1.1743;
3547614144295667;-0.0952;9.7936;1.1719;
3547614346439000;-0.0937;9.7964;1.1795;
3547614548563323;-0.0909;9.7964;1.1729;
3547614750749000;-0.0891;9.7966;1.1784;
3547614952876292;-0.0949;9.7970;1.1755;
3547615155056165;-0.0923;9.7952;1.1757;
3547615357188093;-0.0961;9.7955;1.1840;
3547615559334030;-0.0970;9.7967;1.1763;
3547615761499863;-0.0930;9.7939;1.1718;
3547615963649395;-0.0931;9.7958;1.1654;
3547616165800124;-0.0917;9.7935;1.1798;
3547616367952259;-0.0946;9.7995;1.1752;
3547616570089499;-0.0991;9.8006;1.1754;
3547616772245540;-0.0947;9.8014;1.1788;
3547616974389134;-0.0917;9.7991;1.1778;
3547617176555905;-0.0917;9.7985;1.1774;
3547617378703093;-0.0967;9.7970;1.1755;
3547617580855645;-0.0984;9.8000;1.1752;
3547617782965645;-0.0939;9.7942;1.1730;
3547617985147520;-0.0927;9.7947;1.1783;
3547618187296374;-0.0935;9.7965;1.1765;
3547618389450905;-0.0940;9.7966;1.1791;
3547618591620332;-0.0922;9.7955;1.1741;
3547618793732936;-0.0928;9.8012;1.1752;
3547618995920957;-0.0953;9.8009;1.1737;
3547619198042988;-0.0902;9.7961;1.1740;
3547619400214290;-0.0946;9.7997;1.1780;
3547619602352155;-0.0957;9.8034;1.1773;
3547619804505593;-0.0954;9.7996;1.1786;
3547620006656009;-0.0959;9.7947;1.1723;
3547620208811530;-0.0922;9.7966;1.1767;
3547620410951218;-0.0958;9.7983;1.1754;
3547620613110436;-0.0975;9.7983;1.1803;
3547620815255436;-0.0909;9.7960;1.1772;
3547621017417311;-0.0948;9.7970;1.1824;
3547621219550020;-0.0979;9.7978;1.1747;
3547621421707051;-0.0975;9.7997;1.1803;
3547621623850072;-0.0946;9.7987;1.1771;
3547621826003926;-0.0908;9.7989;1.1782;
3547622028119655;-0.0941;9.7989;1.1737;
3547622230311270;-0.0964;9.7989;1.1771;
3547622432454603;-0.0984;9.7987;1.1701;
3547622634606738;-0.0916;9.8032;1.1792;
3547622836762884;-0.0941;9.8058;1.1803;
3547623038888040;-0.0957;9.8034;1.1778;
3547623241061634;-0.0947;9.7995;1.1767;
3547623443204811;-0.0951;9.7948;1.1713;
3547623645355332;-0.0920;9.7954;1.1788;
3547623847511374;-0.0963;9.7967;1.1735;
3547624049622155;-0.0958;9.7967;1.1715;
3547624251799499;-0.0935;9.7967;1.1803;
3547624453944968;-0.0943;9.7953;1.1728;
3547624656087624;-0.0910;9.7946;1.1810;
3547624858249395;-0.0920;9.7979;1.1712;
3547625060398978;-0.0935;9.7929;1.1826;
3547625262550540;-0.0946;9.7979;1.1791;
3547625464702832;-0.0960;9.7946;1.1769;
3547625666863145;-0.0880;9.7967;1.1778;
3547625868996270;-0.0942;9.7978;1.1790;
3547626071154082;-0.0927;9.7985;1.1687;
3547626273307832;-0.0927;9.7921;1.1747;
3547626475465436;-0.0953;9.7964;1.1707;
3547626677612936;-0.0970;9.7964;1.1715;
3547626879754290;-0.0972;9.7943;1.1824;
3547627081914082;-0.0930;9.7958;1.1777;
3547627284062676;-0.0942;9.7953;1.1728;
3547627486225072;-0.0985;9.7918;1.1783;
3547627688361374;-0.0978;9.7910;1.1770;
3547627890517051;-0.0931;9.7943;1.1812;
3547628092668874;-0.1005;9.7933;1.1759;
3547628294799707;-0.0910;9.7904;1.1830;
3547628496945332;-0.0915;9.7979;1.1770;
3547628699097572;-0.0975;9.7965;1.1719;
3547628901265280;-0.0972;9.7952;1.1816;
3547629103409134;-0.0931;9.7979;1.1713;
3547629305542103;-0.0911;9.7964;1.1748;
3547629507697572;-0.0934;9.7985;1.1824;
3547629709847415;-0.0954;9.7958;1.1785;
3547629912013926;-0.0958;9.7953;1.1733;
3547630114156165;-0.0961;9.8045;1.1719;
3547630316320280;-0.0970;9.7989;1.1758;
3547630518465488;-0.0972;9.8021;1.1742;
3547630720606790;-0.0973;9.8000;1.1742;
3547630922759915;-0.0942;9.7971;1.1778;
3547631124899290;-0.0935;9.8003;1.1789;
3547631327068718;-0.0975;9.8003;1.1688;
3547631529200488;-0.0949;9.8012;1.1758;
3547631731360645;-0.0912;9.7947;1.1792;
3547631933487051;-0.0941;9.7965;1.1761;
3547632135651061;-0.0988;9.7970;1.1722;
3547632337812520;-0.1000;9.8012;1.1772;
3547632539951634;-0.0914;9.7985;1.1795;
3547632742107363;-0.0894;9.7977;1.1797;
3547632944238197;-0.0954;9.7995;1.1746;
3547633146382988;-0.0984;9.7991;1.1757;
3547633348549707;-0.0929;9.8031;1.1773;
3547633550702624;-0.1002;9.8006;1.1791;
3547633752848874;-0.0942;9.8048;1.1731;
3547633954998718;-0.0958;9.8007;1.1719;
3547634157163509;-0.0937;9.7994;1.1701;
3547634359309655;-0.0952;9.7990;1.1808;
3547634561437676;-0.0972;9.7973;1.1689;
3547634763605957;-0.0916;9.7989;1.1783;
3547634965743040;-0.0985;9.7985;1.1716;
3547635167907415;-0.0934;9.7983;1.1774;
3547635370062780;-0.0970;9.8014;1.1789;
