Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
687906753760758;-0.0040;-0.0024;0.0039;
687906758806591;0.0035;-0.0013;0.0039;
687906763888466;0.0013;0.0019;0.0017;
687906768939247;0.0013;0.0019;-0.0025;
687906773998466;0.0013;0.0019;-0.0004;
687906779046956;0.0024;-0.0003;0.0007;
687906784091070;0.0013;0.0008;-0.0025;
687906789159091;0.0003;0.0019;-0.0025;
687906794191487;0.0003;-0.0013;-0.0015;
687906799249039;0.0024;-0.0003;0.0017;
687906804315966;0.0003;-0.0013;-0.0015;
687906809382216;-0.0008;0.0008;-0.0004;
687906814440133;0.0003;0.0008;0.0017;
687906819475654;-0.0040;-0.0013;0.0007;
687906824521747;-0.0040;-0.0003;-0.0015;
687906829584612;-0.0008;-0.0013;0.0007;
687906834658987;-0.0008;-0.0013;-0.0004;
687906839682425;0.0003;-0.0013;-0.0015;
687906844767320;0.0013;-0.0013;-0.0004;
687906849801643;0.0013;-0.0003;-0.0025;
687906854848987;0.0003;0.0019;-0.0015;
687906859910602;-0.0019;0.0029;-0.0036;
687906864954508;-0.0019;0.0029;-0.0015;
687906870015341;0.0003;0.0008;-0.0015;
687906875078570;0.0003;-0.0013;-0.0015;
687906880125393;0.0024;-0.0003;-0.0015;
687906885178987;0.0024;0.0008;-0.0015;
687906890234508;0.0045;-0.0013;-0.0025;
687906895288258;0.0013;-0.0035;-0.0036;
687906900340237;0.0013;-0.0024;-0.0036;
687906905395133;0.0035;-0.0003;-0.0025;
687906910452060;0.0035;-0.0003;-0.0036;
687906915500081;0.0013;-0.0003;-0.0047;
687906920542320;0.0013;-0.0013;-0.0047;
687906925608258;0.0013;-0.0013;-0.0036;
687906930670237;0.0035;-0.0003;-0.0047;
687906935724404;0.0013;-0.0003;-0.0047;
687906940779143;0.0003;-0.0003;-0.0036;
687906945831591;-0.0008;0.0008;-0.0047;
687906950888050;-0.0008;-0.0003;-0.0025;
687906955942008;0.0035;0.0008;-0.0004;
687906960991435;0.0024;-0.0003;-0.0025;
687906966050602;0.0003;-0.0003;-0.0025;
687906971102008;0.0013;0.0008;-0.0025;
687906976158466;0.0013;0.0019;-0.0015;
687906981209300;0.0024;0.0008;-0.0036;
687906986269300;-0.0019;-0.0003;-0.0036;
687906991314300;-0.0008;0.0008;-0.0004;
687906996362268;0.0013;-0.0013;-0.0004;
687907001428154;0.0013;-0.0003;0.0017;
687907006481800;-0.0019;-0.0003;0.0028;
687907011542112;-0.0029;-0.0003;0.0017;
687907016588310;-0.0008;-0.0013;0.0017;
687907021642008;0.0003;-0.0003;0.0017;
687907026698466;-0.0008;-0.0003;0.0028;
687907031752268;-0.0019;0.0008;0.0039;
687907036809872;-0.0008;0.0019;0.0039;
687907041857216;-0.0008;0.0008;0.0039;
687907046913883;-0.0029;0.0019;0.0039;
687907051971175;-0.0029;0.0008;0.0039;
687907057046904;-0.0019;0.0029;0.0049;
687907062074820;-0.0008;0.0019;0.0060;
687907067130133;-0.0008;0.0008;0.0060;
687907072184143;-0.0008;0.0008;0.0039;
687907077222320;-0.0008;0.0019;0.0060;
687907082289716;0.0013;0.0008;0.0039;
687907087345341;0.0003;0.0008;0.0028;
687907092392060;-0.0019;-0.0003;0.0017;
687907097454716;-0.0019;0.0029;0.0028;
687907102495133;-0.0008;0.0029;0.0017;
687907107564143;-0.0008;0.0008;0.0017;
687907112605341;0.0003;0.0008;0.0028;
687907117673050;-0.0008;0.0019;0.0007;
687907122710654;-0.0019;0.0040;-0.0015;
687907127777425;0.0003;0.0019;-0.0015;
687907132818466;0.0003;0.0019;-0.0015;
687907137882633;0.0003;0.0008;-0.0025;
687907142933466;0.0024;0.0029;-0.0036;
687907147994820;-0.0008;0.0029;-0.0057;
687907153034560;-0.0008;0.0019;-0.0057;
687907158122841;0.0024;0.0008;-0.0068;
687907163165393;0.0003;-0.0003;-0.0089;
687907168195550;0.0003;-0.0003;-0.0100;
687907173278258;0.0024;-0.0003;-0.0089;
687907178318675;0.0024;-0.0003;-0.0089;
687907183386122;0.0035;-0.0003;-0.0079;
687907188428779;0.0035;-0.0024;-0.0079;
687907193484039;0.0035;-0.0024;-0.0100;
687907198540289;0.0024;-0.0024;-0.0100;
687907203586852;0.0024;-0.0013;-0.0121;
687907208641643;0.0024;-0.0024;-0.0132;
687907213704091;0.0035;-0.0013;-0.0121;
687907218751643;0.0035;-0.0003;-0.0121;
687907223794925;0.0024;-0.0003;-0.0142;
687907228864716;0.0024;-0.0003;-0.0121;
687907233925133;0.0035;0.0019;-0.0121;
687907238986956;0.0003;0.0029;-0.0111;
687907244012945;0.0035;0.0008;-0.0111;
687907249078466;0.0035;0.0019;-0.0111;
687907254110133;0.0024;0.0019;-0.0121;
687907259195654;0.0024;0.0019;-0.0100;
687907264264404;0.0013;-0.0013;-0.0111;
687907269289716;0.0035;-0.0003;-0.0111;
687907274354456;0.0045;-0.0003;-0.0111;
687907279421695;0.0077;-0.0035;-0.0111;
687907284491695;0.0035;-0.0024;-0.0111;
687907289507633;0.0035;-0.0003;-0.0111;
687907294562008;0.0067;-0.0024;-0.0121;
687907299621070;0.0045;-0.0024;-0.0142;
687907304657216;0.0024;0.0008;-0.0132;
687907309724977;0.0035;-0.0003;-0.0111;
687907314800341;0.0024;0.0008;-0.0121;
687907319841383;0.0035;-0.0013;-0.0132;
687907324878466;0.0056;-0.0024;-0.0132;
687907329943727;0.0067;-0.0003;-0.0132;
687907334988154;0.0056;-0.0013;-0.0142;
687907340051279;0.0056;-0.0056;-0.0132;
687907345097633;0.0056;-0.0056;-0.0153;
687907350156591;0.0056;-0.0024;-0.0164;
687907355225445;0.0067;-0.0024;-0.0142;
687907360269716;0.0077;-0.0056;-0.0164;
687907365322425;0.0067;-0.0056;-0.0164;
687907370378258;0.0035;0.0040;-0.0185;
687907375430341;-0.0040;-0.0067;-0.0228;
687907380487320;0.0013;0.0019;-0.0228;
687907385537841;0.0248;0.0093;-0.0164;
687907390592529;0.0056;0.0029;-0.0228;
687907395646175;-0.0178;0.0019;-0.0217;
687907400713258;0.0003;-0.0013;-0.0238;
687907405749612;0.0099;-0.0067;-0.0281;
687907410790445;0.0067;-0.0003;-0.0260;
687907415848050;0.0088;0.0051;-0.0206;
687907420929612;0.0056;-0.0013;-0.0217;
687907425968987;0.0013;0.0019;-0.0281;
687907431031383;0.0152;-0.0003;-0.0228;
687907436075550;0.0130;-0.0045;-0.0249;
687907441143675;-0.0008;-0.0045;-0.0302;
687907446195966;0.0056;-0.0056;-0.0260;
687907451275914;0.0152;-0.0109;-0.0249;
687907456292737;0.0077;-0.0099;-0.0249;
687907461354716;0.0099;-0.0056;-0.0228;
687907466409716;0.0130;-0.0088;-0.0249;
687907471468727;0.0088;-0.0067;-0.0281;
687907476509716;0.0109;-0.0045;-0.0270;
687907481578987;0.0120;-0.0067;-0.0302;
687907486634925;0.0109;-0.0035;-0.0334;
687907491684820;0.0099;-0.0024;-0.0345;
687907496740550;0.0109;-0.0003;-0.0366;
687907501793258;0.0088;-0.0067;-0.0377;
687907506849404;0.0120;-0.0077;-0.0387;
687907511899716;0.0130;-0.0045;-0.0419;
687907516942685;0.0120;-0.0067;-0.0430;
687907522000966;0.0141;-0.0067;-0.0441;
687907527056279;0.0141;-0.0088;-0.0494;
687907532107841;0.0067;-0.0109;-0.0505;
687907537165862;-0.0029;-0.0120;-0.0515;
687907542220393;-0.0125;-0.0130;-0.0558;
687907547271904;-0.0157;-0.0141;-0.0622;
687907552324404;-0.0232;-0.0130;-0.0664;
687907557390445;-0.0306;-0.0120;-0.0686;
687907562422945;-0.0349;-0.0141;-0.0707;
687907567491695;-0.0360;-0.0130;-0.0760;
687907572529508;-0.0370;-0.0120;-0.0814;
687907577598154;-0.0360;-0.0141;-0.0856;
687907582635550;-0.0370;-0.0141;-0.0899;
687907587711591;-0.0381;-0.0130;-0.0952;
687907592743466;-0.0402;-0.0152;-0.0984;
687907597790758;-0.0466;-0.0162;-0.1037;
687907602851279;-0.0530;-0.0173;-0.1069;
687907607923883;-0.0615;-0.0216;-0.1112;
687907612963883;-0.0711;-0.0194;-0.1176;
687907618028727;-0.0796;-0.0194;-0.1229;
687907623077164;-0.0903;-0.0226;-0.1261;
687907628133675;-0.0977;-0.0216;-0.1346;
687907633202164;-0.1073;-0.0226;-0.1399;
687907638233570;-0.1180;-0.0258;-0.1453;
687907643346591;-0.1233;-0.0258;-0.1527;
687907648354300;-0.1286;-0.0258;-0.1612;
687907653411279;-0.1425;-0.0258;-0.1666;
687907658454560;-0.1521;-0.0248;-0.1762;
687907663522841;-0.1670;-0.0290;-0.1815;
687907668596591;-0.1787;-0.0301;-0.1879;
687907673628675;-0.1915;-0.0322;-0.1964;
687907678686904;-0.2064;-0.0333;-0.2039;
687907683739195;-0.2213;-0.0354;-0.2124;
687907688785810;-0.2341;-0.0365;-0.2198;
687907693843102;-0.2533;-0.0365;-0.2284;
687907698895550;-0.2692;-0.0344;-0.2337;
687907703982737;-0.2778;-0.0375;-0.2411;
687907709008466;-0.2905;-0.0365;-0.2465;
687907714044456;-0.3055;-0.0375;-0.2507;
687907719097008;-0.3246;-0.0418;-0.2571;
687907724163466;-0.3534;-0.0418;-0.2603;
687907729216175;-0.3875;-0.0418;-0.2614;
687907734262112;-0.4173;-0.0450;-0.2667;
687907739329820;-0.4386;-0.0482;-0.2699;
687907744385133;-0.4429;-0.0514;-0.2699;
687907749440133;-0.4237;-0.0546;-0.2710;
687907754484195;-0.3949;-0.0589;-0.2688;
687907759542112;-0.3598;-0.0578;-0.2635;
687907764610445;-0.3204;-0.0557;-0.2646;
687907769651643;-0.2788;-0.0525;-0.2656;
687907774687945;-0.2298;-0.0493;-0.2635;
687907779759977;-0.1819;-0.0439;-0.2646;
687907784808935;-0.1414;-0.0365;-0.2635;
687907789871487;-0.1052;-0.0301;-0.2635;
687907794932737;-0.0786;-0.0258;-0.2656;
687907799986070;-0.0594;-0.0226;-0.2635;
687907805043883;-0.0466;-0.0248;-0.2603;
687907810087060;-0.0477;-0.0258;-0.2603;
687907815144300;-0.0541;-0.0280;-0.2635;
