Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
687907345097633;-9.4813;1.2999;-2.2319;
687907350156591;-9.4693;1.3238;-2.2367;
687907355225445;-9.5124;1.3214;-2.1888;
687907360269716;-9.4597;1.3932;-2.1482;
687907365322425;-9.4119;1.4506;-2.2487;
687907370378258;-9.8527;1.4746;-2.3853;
687907375430341;-9.3879;0.9978;-2.2750;
687907380487320;-9.1843;1.1584;-2.1266;
687907385537841;-9.3233;1.4722;-2.5744;
687907390592529;-9.5100;1.4626;-2.9435;
687907395646175;-9.5701;1.3071;-2.4093;
687907400713258;-9.5486;1.1680;-2.2008;
687907405749612;-9.3616;1.1273;-2.4739;
687907410790445;-9.3736;1.2541;-2.4476;
687907415848050;-9.5653;1.5344;-2.5289;
687907420929612;-9.3209;1.1130;-2.5504;
687907425968987;-9.5533;1.0962;-2.4021;
687907431031383;-9.4980;1.1991;-2.6154;
687907436075550;-9.3855;1.1465;-2.8068;
687907441143675;-9.4669;1.1225;-2.5600;
687907446195966;-9.3927;1.1871;-2.3710;
687907451275914;-9.3281;1.1895;-2.5098;
687907456292737;-9.3975;1.2808;-2.4260;
687907461354716;-9.4525;1.3789;-2.2798;
687907466409716;-9.4286;1.3884;-2.4117;
687907471468727;-9.4908;1.3813;-2.3252;
687907476509716;-9.4525;1.4219;-2.2199;
687907481578987;-9.4454;1.4219;-2.3734;
687907486634925;-9.4478;1.4650;-2.3830;
687907491684820;-9.4980;1.4650;-2.3542;
687907496740550;-9.5267;1.4267;-2.4763;
687907501793258;-9.4334;1.4483;-2.4236;
687907506849404;-9.3903;1.4506;-2.4021;
687907511899716;-9.3951;1.4818;-2.4093;
687907516942685;-9.4023;1.5200;-2.4260;
687907522000966;-9.4669;1.5754;-2.5002;
687907527056279;-9.4549;1.6663;-2.4954;
687907532107841;-9.4789;1.7668;-2.5074;
687907537165862;-9.4262;1.8365;-2.5122;
687907542220393;-9.4382;1.8102;-2.4332;
687907547271904;-9.4932;1.8437;-2.3423;
687907552324404;-9.4645;1.8437;-2.4093;
687907557390445;-9.4717;1.8724;-2.3638;
687907562422945;-9.4956;1.8652;-2.3228;
687907567491695;-9.4765;1.8724;-2.3471;
687907572529508;-9.4406;1.9035;-2.3013;
687907577598154;-9.4382;1.9059;-2.3013;
687907582635550;-9.3951;1.9250;-2.3133;
687907587711591;-9.4573;1.9370;-2.3997;
687907592743466;-9.4549;1.9992;-2.4523;
687907597790758;-9.4621;2.0423;-2.4284;
687907602851279;-9.4549;2.0734;-2.4643;
687907607923883;-9.4310;2.1215;-2.4763;
687907612963883;-9.4214;2.1455;-2.4404;
687907618028727;-9.4382;2.1407;-2.4236;
687907623077164;-9.4406;2.1670;-2.4308;
687907628133675;-9.4908;2.2053;-2.3830;
687907633202164;-9.4860;2.2268;-2.3877;
687907638233570;-9.4980;2.2579;-2.3614;
687907643346591;-9.4478;2.2866;-2.3590;
687907648354300;-9.4238;2.3010;-2.3662;
687907653411279;-9.4119;2.3611;-2.3901;
687907658454560;-9.4095;2.4353;-2.4978;
687907663522841;-9.3640;2.4568;-2.5193;
687907668596591;-9.4190;2.5262;-2.5265;
687907673628675;-9.4549;2.5525;-2.5504;
687907678686904;-9.4334;2.5071;-2.5313;
687907683739195;-9.4717;2.4401;-2.4547;
687907688785810;-9.4262;2.4209;-2.4188;
687907693843102;-9.4549;2.4233;-2.4021;
687907698895550;-9.4334;2.3683;-2.3471;
687907703982737;-9.4358;2.3130;-2.4141;
687907709008466;-9.3664;2.2723;-2.4093;
687907714044456;-9.2970;2.2555;-2.5026;
687907719097008;-9.2632;2.2460;-2.6321;
687907724163466;-9.2489;2.1766;-2.7111;
687907729216175;-9.2178;2.0590;-2.7709;
687907734262112;-9.2058;1.7285;-2.7924;
687907739329820;-9.2755;1.2589;-2.7015;
687907744385133;-9.2560;0.7343;-2.5170;
687907749440133;-9.2994;0.3775;-2.2702;
687907754484195;-9.4310;0.1355;-1.9612;
687907759542112;-9.5605;-0.0009;-1.7671;
687907764610445;-9.6802;-0.0583;-1.6834;
687907769651643;-9.7352;-0.0009;-1.5350;
687907774687945;-9.7208;0.1427;-1.4629;
687907779759977;-9.7065;0.3081;-1.4198;
687907784808935;-9.6467;0.4158;-1.4940;
687907789871487;-9.5267;0.5692;-1.6427;
687907794932737;-9.4478;0.7319;-1.8894;
687907799986070;-9.4286;0.8782;-2.1051;
687907805043883;-9.3305;1.0053;-2.5026;
687907810087060;-9.2683;1.1704;-2.7637;
687907815144300;-9.2489;1.3573;-2.9483;
687907820201591;-9.2970;1.5467;-3.0272;
687907825244977;-9.3712;1.7142;-3.0224;
687907830307477;-9.4238;1.7429;-2.9578;
687907835358675;-9.3832;1.6567;-2.8475;
687907840421695;-9.4071;1.5562;-2.7781;
687907845467320;-9.4167;1.3693;-2.5696;
687907850510029;-9.4214;1.1297;-2.4284;
687907855554300;-9.3903;0.9188;-2.3252;
687907860639925;-9.3520;0.7175;-2.2056;
687907865682633;-9.3353;0.5764;-2.2463;
687907870739508;-9.4047;0.5142;-2.2822;
687907875793258;-9.5195;0.4783;-2.2774;
687907880852893;-9.5725;0.3440;-2.2989;
687907885901070;-9.5462;0.1762;-2.2893;
687907890955445;-9.4597;0.0494;-2.3037;
687907896005341;-9.4071;0.0637;-2.2534;
687907901065966;-9.4765;0.1475;-2.2223;
687907906143362;-9.4956;0.2387;-2.2295;
687907911168154;-9.4669;0.2985;-2.3085;
687907916245966;-9.3760;0.2650;-2.4619;
687907921283883;-9.2970;0.1738;-2.5911;
687907926341904;-9.2632;0.1283;-2.7494;
687907931393258;-9.2683;0.0709;-2.9267;
687907936443258;-9.3473;0.0302;-2.9865;
687907941498362;-9.3736;0.0039;-2.8837;
687907946550758;-9.4286;-0.0969;-2.7876;
687907951606904;-9.4693;-0.3099;-2.5887;
687907956651435;-9.4621;-0.6096;-2.3228;
687907961717008;-9.4669;-0.8707;-2.1840;
687907966771383;-9.4980;-1.0765;-2.0907;
687907971820237;-9.5076;-1.2586;-2.0210;
687907976881904;-9.4095;-1.4982;-2.1123;
687907981938154;-9.3281;-1.6059;-2.3228;
687907986989404;-9.3808;-1.4743;-2.4547;
687907992044716;-9.4167;-1.2299;-2.5935;
687907997060602;-9.3951;-0.9736;-2.7350;
687908002144300;-9.3879;-0.7866;-2.7374;
687908007206227;-9.4358;-0.6670;-2.7326;
687908012255810;-9.5291;-0.6215;-2.7398;
687908017307425;-9.5219;-0.5207;-2.6943;
687908022364091;-9.4908;-0.3867;-2.6895;
687908027418779;-9.4334;-0.2548;-2.6441;
687908032454508;-9.4908;-0.1232;-2.5696;
687908037543102;-9.4956;0.0805;-2.5409;
687908042563310;-9.5438;0.3631;-2.5457;
687908047630133;-9.6275;0.6003;-2.6680;
687908052675133;-9.6562;0.8327;-2.9387;
687908057749300;-9.6371;0.9236;-3.0775;
687908062784091;-9.5100;0.6840;-3.2883;
687908067849820;-9.3760;0.2171;-3.1400;
687908072889404;-9.3281;-0.2524;-2.8908;
687908077961383;-9.4047;-0.5566;-2.8068;
687908082997581;-9.4071;-0.6574;-2.6895;
687908088063675;-9.4023;-0.7771;-2.7781;
687908093103831;-9.3712;-0.9688;-2.5504;
687908098172425;-9.4669;-1.2227;-2.1434;
687908103253414;-9.6945;-1.4192;-1.8679;
687908108278883;-9.9317;-1.5126;-1.8176;
687908113347789;-9.9891;-1.3472;-1.9708;
687908118389925;-9.8623;-1.1339;-2.0859;
687908123437633;-9.6993;-1.0597;-1.8200;
687908128498675;-9.5821;-1.1195;-1.6355;
687908133545289;-9.4884;-1.2419;-1.6379;
687908138610862;-9.4023;-1.3878;-1.6235;
687908143660654;-9.3640;-1.4671;-2.0282;
687908148709925;-9.3401;-1.5437;-2.8140;
687908153810654;-9.3999;-1.4838;-3.2716;
687908158829195;-9.5052;-1.3759;-3.1158;
687908163869247;-9.6203;-1.3472;-2.7494;
687908168916383;-10.2120;-1.1462;-2.6058;
687908173978050;-8.4754;-4.2601;-1.5565;
687908179039820;-11.6348;-1.9125;0.4965;
687908184077529;-10.0923;-0.6981;-0.2318;
687908189144404;-9.5172;-0.7507;-0.6054;
687908194199716;-9.2082;-1.3687;-0.1262;
687908199240810;-10.0514;-0.5231;0.6356;
687908204293206;-9.6610;-0.4825;-1.3887;
687908209364300;-9.9269;-0.3556;-0.8809;
687908214403258;-9.9437;-0.3532;-1.3624;
687908219472633;-10.3220;0.1235;-2.6249;
687908224520341;-9.3497;-0.3867;-3.0751;
687908229580133;-9.4502;-0.7005;-3.0224;
