Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
258614576335659;0.1836;0.0072;0.2009;
258614581389773;0.2028;0.0072;0.2095;
258614586442950;0.2134;0.0146;0.2169;
258614591502117;0.2241;0.0189;0.2190;
258614596550450;0.2316;0.0178;0.2212;
258614601605190;0.2305;0.0178;0.2254;
258614606654721;0.2241;0.0168;0.2276;
258614611717430;0.2188;0.0178;0.2297;
258614616768992;0.2156;0.0232;0.2308;
258614621823471;0.2124;0.0285;0.2329;
258614626880034;0.2060;0.0381;0.2329;
258614631932690;0.1911;0.0360;0.2329;
258614636984513;0.1731;0.0296;0.2308;
258614642045971;0.1539;0.0253;0.2297;
258614647113055;0.1369;0.0285;0.2297;
258614652147846;0.1252;0.0306;0.2265;
258614657202690;0.1113;0.0338;0.2244;
258614662256180;0.0943;0.0338;0.2222;
258614667309200;0.0719;0.0317;0.2180;
258614672361180;0.0474;0.0296;0.2137;
258614677420659;0.0240;0.0253;0.2084;
258614682474513;0.0037;0.0253;0.2041;
258614687537846;-0.0080;0.0253;0.1999;
258614692582638;-0.0123;0.0274;0.1945;
258614697633471;-0.0123;0.0328;0.1945;
258614702697846;-0.0133;0.0370;0.1913;
258614707745867;-0.0144;0.0360;0.1871;
258614712795607;-0.0176;0.0328;0.1860;
258614717854096;-0.0197;0.0296;0.1828;
258614722961753;-0.0218;0.0306;0.1807;
258614727975659;-0.0229;0.0349;0.1764;
258614733017221;-0.0240;0.0381;0.1732;
258614738069513;-0.0272;0.0381;0.1700;
258614743141544;-0.0368;0.0296;0.1647;
258614748194148;-0.0463;0.0200;0.1658;
258614753248419;-0.0453;0.0189;0.1658;
258614758303836;-0.0325;0.0253;0.1679;
258614763356440;-0.0154;0.0306;0.1711;
258614768390659;-0.0048;0.0328;0.1732;
258614773464253;0.0037;0.0360;0.1722;
258614778520607;0.0048;0.0296;0.1732;
258614783578836;0.0048;0.0221;0.1732;
258614788637586;0.0123;0.0189;0.1732;
258614793683419;0.0304;0.0200;0.1754;
258614798736023;0.0453;0.0274;0.1775;
258614803793107;0.0570;0.0338;0.1807;
258614808810711;0.0698;0.0328;0.1839;
258614813888159;0.0740;0.0296;0.1871;
258614818996075;0.0751;0.0253;0.1892;
258614823989305;0.0794;0.0253;0.1892;
258614829050815;0.0836;0.0253;0.1924;
258614834101596;0.0879;0.0242;0.1977;
258614839152430;0.0911;0.0253;0.2020;
258614844211180;0.0911;0.0285;0.2031;
258614849256805;0.0889;0.0274;0.2052;
258614854316492;0.0815;0.0253;0.2073;
258614859382950;0.0751;0.0242;0.2084;
