TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
258616717993256;1630613992435;40.245783960000;-111.645769410000;1387.8635;0.0000;-3000.0000;9.96532059;11.47583675;0.08602326;-1.00000000;
258617771970912;1630613994000;40.245830010000;-111.645752930000;1389.0973;0.3500;128.8000;6.15138197;7.04601955;1.28471792;4.85507393;
258618776074453;1630613995000;40.245834560000;-111.645743080000;1388.0154;0.8600;128.1000;4.91433907;5.68370342;1.09603834;11.27622223;
258619780147109;1630613996000;40.245841560000;-111.645732060000;1387.7556;1.4900;128.4000;4.48865271;4.90953493;1.53404689;28.81846046;
258620770015442;1630613997000;40.245842320000;-111.645692420000;1385.4683;3.6900;82.5000;4.08620405;4.53140593;0.76026309;10.86027241;
258621782642889;1630613998000;40.245844390000;-111.645651950000;1386.9198;3.7400;84.9000;3.79009247;3.92049789;0.23853721;2.37819743;
258622765117212;1630613999000;40.245848940000;-111.645597070000;1386.5048;4.9400;89.2000;3.79009247;3.52109480;0.20808652;1.63834488;
258623772383826;1630614000000;40.245853500000;-111.645540110000;1386.9327;5.5200;90.0000;3.79009247;3.48424077;0.12206556;0.83218598;
258624772193253;1630614001000;40.245849020000;-111.645471910000;1387.1311;6.1100;94.1000;3.79009247;3.39120436;0.05830952;0.39765954;
258625769150648;1630614002000;40.245849460000;-111.645401600000;1386.9200;6.1800;89.0000;3.79009247;3.26985621;0.58600342;4.94188690;
258626767100388;1630614003000;40.245845390000;-111.645320450000;1386.1290;7.1900;87.9000;3.79009247;2.89531660;0.63411355;4.53733397;
258627775511741;1630614004000;40.245843330000;-111.645237030000;1385.7373;7.3800;90.7000;3.79009247;2.63933063;0.05000000;0.32134575;
258628776161220;1630614005000;40.245843840000;-111.645144640000;1385.6211;7.7000;89.2000;3.79009247;2.50000000;0.05830952;0.30515909;
258629782932470;1630614006000;40.245842550000;-111.645047880000;1385.1536;7.8700;91.0000;3.79009247;2.50000000;0.14422205;0.70027798;
258630780488980;1630614007000;40.245838990000;-111.644955350000;1385.0223;8.1800;91.1000;3.79009247;2.50000000;0.13601470;0.65083724;
258631780916688;1630614008000;40.245843940000;-111.644861370000;1385.1696;8.2000;88.0000;3.79009247;2.50000000;0.05000000;0.24825008;
258632767569656;1630614009000;40.245846250000;-111.644765920000;1385.2170;8.0900;86.8000;3.79009247;2.50000000;0.05000000;0.25601661;
258633777863354;1630614010000;40.245846870000;-111.644670690000;1385.2620;8.0800;89.3000;3.79009247;2.50000000;0.05000000;0.25424400;
258634776384187;1630614011000;40.245849070000;-111.644575880000;1385.1982;7.9100;87.4000;3.79009247;2.50000000;0.05000000;0.25118664;
258635769927467;1630614012000;40.245846490000;-111.644483670000;1384.8473;7.9400;91.3000;3.79009247;2.50000000;0.05000000;0.24732715;
258636778467155;1630614013000;40.245842740000;-111.644388380000;1384.4622;8.1500;92.8000;3.79009247;2.50000000;0.10816654;0.53689265;
258637780405227;1630614014000;40.245843400000;-111.644290500000;1384.5757;8.0000;85.9000;3.79009247;2.50000000;0.11661904;0.55687708;
258638777009602;1630614015000;40.245841250000;-111.644205280000;1384.7078;7.2200;91.8000;3.79009247;2.50000000;0.06403124;0.38819844;
258639778424758;1630614016000;40.245842000000;-111.644121460000;1385.5353;6.7500;91.9000;3.79009247;2.50000000;0.20000000;1.16881812;
258640775824236;1630614017000;40.245841850000;-111.644033860000;1385.5780;7.4400;90.4000;3.79009247;2.50000000;0.18601075;0.96015501;
258641777564861;1630614018000;40.245840160000;-111.643945650000;1386.1844;7.6100;92.1000;3.79009247;2.50000000;0.05830952;0.28724205;
258642776465850;1630614019000;40.245840060000;-111.643857010000;1386.2612;7.6500;91.1000;3.79009247;2.50000000;0.17204651;0.84841734;
258643777051735;1630614020000;40.245840040000;-111.643777430000;1386.7278;6.6900;89.6000;3.79009247;2.50000000;0.17204651;0.97335297;
258644775569756;1630614021000;40.245843000000;-111.643703280000;1387.0638;5.9400;87.3000;3.79009247;2.50000000;0.05830952;0.38600251;
258645776945172;1630614022000;40.245845390000;-111.643638580000;1387.5209;5.2500;86.7000;3.79009247;2.50000000;0.05830952;0.42330679;
258646781397880;1630614023000;40.245845470000;-111.643585250000;1387.8005;4.2000;90.4000;3.79009247;2.50000000;0.05830952;0.52137852;
258647778243817;1630614024000;40.245842900000;-111.643539930000;1387.9144;3.4300;91.9000;3.79009247;2.50000000;0.05830952;0.67360353;
