Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
83887741408257;1.0234;0.0433;-0.2314;
83887751511590;1.1683;0.0933;-0.1537;
83887761614924;1.1140;0.0688;-0.1068;
83887771728361;1.1896;-0.0100;-0.0972;
83887781831747;1.2290;-0.0015;-0.0557;
83887791935028;1.0831;0.0848;-0.0780;
83887802048674;1.0074;0.0742;-0.0567;
83887812152007;0.9937;0.0337;-0.1121;
83887822255340;0.9330;0.0465;-0.1313;
83887832365653;0.7572;0.0603;-0.1601;
83887842468986;0.6145;0.0316;-0.1068;
83887852572320;0.4931;0.0433;-0.0887;
83887862657736;0.3430;0.0635;-0.0738;
83887872761070;0.0873;0.1573;-0.0908;
83887882864403;-0.0554;0.2702;-0.1547;
83887892995445;-0.0767;0.3437;-0.1984;
83887903098830;-0.0202;0.0795;-0.2005;
83887913202111;0.0692;-0.1441;-0.1920;
83887923308101;0.0671;-0.0356;-0.1601;
83887933411434;-0.0394;0.3650;-0.2250;
83887943514768;0.1406;0.4097;-0.2517;
83887953635028;0.4899;0.0997;-0.2921;
83887963738361;0.4100;-0.1142;-0.3102;
83887973841695;0.2141;-0.2708;-0.2804;
83887983980236;0.3185;-0.3880;-0.1356;
83887994083570;0.2802;-0.2272;-0.0109;
83888004186903;0.3505;-0.0706;-0.0258;
83888014271747;0.4462;0.0529;-0.0578;
83888024375080;0.5996;0.1115;-0.0493;
83888034478413;0.6987;0.1818;-0.0290;
83888044591486;0.6827;0.2904;-0.0269;
83888054694820;0.7636;0.3799;-0.0525;
83888064798153;0.7093;0.3565;-0.1441;
83888074903257;0.6539;0.3607;-0.0727;
83888085006590;0.4995;0.2095;-0.0322;
83888095109924;0.4292;-0.0217;0.0487;
83888105236070;0.1065;-0.0004;0.0189;
83888115354611;0.0138;-0.0567;-0.0237;
83888125457945;-0.0884;-0.1824;-0.0525;
83888135561226;-0.3120;-0.0535;-0.0866;
83888145658674;-0.4164;0.1125;-0.1824;
83888155762007;-0.3418;-0.0249;-0.1334;
83888165865340;-0.2523;-0.0929;-0.0770;
83888175970861;-0.2896;-0.0780;-0.0439;
83888186074195;-0.3077;-0.0599;-0.0620;
83888196177528;-0.4387;-0.0525;-0.0855;
83888206282059;-0.4632;-0.0802;-0.1611;
83888216385393;-0.5527;0.0039;-0.2282;
83888226494559;-0.6177;0.0326;-0.2229;
83888236597893;-0.5666;-0.0844;-0.1846;
83888246701226;-0.5261;-0.0961;-0.2122;
83888256800080;-0.5208;-0.0121;-0.2346;
83888266903465;-0.4814;0.0518;-0.2804;
83888277006747;-0.4387;0.1178;-0.2921;
83888287179038;-0.3610;0.1690;-0.3198;
83888297282372;-0.2630;0.1168;-0.3113;
83888307385705;-0.1353;-0.0387;-0.3166;
83888317422528;-0.0064;-0.2059;-0.3156;
83888327525913;0.0181;-0.3369;-0.2975;
83888337629195;0.0426;-0.2698;-0.3017;
83888347788986;0.0522;-0.1132;-0.2538;
83888357892320;0.0895;-0.0770;-0.2762;
83888367995653;0.1278;-0.0727;-0.2740;
83888378060653;0.1246;-0.0897;-0.2474;
83888388163986;0.1726;0.0603;-0.2069;
83888398267320;0.1427;0.0688;-0.2336;
83888408382215;0.2663;-0.1206;-0.2154;
83888418485549;0.2471;-0.1941;-0.2250;
83888428588882;0.2855;-0.1664;-0.2250;
83888438699403;0.3366;-0.1196;-0.1920;
83888448802788;0.3238;-0.0961;-0.1632;
83888458906070;0.3803;-0.0387;-0.1728;
83888469016174;0.4068;-0.0036;-0.1728;
83888479119507;0.4121;-0.0079;-0.1824;
83888489222840;0.4824;0.0145;-0.1909;
83888499329820;0.5367;0.0454;-0.1601;
83888509433153;0.5868;0.2222;-0.1462;
83888519536486;0.5527;0.2979;-0.1611;
83888529655340;0.6624;0.3202;-0.1824;
83888539758674;0.7359;0.2414;-0.1441;
83888549862059;0.8212;-0.1494;-0.1569;
83888559979195;0.8595;-0.3955;-0.1100;
83888570082528;0.7892;-0.3039;-0.0439;
83888580185861;0.7604;-0.1324;-0.0482;
83888590283830;0.8350;-0.1292;0.0104;
83888600387163;0.7402;-0.0802;0.0658;
83888610490497;0.5879;0.1796;-0.0056;
83888620612945;0.5410;0.2830;-0.0482;
83888630716278;0.4590;0.0443;-0.0237;
83888640819611;0.2727;-0.2197;-0.0237;
83888650922788;0.1768;-0.1121;-0.0802;
83888661026070;0.2706;0.0390;-0.0482;
83888671129403;0.2748;0.1083;0.0051;
83888681246070;0.2908;0.1434;0.0083;
83888691349403;0.3302;0.1477;0.0253;
83888701452736;0.2940;0.1700;0.0253;
