Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
3100586102997421;48.0070;-10.3334;-9.1378;
3100586112997421;48.0070;-10.3334;-9.1378;
3100586124389869;48.2876;-10.6628;-9.5648;
3100586134389869;48.4706;-10.6750;-9.7966;
3100586144389869;48.5072;-10.6384;-9.9918;
3100586154389869;48.6170;-10.6384;-10.1382;
3100586164389869;48.7878;-10.6262;-10.3700;
3100586174389869;48.8854;-10.6140;-10.5042;
3100586184389869;49.0074;-10.6628;-10.7116;
3100586194389869;49.1538;-10.6750;-10.8214;
3100586204389869;49.3124;-10.6750;-10.9922;
3100586214389869;49.2392;-10.6994;-10.9678;
3100586224389869;49.2514;-10.7360;-10.8580;
3100586234389869;49.2148;-10.7726;-10.8580;
3100586244389869;49.1782;-10.8336;-10.7726;
3100586254389869;49.1172;-10.8336;-10.7116;
3100586264389869;49.0928;-10.7970;-10.6384;
3100586274389869;48.9830;-10.8214;-10.6750;
3100586284389869;48.8488;-10.8214;-10.6506;
3100586294389869;48.8732;-10.8458;-10.6628;
3100586304389869;48.9342;-10.9068;-10.8702;
3100586314389869;48.9708;-10.8946;-10.9678;
3100586324389869;48.8488;-10.8580;-10.8580;
3100586334389869;48.8732;-10.9312;-10.9434;
3100586344389869;48.9098;-10.9678;-11.0654;
3100586354389869;49.0074;-10.9678;-11.2240;
3100586364389869;49.1050;-10.9678;-11.2728;
3100586374389869;49.1294;-10.9678;-11.3460;
3100586384389869;49.0440;-10.9434;-11.2484;
3100586394389869;49.0074;-10.9678;-11.2240;
3100586404389869;49.0562;-11.0410;-11.3704;
3100586414389869;49.1416;-10.9922;-11.5290;
3100586424389869;49.1416;-11.0532;-11.5290;
3100586434389869;49.1538;-11.1264;-11.5778;
3100586444389869;49.1538;-11.1874;-11.5778;
3100586454389869;49.2148;-11.2240;-11.6998;
3100586464389869;49.3246;-11.2728;-11.9072;
3100586474389869;49.1660;-11.3582;-11.7852;
3100586484389869;49.0196;-11.3826;-11.6022;
3100586494389869;48.7268;-11.5168;-11.1752;
3100586504389869;48.5804;-11.5900;-11.0532;
3100586514389869;48.4340;-11.5900;-10.8336;
3100586524389869;48.2144;-11.6388;-10.6262;
3100586534389869;48.0924;-11.6510;-10.5042;
3100586544389869;47.9338;-11.7364;-10.2358;
3100586554389869;48.0192;-11.7486;-10.3334;
