Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
259516775084550;34.7944;-19.4468;-3.8552;
259516785084550;34.7944;-19.4468;-3.8552;
259516796565904;34.6968;-19.5078;-3.7210;
259516806565904;34.7456;-19.5444;-3.5258;
259516816565904;34.7212;-19.5322;-3.5624;
259516826565904;34.7456;-19.5810;-3.5990;
259516836565904;34.7822;-19.6420;-3.7332;
259516846565904;34.8920;-19.6420;-3.9406;
259516856565904;35.0262;-19.6786;-4.1480;
259516866565904;35.0018;-19.7030;-4.2212;
259516876565904;35.0018;-19.7640;-4.2822;
259516886565904;35.0140;-19.8006;-4.4774;
259516896565904;35.0872;-19.8738;-4.6238;
259516906565904;35.0872;-19.8982;-4.7214;
259516916565904;35.0750;-19.8616;-4.6482;
259516926565904;34.9408;-19.8982;-4.3920;
259516936565904;34.8066;-19.9104;-4.1724;
259516946565904;34.8554;-19.9348;-4.1968;
259516956565904;34.9408;-19.9104;-4.2212;
259516966565904;34.8310;-19.9470;-4.0870;
259516976565904;34.6968;-19.9226;-3.9284;
259516986565904;34.5626;-19.9104;-3.7088;
259516996565904;34.3674;-19.9592;-3.5258;
259517006565904;34.3552;-19.9714;-3.4526;
259517016565904;34.3674;-19.9958;-3.4160;
259517026565904;34.3430;-20.0202;-3.2940;
259517036565904;34.3064;-20.0080;-3.1842;
259517046565904;34.2820;-19.9470;-3.1232;
259517056565904;34.2454;-19.9348;-3.0500;
259517066565904;34.3064;-19.9104;-3.0988;
259517076565904;34.5016;-19.8982;-3.3062;
259517086565904;34.6358;-19.9226;-3.5258;
259517096565904;34.6724;-19.8860;-3.6356;
259517106565904;34.7334;-19.8128;-3.7698;
259517116565904;34.7212;-19.8250;-3.8796;
259517126565904;34.8432;-19.8860;-4.0626;
259517136565904;35.0262;-19.8738;-4.1602;
259517146565904;34.9652;-19.8982;-4.0626;
259517156565904;34.8554;-19.8616;-3.8064;
259517166565904;34.6602;-19.8372;-3.5990;
259517176565904;34.4528;-19.8250;-3.3428;
259517186565904;34.3796;-19.8494;-3.1720;
259517196565904;34.2454;-19.8128;-2.9768;
259517206565904;34.3186;-19.7518;-2.9768;
259517216565904;34.3552;-19.7274;-3.1110;
259517226565904;34.5016;-19.7030;-3.2940;
259517236565904;34.6968;-19.7152;-3.6600;
259517246565904;34.8432;-19.6786;-3.8064;
259517256565904;34.9652;-19.7274;-4.0382;
259517266565904;34.9652;-19.7640;-4.0992;
259517276565904;35.1238;-19.8128;-4.2822;
259517286565904;35.1848;-19.8250;-4.4286;
259517296565904;35.1360;-19.8616;-4.3310;
259517306565904;35.0750;-19.8616;-4.3920;
259517316565904;35.0140;-19.9226;-4.3554;
259517326565904;34.9530;-19.9836;-4.2944;
259517336565904;34.9774;-19.9958;-4.3554;
259517346565904;35.0750;-20.0324;-4.4652;
259517356565904;35.1360;-20.0446;-4.5384;
259517366565904;35.0994;-20.0812;-4.5994;
259517376565904;35.1482;-20.1300;-4.7458;
259517386565904;35.3068;-20.1788;-4.8800;
259517396565904;35.3434;-20.1422;-4.9166;
259517406565904;35.4166;-20.1666;-5.0020;
259517416565904;35.4898;-20.2154;-5.0264;
259517426565904;35.4654;-20.2276;-5.0630;
259517436565904;35.4288;-20.2642;-4.9898;
259517446565904;35.4410;-20.3618;-4.8922;
259517456565904;35.3434;-20.4472;-4.7458;
259517466565904;35.2214;-20.5326;-4.5872;
259517476565904;35.1848;-20.5936;-4.5262;
259517486565904;35.1360;-20.6058;-4.4652;
259517496565904;35.1116;-20.6546;-4.4408;
259517506565904;35.0018;-20.6790;-4.3310;
259517516565904;34.8920;-20.7034;-4.3188;
259517526565904;34.6724;-20.7156;-4.0870;
259517536565904;34.6724;-20.7278;-4.1602;
259517546565904;34.6968;-20.6912;-4.2334;
259517556565904;34.6602;-20.7400;-4.2334;
259517566565904;34.6602;-20.7522;-4.2700;
259517576565904;34.7212;-20.7278;-4.3920;
259517586565904;34.7944;-20.7644;-4.5384;
259517596565904;34.8920;-20.7644;-4.5994;
259517606565904;35.0506;-20.7644;-4.8068;
259517616565904;35.0384;-20.7888;-4.7458;
259517626565904;35.0628;-20.8254;-4.7458;
259517636565904;35.0994;-20.8498;-4.8556;
259517646565904;35.0384;-20.9108;-4.8434;
259517656565904;35.0140;-20.9840;-4.8190;
259517666565904;34.9774;-21.0450;-4.8800;
259517676565904;35.0140;-21.0938;-4.9288;
259517686565904;35.0018;-21.1182;-4.8922;
259517696565904;34.9530;-21.0694;-4.9044;
259517706565904;34.9652;-21.1060;-5.0508;
259517716565904;35.0750;-21.0938;-5.1850;
259517726565904;35.2214;-21.1060;-5.4900;
259517736565904;35.3312;-21.0938;-5.6730;
259517746565904;33.4524;-19.4590;-7.0882;
259517756565904;33.4646;-19.4346;-7.1248;
259517766565904;33.5012;-19.4224;-7.2712;
259517776565904;33.5500;-19.4590;-7.3322;
259517786565904;33.5378;-19.4590;-7.1614;
259517796565904;33.4768;-19.4712;-7.0394;
259517806565904;33.3548;-19.4712;-6.8442;
259517816565904;33.1718;-19.4468;-6.5758;
259517826565904;33.1352;-19.4590;-6.4660;
259517836565904;33.0376;-19.4834;-6.3562;
259517846565904;32.9156;-19.5200;-6.1244;
259517856565904;32.9156;-19.5200;-6.1122;
259517866565904;32.8546;-19.5322;-6.1122;
259517876565904;32.7936;-19.5810;-6.0390;
