Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
1789092296373379;40.1380;15.4086;12.0414;
1789092306373379;40.1380;15.4086;12.0414;
1789092317799942;40.4552;15.3476;12.0170;
1789092327799942;40.4674;15.2988;12.1024;
1789092337799942;40.2844;15.3110;12.1512;
1789092347799942;40.4064;15.2622;12.1146;
1789092357799942;40.3698;15.2744;11.9926;
1789092367799942;40.2478;15.3110;12.0170;
1789092377799942;40.3820;15.2622;12.0170;
1789092387799942;40.3332;15.2500;11.9560;
1789092397799942;40.3576;15.2622;12.0048;
1789092407799942;40.2234;15.2622;12.0414;
1789092417799942;40.2722;15.2988;11.9194;
1789092427799942;40.4430;15.2866;11.8218;
1789092437799942;40.5406;15.2988;11.7242;
1789092447799942;40.7602;15.2012;11.7852;
1789092457799942;40.6260;15.2500;11.6632;
1789092467799942;40.5528;15.2012;11.6754;
1789092477799942;40.5284;15.1280;11.6144;
1789092487799942;40.5528;15.1402;11.4802;
1789092497799942;40.7358;15.0548;11.5168;
1789092507799942;40.4186;15.0670;11.6022;
1789092517799942;40.0892;15.0060;11.9682;
1789092527799942;39.9428;14.9938;12.0536;
1789092537799942;39.7110;14.9328;12.3342;
1789092547799942;39.8574;14.9084;12.3952;
1789092557799942;39.7720;14.9328;12.5538;
1789092567799942;39.5768;14.8718;12.8832;
1789092577799942;39.4548;14.8596;13.0540;
1789092587799942;39.2474;14.8352;13.3102;
1789092597799942;39.4060;14.7742;13.4078;
1789092607799942;39.5646;14.7620;13.2614;
1789092617799942;39.6744;14.7376;13.1760;
1789092627799942;39.9184;14.6888;13.0418;
1789092637799942;39.8574;14.6766;12.7978;
1789092647799942;40.4064;14.6888;12.3220;
1789092657799942;40.6504;14.6644;11.9682;
1789092667799942;40.9188;14.6156;11.5778;
1789092677799942;41.2116;14.5790;11.1508;
1789092687799942;41.0530;14.6034;11.0166;
1789092697799942;41.1994;14.6034;10.8824;
1789092707799942;41.1140;14.6278;10.9068;
1789092717799942;41.1628;14.5912;10.8702;
1789092727799942;41.0774;14.5302;11.0776;
1789092737799942;40.8456;14.5302;11.1996;
1789092747799942;40.8578;14.5668;11.2118;
1789092757799942;40.9310;14.6156;11.1264;
1789092767799942;41.0530;14.6034;11.0288;
1789092777799942;41.3946;14.6156;10.9068;
1789092787799942;41.3092;14.6400;10.9312;
1789092797799942;41.3214;14.6400;10.9312;
1789092807799942;41.3824;14.6644;10.7360;
1789092817799942;41.2848;14.6278;10.8092;
1789092827799942;41.4678;14.6034;10.8824;
1789092837799942;41.2360;14.5668;11.1874;
1789092847799942;41.0896;14.5668;11.4680;
1789092857799942;40.8578;14.4936;11.7120;
1789092867799942;40.6382;14.4326;11.9560;
1789092877799942;40.6748;14.4326;12.1878;
1789092887799942;40.5406;14.4692;12.3708;
1789092897799942;40.4064;14.4814;12.7124;
1789092907799942;40.1868;14.4570;12.9320;
1789092917799942;39.9550;14.4448;13.1638;
1789092927799942;39.9550;14.4692;13.2858;
1789092937799942;39.8452;14.5058;13.3346;
1789092947799942;39.8940;14.4814;13.3468;
1789092957799942;39.8086;14.4814;13.3834;
1789092967799942;39.3206;14.4082;14.0056;
1789092977799942;39.5158;14.4082;13.8714;
1789092987799942;39.5158;14.4570;13.7982;
