Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
690321856234362;-9.3951;2.2460;-1.3839;
690321861273946;-9.4478;2.2603;-1.3959;
690321866307279;-9.4334;2.2436;-1.4342;
690321871378737;-9.4454;2.2651;-1.4677;
690321876412071;-9.4406;2.2436;-1.4844;
690321881466550;-9.4573;2.2675;-1.4557;
690321886499883;-9.4717;2.2412;-1.4342;
690321891590977;-9.4454;2.1742;-1.4246;
690321896624310;-9.4525;2.1694;-1.4342;
690321901720977;-9.4573;2.1766;-1.4557;
690321906758164;-9.4454;2.1574;-1.4892;
690321911825456;-9.4693;2.1383;-1.4318;
690321916877331;-9.4789;2.1383;-1.4605;
690321921907904;-9.4478;2.1191;-1.5036;
690321926985300;-9.4549;2.1335;-1.4198;
690321932035873;-9.4669;2.1120;-1.4079;
690321937080300;-9.4669;2.1000;-1.3911;
690321942154206;-9.4717;2.1144;-1.3768;
690321947195039;-9.4669;2.1622;-1.3839;
690321952253789;-9.4478;2.1646;-1.3959;
690321957307956;-9.4454;2.1550;-1.4342;
690321962349623;-9.4334;2.1766;-1.3959;
690321967417487;-9.4789;2.1885;-1.4151;
690321972499883;-9.4860;2.1885;-1.4222;
690321977517071;-9.4741;2.2029;-1.4486;
690321982558998;-9.4789;2.2125;-1.3959;
690321987633529;-9.4454;2.2244;-1.3935;
690321992687071;-9.4765;2.2412;-1.3481;
690321997742591;-9.4741;2.2388;-1.3504;
690322002784623;-9.4621;2.2292;-1.3457;
690322007858477;-9.4621;2.2603;-1.3528;
690322012910560;-9.4693;2.2484;-1.3648;
690322017958633;-9.4549;2.2579;-1.3409;
690322023003529;-9.4358;2.2531;-1.3696;
690322028069727;-9.4597;2.3058;-1.3720;
690322033145977;-9.4813;2.3106;-1.4151;
690322038182383;-9.4597;2.3225;-1.4198;
690322043256394;-9.4549;2.3225;-1.3720;
690322048289258;-9.4358;2.3321;-1.3839;
690322053361394;-9.4621;2.3297;-1.3600;
690322058396966;-9.4621;2.3273;-1.3337;
690322063486810;-9.4765;2.3058;-1.3624;
690322068509571;-9.4645;2.3201;-1.3217;
690322073581394;-9.4525;2.3177;-1.3122;
690322078622591;-9.4717;2.3249;-1.3098;
690322083663060;-9.4573;2.3249;-1.3265;
690322088731394;-9.4837;2.2938;-1.3528;
690322093787175;-9.4454;2.2914;-1.3768;
690322098851810;-9.4071;2.3034;-1.3768;
690322103903477;-9.4741;2.3130;-1.3792;
690322108957227;-9.4621;2.2699;-1.3863;
690322114005925;-9.4358;2.2364;-1.3816;
690322119061237;-9.4789;2.2244;-1.4031;
690322124122123;-9.4645;2.2029;-1.3816;
690322129169883;-9.4884;2.1933;-1.3552;
690322134226758;-9.4573;2.2101;-1.3552;
690322139299414;-9.4741;2.2005;-1.3935;
690322144334466;-9.4669;2.1957;-1.3839;
