Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
689717693536622;-9.3999;1.9155;-1.6666;
689717698575841;-9.4932;1.9370;-1.6881;
689717703598237;-9.4741;1.9513;-1.6068;
689717708659435;-9.4478;1.9298;-1.6044;
689717713681831;-9.4549;1.9298;-1.6092;
689717718783393;-9.4765;1.9466;-1.6475;
689717723805789;-9.5172;1.9777;-1.5805;
689717728867299;-9.4980;1.9848;-1.5446;
689717733889695;-9.4837;2.0064;-1.5709;
689717738993185;-9.4932;2.0303;-1.5350;
689717744055164;-9.4908;2.0761;-1.5517;
689717749107872;-9.4789;2.1024;-1.6068;
689717754162977;-9.4478;2.0686;-1.6092;
689717759207872;-9.4382;2.0686;-1.6331;
689717764269539;-9.4860;2.0734;-1.6235;
689717769330060;-9.4980;2.0518;-1.6259;
689717774382872;-9.4813;2.0088;-1.5996;
689717779413289;-9.4980;2.0447;-1.5996;
689717784497612;-9.5004;2.0471;-1.6164;
689717789568602;-9.4980;2.0327;-1.6068;
689717794603133;-9.4860;2.0183;-1.5565;
689717799700164;-9.5124;2.0255;-1.5227;
689717804716987;-9.4765;2.0040;-1.5494;
689717809817039;-9.4765;2.0016;-1.5517;
689717814826154;-9.4908;1.9872;-1.5374;
689717819876154;-9.4908;1.9992;-1.5996;
689717824931674;-9.4956;1.9896;-1.5972;
689717829982352;-9.4789;2.0303;-1.6283;
689717835037820;-9.4884;2.0638;-1.6068;
689717840072768;-9.4789;2.0785;-1.6594;
689717845146831;-9.4956;2.0471;-1.6881;
689717850196049;-9.5148;2.0255;-1.6187;
689717855258862;-9.5052;1.9537;-1.6044;
689717860320112;-9.4837;1.9705;-1.5852;
689717865368966;-9.4837;1.9490;-1.5924;
689717870442716;-9.4932;1.9370;-1.6235;
689717875476674;-9.5076;1.9418;-1.5948;
689717880513497;-9.5100;1.9537;-1.6594;
689717885586570;-9.5052;1.9561;-1.6905;
689717890641883;-9.4956;1.9322;-1.6283;
689717895655945;-9.4813;1.9537;-1.6642;
689717900742352;-9.4502;1.9801;-1.6857;
689717905806154;-9.4789;1.9705;-1.6451;
689717910860268;-9.4669;1.9633;-1.6666;
689717915916570;-9.4765;1.9753;-1.6427;
689717920991466;-9.5100;1.9944;-1.6307;
689717926009747;-9.4932;1.9872;-1.6187;
689717931104539;-9.4669;1.9346;-1.5900;
689717936136049;-9.4741;1.9131;-1.6140;
689717941211622;-9.4956;1.9083;-1.6331;
689717946245008;-9.5028;1.8820;-1.6427;
689717951310581;-9.5004;1.8939;-1.6379;
689717956355112;-9.5390;1.8915;-1.7216;
689717961420581;-9.5004;1.8628;-1.7216;
689717966467716;-9.4860;1.8485;-1.6953;
689717971512560;-9.4932;1.8437;-1.6905;
689717976575737;-9.5076;1.8269;-1.6642;
689717981636466;-9.4621;1.8389;-1.6905;
689717986685529;-9.5028;1.8269;-1.6642;
689717991759904;-9.5100;1.8102;-1.6451;
689717996793445;-9.5124;1.7955;-1.6618;
689718001852820;-9.4741;1.8173;-1.6283;
689718006905841;-9.5100;1.8003;-1.6929;
689718011983341;-9.5342;1.8341;-1.7384;
689718017015112;-9.4860;1.8365;-1.7216;
689718022071674;-9.5315;1.8197;-1.7025;
689718027127091;-9.4813;1.8003;-1.6762;
689718032200372;-9.4908;1.8126;-1.6690;
689718037233445;-9.4693;1.8173;-1.6953;
689718042290112;-9.4956;1.8173;-1.7145;
689718047347195;-9.4813;1.7955;-1.7527;
689718052401674;-9.5267;1.7979;-1.7384;
