Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
2764628992799504;0.0108;0.0256;-0.0455;
2764629002920701;0.0182;0.0224;-0.0445;
2764629013025701;0.0108;0.0256;-0.0498;
2764629023125389;0.0119;0.0266;-0.0519;
2764629033218149;0.0140;0.0288;-0.0551;
2764629043346326;0.0161;0.0298;-0.0583;
2764629053434295;0.0182;0.0320;-0.0605;
2764629063536274;0.0172;0.0341;-0.0626;
2764629073650545;0.0214;0.0352;-0.0690;
2764629083746795;0.0236;0.0341;-0.0711;
2764629093854972;0.0246;0.0352;-0.0722;
2764629103968306;0.0257;0.0362;-0.0764;
2764629114074504;0.0257;0.0373;-0.0786;
2764629124188931;0.0268;0.0394;-0.0796;
2764629134281587;0.0257;0.0405;-0.0807;
2764629144392837;0.0278;0.0426;-0.0839;
2764629154508254;0.0321;0.0426;-0.0881;
2764629164623983;0.0342;0.0405;-0.0924;
2764629174715233;0.0332;0.0394;-0.0945;
2764629184830962;0.0374;0.0383;-0.0999;
2764629194929504;0.0395;0.0383;-0.1020;
2764629205043358;0.0374;0.0405;-0.1041;
2764629215149087;0.0406;0.0447;-0.1105;
2764629225254972;0.0406;0.0490;-0.1158;
2764629235360233;0.0406;0.0522;-0.1212;
2764629245472004;0.0395;0.0554;-0.1286;
2764629255574295;0.0406;0.0586;-0.1361;
2764629265674399;0.0417;0.0639;-0.1435;
2764629275810129;0.0427;0.0692;-0.1499;
2764629285921691;0.0427;0.0756;-0.1542;
2764629296009087;0.0449;0.0788;-0.1595;
2764629306112420;0.0438;0.0842;-0.1659;
2764629316214816;0.0385;0.0863;-0.1712;
2764629326325285;0.0374;0.0863;-0.1744;
2764629336427004;0.0374;0.0895;-0.1787;
2764629346537316;0.0406;0.0937;-0.1787;
2764629356635754;0.0427;0.0937;-0.1819;
2764629366752004;0.0427;0.0927;-0.1872;
2764629376886066;0.0417;0.0916;-0.1883;
2764629386959764;0.0427;0.0895;-0.1893;
2764629397075493;0.0438;0.0884;-0.1904;
2764629407179972;0.0417;0.0905;-0.1904;
2764629417267837;0.0417;0.0927;-0.1893;
2764629427393306;0.0395;0.0937;-0.1861;
2764629437498045;0.0385;0.0916;-0.1861;
2764629447604660;0.0395;0.0905;-0.1830;
2764629457705545;0.0395;0.0905;-0.1798;
2764629467840389;0.0385;0.0884;-0.1787;
2764629477966847;0.0374;0.0831;-0.1755;
2764629488048410;0.0353;0.0820;-0.1712;
2764629498199712;0.0364;0.0810;-0.1670;
2764629508240962;0.0353;0.0799;-0.1616;
2764629518373879;0.0321;0.0767;-0.1553;
2764629528468358;0.0289;0.0735;-0.1499;
2764629538570129;0.0278;0.0714;-0.1446;
2764629548697733;0.0236;0.0682;-0.1350;
2764629558807681;0.0214;0.0639;-0.1276;
2764629568903254;0.0214;0.0586;-0.1212;
2764629579006379;0.0172;0.0533;-0.1105;
2764629589116379;0.0150;0.0501;-0.1020;
2764629599236639;0.0129;0.0469;-0.0935;
2764629609327629;0.0097;0.0426;-0.0839;
2764629619436587;0.0065;0.0373;-0.0722;
2764629629546587;0.0012;0.0320;-0.0615;
2764629639666066;0.0001;0.0277;-0.0519;
2764629649767993;-0.0031;0.0213;-0.0391;
2764629659866379;-0.0063;0.0160;-0.0285;
2764629669960129;-0.0116;0.0107;-0.0168;
2764629680076587;-0.0158;0.0064;-0.0040;
2764629690190337;-0.0190;0.0021;0.0109;
2764629700295858;-0.0222;-0.0032;0.0237;
2764629710400441;-0.0265;-0.0117;0.0375;
2764629720507316;-0.0308;-0.0202;0.0535;
2764629730616483;-0.0350;-0.0288;0.0674;
2764629740714035;-0.0372;-0.0373;0.0823;
2764629750823722;-0.0414;-0.0437;0.0972;
2764629760930545;-0.0435;-0.0511;0.1111;
2764629771045545;-0.0489;-0.0554;0.1270;
2764629781149764;-0.0521;-0.0618;0.1409;
2764629791270858;-0.0542;-0.0682;0.1537;
2764629801433670;-0.0585;-0.0746;0.1664;
2764629811477108;-0.0606;-0.0788;0.1770;
2764629821579556;-0.0638;-0.0831;0.1876;
2764629831693306;-0.0659;-0.0873;0.1983;
2764629841790181;-0.0680;-0.0927;0.2068;
2764629851903045;-0.0691;-0.0948;0.2132;
2764629862008983;-0.0691;-0.0980;0.2174;
2764629872116483;-0.0670;-0.1012;0.2196;
2764629882212056;-0.0659;-0.1023;0.2217;
2764629892322524;-0.0670;-0.1065;0.2249;
2764629902431587;-0.0638;-0.1044;0.2238;
2764629912542629;-0.0617;-0.1033;0.2217;
2764629922673410;-0.0606;-0.1033;0.2206;
2764629932755233;-0.0531;-0.1076;0.2174;
2764629942855337;-0.0648;-0.1055;0.2142;
2764629952981379;-0.0574;-0.0948;0.2100;
2764629963092576;-0.0531;-0.0937;0.2015;
2764629973188983;-0.0499;-0.0916;0.1983;
2764629983295233;-0.0478;-0.0884;0.1908;
2764629993396483;-0.0457;-0.0927;0.1780;
2764630003498983;-0.0403;-0.0927;0.1684;
2764630013617420;-0.0393;-0.0863;0.1643;
2764630023723254;-0.0372;-0.0799;0.1611;
2764630033837629;-0.0329;-0.0735;0.1526;
2764630043946118;-0.0329;-0.0714;0.1451;
2764630054046222;-0.0340;-0.0692;0.1377;
2764630064146326;-0.0329;-0.0671;0.1324;
2764630074234816;-0.0190;-0.0703;0.1260;
2764630084334972;-0.0244;-0.0735;0.1174;
2764630094435076;-0.0297;-0.0628;0.1025;
2764630104588826;-0.0233;-0.0511;0.0887;
2764630114688931;-0.0169;-0.0437;0.0770;
2764630124789035;-0.0116;-0.0362;0.0706;
2764630134910129;-0.0169;-0.0309;0.0557;
2764630145010233;-0.0126;-0.0245;0.0333;
