Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
577511102206289;0.0049;0.0005;-0.0020;
577511112324257;-0.0036;0.0027;-0.0009;
577511122403945;-0.0036;0.0016;0.0001;
577511132496028;-0.0025;0.0027;0.0012;
577511142632070;-0.0036;0.0027;-0.0020;
577511152672591;-0.0036;0.0016;-0.0020;
577511162825924;-0.0036;0.0037;-0.0009;
577511172920143;-0.0036;0.0037;-0.0009;
577511183053112;-0.0025;0.0016;-0.0009;
577511193154934;-0.0047;0.0005;0.0023;
577511203256601;-0.0047;0.0016;0.0023;
577511213328737;-0.0015;0.0027;0.0023;
577511223439726;-0.0025;0.0016;0.0023;
577511233546914;-0.0025;0.0016;0.0012;
577511243689101;-0.0004;0.0005;0.0001;
577511253772070;0.0017;-0.0016;-0.0009;
577511263852226;0.0039;0.0005;-0.0009;
577511273952434;0.0028;0.0016;0.0001;
577511284062955;0.0028;0.0016;0.0012;
577511294159570;0.0060;0.0027;0.0023;
577511304278007;0.0039;0.0005;0.0033;
577511314405664;0.0049;0.0005;0.0033;
577511324466809;0.0049;0.0016;0.0055;
577511334580820;0.0039;0.0005;0.0087;
577511344676601;0.0028;-0.0016;0.0108;
577511354791914;-0.0004;-0.0016;0.0129;
577511364895664;-0.0004;-0.0005;0.0150;
577511374988164;-0.0015;-0.0016;0.0172;
577511385121289;-0.0025;-0.0016;0.0204;
577511395212226;-0.0036;-0.0027;0.0236;
577511405305872;-0.0079;-0.0005;0.0257;
577511415426497;-0.0079;0.0005;0.0300;
577511425520143;-0.0089;0.0005;0.0342;
577511435613320;-0.0089;-0.0005;0.0395;
577511445715612;-0.0132;-0.0027;0.0438;
577511455850455;-0.0153;-0.0027;0.0481;
577511465943945;-0.0111;-0.0037;0.0555;
577511476014153;-0.0121;-0.0037;0.0640;
577511486120403;-0.0217;-0.0037;0.0736;
577511496229049;-0.0324;-0.0037;0.0800;
577511506332278;-0.0483;0.0016;0.0885;
577511516426445;-0.0057;-0.0048;0.0736;
577511526545195;-0.0228;0.0037;0.0896;
577511536642487;-0.0281;0.0069;0.1088;
577511546749049;-0.0547;0.0059;0.1301;
577511556850403;-0.0952;-0.0016;0.1461;
577511566982122;-0.1176;-0.0165;0.1599;
577511577058112;-0.1154;-0.0250;0.1759;
577511587162487;-0.0739;-0.0250;0.2004;
577511597267695;-0.0387;-0.0186;0.2249;
577511607374153;-0.0494;-0.0186;0.2430;
577511617474622;-0.0590;-0.0229;0.2515;
577511627574778;-0.0664;-0.0240;0.2611;
577511637677174;-0.0707;-0.0229;0.2770;
577511647797070;-0.0718;-0.0186;0.2908;
577511657887695;-0.0750;-0.0112;0.3015;
577511667995143;-0.0846;-0.0101;0.3132;
577511678091862;-0.0899;-0.0133;0.3260;
577511688194882;-0.0909;-0.0165;0.3430;
577511698300455;-0.0952;-0.0208;0.3579;
577511708405039;-0.1080;-0.0261;0.3696;
577511718512070;-0.1144;-0.0304;0.3760;
577511728613216;-0.1005;-0.0325;0.3824;
577511738713789;-0.0867;-0.0368;0.3845;
577511748817278;-0.0856;-0.0389;0.3803;
577511758921862;-0.0867;-0.0357;0.3707;
577511769022278;-0.0877;-0.0314;0.3569;
577511779125716;-0.0888;-0.0218;0.3419;
577511789228632;-0.0867;-0.0112;0.3281;
577511799331966;-0.0814;-0.0059;0.3121;
577511809436966;-0.0771;-0.0059;0.2908;
577511819539622;-0.0760;-0.0091;0.2718;
577511829644362;-0.0867;-0.0123;0.2569;
577511839746184;-0.1176;-0.0154;0.2409;
577511849849987;-0.1304;-0.0154;0.2228;
577511859952539;-0.1037;-0.0154;0.2079;
577511870069205;-0.0579;-0.0165;0.1983;
577511880131549;-0.0366;-0.0176;0.1897;
577511890273164;-0.0366;-0.0208;0.1770;
577511900369778;-0.0739;-0.0453;0.1439;
577511910468528;-0.1570;-0.0879;0.1471;
577511920607851;-0.3221;-0.0964;0.1290;
577511930672695;-0.3604;-0.0485;0.1461;
577511940781028;-0.1570;0.0123;0.1535;
577511950882695;0.0071;0.0389;0.1589;
577511960975716;-0.0302;0.0474;0.1589;
577511971087799;-0.0270;0.0282;0.1397;
577511981198112;-0.0494;-0.0186;0.1152;
577511991292591;-0.0537;-0.0506;0.1003;
577512001403320;-0.0345;-0.0421;0.0907;
577512011502539;-0.0249;-0.0165;0.0726;
577512021605299;-0.0174;0.0005;0.0513;
577512031708424;-0.0100;0.0176;0.0385;
577512041829518;-0.0057;0.0229;0.0321;
577512051915455;-0.0036;0.0048;0.0278;
577512062017382;0.0028;-0.0048;0.0204;
577512072118841;0.0316;0.0123;0.0150;
577512082250664;0.0326;0.0272;0.0129;
577512092324362;-0.0142;0.0293;0.0108;
577512102425820;-0.0089;0.0293;0.0097;
577512112535455;-0.0121;0.0176;0.0150;
577512122640507;-0.0111;-0.0048;0.0236;
577512132739778;-0.0100;-0.0123;0.0310;
577512142844153;0.0039;-0.0005;0.0310;
577512152956653;0.0294;0.0069;0.0364;
577512163056445;0.0529;0.0101;0.0459;
577512173151289;0.0688;0.0112;0.0534;
577512183262382;0.0688;0.0005;0.0609;
577512193357174;0.0539;-0.0154;0.0630;
577512203452539;0.0262;-0.0186;0.0662;
577512213547851;-0.0100;-0.0101;0.0683;
577512223688476;-0.0302;-0.0059;0.0704;
577512233783841;-0.0270;-0.0080;0.0726;
577512243879153;-0.0270;-0.0080;0.0779;
577512253986914;-0.0270;-0.0133;0.0811;
577512264082278;-0.0260;-0.0176;0.0811;
577512274177591;-0.0270;-0.0144;0.0790;
577512284338059;-0.0260;-0.0069;0.0779;
577512294433424;-0.0249;-0.0048;0.0800;
577512304528737;-0.0249;-0.0027;0.0790;
577512314615664;-0.0228;-0.0037;0.0758;
577512324710976;-0.0206;-0.0059;0.0747;
577512334806289;-0.0196;-0.0048;0.0640;
577512344900299;-0.0142;-0.0037;0.0449;
577512354995664;-0.0142;-0.0091;0.0289;
577512365090976;-0.0057;-0.0080;0.0150;
577512375219987;0.0028;0.0080;0.0001;
577512385315299;0.0017;0.0154;-0.0254;
577512395410664;0.0028;0.0154;-0.0489;
577512405554414;0.0124;0.0197;-0.0606;
577512415649778;0.0188;0.0197;-0.0659;
577512425745091;0.0220;0.0176;-0.0702;
577512435829153;0.0337;0.0154;-0.0723;
577512445924466;0.0582;0.0123;-0.0659;
577512456019830;0.0880;0.0037;-0.0595;
577512466180976;0.1115;-0.0037;-0.0553;
577512476276341;0.1040;-0.0069;-0.0542;
577512486371653;0.0646;-0.0091;-0.0585;
577512496473059;0.0103;-0.0080;-0.0606;
577512506568372;0.0113;-0.0037;-0.0489;
577512516663737;0.0124;-0.0016;-0.0403;
577512526773476;0.0081;-0.0016;-0.0457;
577512536868789;0.0071;0.0005;-0.0489;
577512546964153;0.0134;-0.0037;-0.0393;
577512557081237;0.0134;-0.0080;-0.0233;
577512567176549;0.0060;-0.0080;-0.0105;
577512577271914;-0.0025;-0.0059;-0.0020;
577512587393632;-0.0015;-0.0048;0.0097;
577512597488945;0.0113;-0.0059;0.0246;
577512607584309;0.0284;-0.0059;0.0374;
577512617720351;0.0422;-0.0048;0.0470;
577512627815716;0.0486;-0.0048;0.0545;
577512637911028;0.0390;-0.0037;0.0587;
577512648016653;0.0145;-0.0027;0.0587;
577512658112018;-0.0174;-0.0016;0.0555;
577512668207330;-0.0260;0.0005;0.0523;
577512678324674;-0.0260;-0.0005;0.0545;
577512688419987;-0.0249;-0.0016;0.0598;
577512698515351;-0.0260;-0.0005;0.0619;
577512708633737;-0.0228;0.0016;0.0587;
577512718729101;-0.0217;0.0005;0.0523;
577512728824414;-0.0196;-0.0027;0.0470;
577512738944049;-0.0142;0.0005;0.0427;
577512749039414;-0.0132;0.0059;0.0342;
577512759134726;-0.0142;0.0080;0.0236;
577512769254466;-0.0132;0.0101;0.0172;
577512779349830;-0.0089;0.0101;0.0108;
577512789445143;-0.0036;0.0059;0.0044;
577512799560559;-0.0036;0.0037;-0.0031;
577512809655872;-0.0047;0.0037;-0.0063;
577512819751237;-0.0047;0.0059;-0.0031;
577512829881341;-0.0047;0.0059;0.0033;
