Sensor: bmi160 Accelerometer Non-wakeup
Vendor: BOSCH
TimestampAcc [ns]; AccX [m/s^2]; AccY [m/s^2]; AccZ [m/s^2]
703204932117742;-9.3449;-0.3508;-2.4930;
703204942292065;-9.3497;-0.3508;-2.4787;
703204952437481;-9.3951;-0.3796;-2.4500;
703204962537638;-9.3999;-0.3987;-2.3662;
703204972698159;-9.4382;-0.4011;-2.3109;
703204982798315;-9.4286;-0.4035;-2.3061;
703204992906961;-9.3879;-0.3963;-2.3133;
703205002996909;-9.4143;-0.3891;-2.2965;
703205013106804;-9.4430;-0.3867;-2.3228;
703205023202273;-9.4190;-0.3843;-2.2798;
703205033302481;-9.4214;-0.3580;-2.2510;
703205043367586;-9.4119;-0.3580;-2.2582;
703205053500815;-9.4167;-0.3867;-2.2750;
703205063598263;-9.4334;-0.3628;-2.3327;
703205073699044;-9.4238;-0.3437;-2.3638;
703205083781700;-9.4190;-0.3604;-2.3853;
703205093895659;-9.3927;-0.3413;-2.3471;
703205103979565;-9.4095;-0.3051;-2.3949;
703205114101492;-9.3927;-0.2979;-2.3949;
703205124177950;-9.3951;-0.2955;-2.4188;
703205134292950;-9.3808;-0.3147;-2.4404;
703205144382117;-9.3808;-0.3508;-2.4141;
703205154489825;-9.3736;-0.3987;-2.4332;
703205164589617;-9.3640;-0.3939;-2.4619;
703205174689721;-9.3975;-0.3700;-2.4476;
703205184787013;-9.3832;-0.3724;-2.4476;
703205194886492;-9.3832;-0.3194;-2.4978;
703205204986179;-9.3712;-0.2213;-2.4954;
703205215085346;-9.3616;-0.1783;-2.3997;
703205225175659;-9.3640;-0.1998;-2.3590;
703205235292117;-9.4023;-0.1615;-2.3614;
703205245391544;-9.4406;-0.2285;-2.3447;
703205255488992;-9.3927;-0.3891;-2.2487;
703205265595919;-9.3592;-0.5279;-2.2247;
703205275685450;-9.4071;-0.6479;-2.2989;
703205285789721;-9.4645;-0.7364;-2.3252;
703205295891075;-9.4860;-0.7340;-2.3901;
703205305985763;-9.4358;-0.9114;-2.4260;
703205316090034;-9.3903;-0.8755;-2.3327;
703205326184096;-9.3879;-0.7220;-2.2774;
703205336303888;-9.4406;-0.7220;-2.2582;
703205346392013;-9.4095;-0.7819;-2.3566;
703205356487429;-9.3616;-0.7986;-2.4117;
703205366589252;-9.3879;-0.8010;-2.4141;
703205376693784;-9.4310;-0.8249;-2.4260;
703205386792950;-9.3951;-0.7842;-2.3949;
703205396889825;-9.3975;-0.7747;-2.2343;
703205406990711;-9.4286;-1.1462;-2.3782;
703205417088992;-9.3784;-1.3424;-2.7637;
703205427188159;-9.3377;-1.1964;-2.6273;
703205437295034;-9.3760;-1.1916;-2.3327;
703205447404148;-9.4214;-1.2802;-2.1912;
703205457489825;-9.3808;-1.1171;-2.2654;
703205467586544;-9.4262;-0.7125;-2.4882;
703205477687950;-9.4119;-0.3485;-2.5600;
703205487788002;-9.3975;-0.2668;-2.5146;
703205497893159;-9.3114;-0.2835;-2.3590;
703205507991075;-9.3760;-0.1448;-2.3518;
703205518087846;-9.4573;-0.1567;-2.3925;
703205528184513;-9.4190;-0.2883;-2.2798;
703205538292013;-9.4286;-0.3147;-2.1817;
703205548392742;-9.4860;-0.2453;-2.2104;
703205558490919;-9.4334;-0.1950;-2.3327;
703205568605034;-9.4286;-0.1974;-2.4691;
703205578671492;-9.4047;-0.2429;-2.4523;
703205588800971;-9.3401;-0.2500;-2.3204;
703205598895554;-9.4095;-0.2429;-2.3013;
703205608995346;-9.4406;-0.2142;-2.2965;
703205619100034;-9.4406;-0.1232;-2.2702;
703205629183731;-9.4382;-0.0248;-2.3949;
703205639298367;-9.3736;0.0517;-2.5433;
703205649392586;-9.3257;0.1068;-2.5816;
703205659483002;-9.3233;0.1834;-2.4619;
703205669589825;-9.3903;0.2698;-2.3710;
703205679692169;-9.4334;0.2985;-2.3133;
703205689786336;-9.4430;0.2100;-2.3638;
703205699889565;-9.4143;0.1355;-2.4978;
703205710003784;-9.3640;0.0709;-2.5002;
703205720090763;-9.3592;-0.0129;-2.4595;
703205730192846;-9.4095;-0.0655;-2.4500;
703205740320919;-9.4334;-0.1519;-2.4117;
703205750394304;-9.4167;-0.1735;-2.4021;
703205760507377;-9.3736;-0.2142;-2.3542;
703205770584513;-9.3951;-0.2022;-2.2774;
703205780680346;-9.4382;-0.1687;-2.2104;
703205790783679;-9.4884;-0.1998;-2.2989;
703205800893263;-9.4693;-0.1543;-2.5313;
703205811044252;-9.3353;-0.0897;-2.6225;
703205821119356;-9.2707;-0.0682;-2.5265;
703205831207117;-9.3497;-0.0897;-2.3734;
703205841287065;-9.4143;-0.1759;-2.1266;
703205851378419;-9.5267;-0.3266;-2.1147;
703205861472846;-9.5172;-0.3939;-2.3614;
703205871620815;-9.3999;-0.4131;-2.4332;
703205881727794;-9.3616;-0.4011;-2.5696;
703205891781284;-9.3497;-0.4346;-2.6704;
703205901909096;-9.3760;-0.2859;-2.6680;
703205912012794;-9.3879;-0.1089;-2.4595;
703205922097950;-9.3425;-0.0655;-2.2654;
703205932200502;-9.3688;-0.1567;-2.2008;
703205942311648;-9.4190;-0.2309;-2.3375;
703205952391075;-9.4717;-0.2572;-2.5361;
703205962508106;-9.4597;-0.2883;-2.5672;
703205972594617;-9.3592;-0.3939;-2.4954;
703205982693419;-9.3233;-0.4178;-2.4380;
703205992798002;-9.3975;-0.3194;-2.4236;
703206002894200;-9.4573;-0.2405;-2.2798;
703206013021961;-9.5028;-0.1878;-2.2152;
703206023098263;-9.4262;-0.0730;-2.2343;
703206033195034;-9.3592;0.0254;-2.2893;
703206043297846;-9.4286;0.1235;-2.3973;
703206053398002;-9.4908;0.1810;-2.4212;
703206063496700;-9.4549;0.1929;-2.3710;
703206073594929;-9.4167;0.1762;-2.2152;
703206083708575;-9.4143;0.1929;-2.1912;
703206093808992;-9.4262;0.2459;-2.2965;
703206103909461;-9.4956;0.2865;-2.4404;
703206113992429;-9.4621;0.3129;-2.4691;
703206124092846;-9.3449;0.2483;-2.3638;
703206134193315;-9.3185;0.2530;-2.3949;
