TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
973669265460680;1638902530435;40.251350270000;-111.630221130000;1521.5833;0.0000;-3000.0000;10.36059761;12.42295456;0.42201895;-1.00000000;
973670321109950;1638902532000;40.251348230000;-111.630219310000;1521.5702;0.0000;-3000.0000;6.50771952;9.26466560;0.08602326;-1.00000000;
973671323215939;1638902533000;40.251349640000;-111.630214730000;1521.6495;0.0000;-3000.0000;4.81453323;7.56851006;0.07071068;-1.00000000;
973672331938751;1638902534000;40.251368400000;-111.630187100000;1520.4207;1.9600;21.7000;3.79009247;5.45391512;0.18867962;3.57337213;
973673327518855;1638902535000;40.251383630000;-111.630184450000;1519.7020;1.4700;355.3000;3.79009247;4.43007421;0.73878276;24.40849876;
973674327524115;1638902536000;40.251412590000;-111.630196440000;1519.4692;3.5300;345.1000;3.79009247;4.13553143;0.64404970;9.62812138;
973675328577448;1638902537000;40.251434960000;-111.630205750000;1519.2411;2.3100;340.9000;3.79009247;3.80320668;0.20248456;3.12056470;
973676334498594;1638902538000;40.251457570000;-111.630218250000;1520.1482;2.8600;336.2000;3.79009247;3.41396785;0.19723083;2.45390630;
973677337988437;1638902539000;40.251480260000;-111.630233260000;1520.7666;2.6700;335.3000;3.79009247;3.21941352;0.09433981;1.42438626;
973678320625468;1638902540000;40.251506400000;-111.630253130000;1521.1039;3.6100;330.2000;3.79009247;3.24608064;0.12041595;1.43073678;
973679328461353;1638902541000;40.251531960000;-111.630277240000;1521.2223;3.4700;324.9000;3.79009247;3.13986492;0.29832867;3.56329322;
973680338534009;1638902542000;40.251556300000;-111.630299010000;1521.3660;3.4100;328.4000;3.79009247;2.93807912;0.27202940;3.08267379;
973681324686248;1638902543000;40.251580500000;-111.630318530000;1521.8483;3.2800;328.4000;3.79009247;2.89240360;0.08944272;0.92477453;
973682326917081;1638902544000;40.251603650000;-111.630340190000;1522.1814;3.2800;324.6000;3.79009247;2.62298822;0.08944272;0.96438056;
973683322033956;1638902545000;40.251628940000;-111.630362330000;1522.8064;3.5500;328.2000;3.79009247;2.50000000;0.25553864;2.45439243;
973684331004528;1638902546000;40.251657490000;-111.630383910000;1522.8329;3.5700;330.6000;3.79009247;2.50000000;0.36715120;3.30219007;
973685330028434;1638902547000;40.251686200000;-111.630406170000;1522.2144;3.5800;329.3000;3.79009247;2.50000000;0.82377183;9.84431362;
973686336305829;1638902548000;40.251712730000;-111.630429540000;1521.8601;3.5200;326.6000;3.79009247;2.50000000;0.83216584;8.19023895;
973687333967027;1638902549000;40.251740370000;-111.630452210000;1521.9020;3.6200;329.3000;3.79009247;2.50000000;0.82377183;12.28956604;
973688335598693;1638902550000;40.251766450000;-111.630477120000;1521.4498;3.5800;321.2000;3.79009247;2.50000000;0.91809583;7.54608250;
973689328749110;1638902551000;40.251794900000;-111.630500020000;1521.2098;3.6500;332.3000;3.79009247;2.50000000;0.83216584;8.80229568;
973690330377130;1638902552000;40.251822940000;-111.630522270000;1521.0992;3.5500;328.8000;3.79009247;2.50000000;0.82377183;10.12454319;
973691337416505;1638902553000;40.251851890000;-111.630544640000;1521.0807;3.6500;336.1000;3.79009247;2.50000000;0.83216584;11.49592209;
973692331029994;1638902554000;40.251883700000;-111.630566910000;1520.6548;3.8300;327.5000;3.79009247;2.50000000;0.83216584;11.91165352;
973693332643743;1638902555000;40.251918760000;-111.630591270000;1520.7422;4.2100;329.8000;3.79009247;2.50000000;0.85146934;10.92094326;
973694335285670;1638902556000;40.251949220000;-111.630614480000;1521.0284;3.8100;333.3000;3.79009247;2.50000000;0.83216584;7.27140379;
973695334447701;1638902557000;40.251983340000;-111.630630560000;1521.1906;3.9100;344.4000;3.79009247;2.50000000;0.83216584;7.83216858;
973696333524940;1638902558000;40.252016020000;-111.630647040000;1521.5319;3.8900;339.7000;3.79009247;2.50000000;0.85702974;8.16865730;
973697334902544;1638902559000;40.252048590000;-111.630665180000;1522.3823;3.9600;338.6000;3.79009247;2.50000000;0.83216584;8.61090565;
973698337958846;1638902560000;40.252080030000;-111.630687360000;1522.6613;3.9300;333.7000;3.79009247;2.50000000;0.82377183;8.78818893;
973699329983220;1638902561000;40.252112940000;-111.630707740000;1522.6602;4.0000;338.3000;3.79009247;2.50000000;0.83216584;9.17374897;
973700331850199;1638902562000;40.252144690000;-111.630729400000;1522.3199;3.9600;339.7000;3.79009247;2.50000000;0.89872134;9.44447994;
973701333938636;1638902563000;40.252176220000;-111.630750790000;1522.2261;4.0100;335.6000;3.79009247;2.50000000;0.88232648;9.34400654;
973702340846396;1638902564000;40.252207870000;-111.630774390000;1522.4420;4.1400;335.4000;3.79009247;2.50000000;0.83216584;9.60684967;
