TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
81894788654416;1653749793449;40.242200510000;-111.681047170000;1363.1903;2.4500;176.3000;6.06311417;8.66357136;0.04472136;0.54592943;
81895835691291;1653749795000;40.242147070000;-111.681066880000;1367.1982;2.8600;179.6000;4.83985567;7.08455467;1.47139394;28.58825302;
81896840296655;1653749796000;40.242100430000;-111.681074420000;1366.6305;4.5500;180.5000;3.79009247;5.18164110;1.12507772;13.75010014;
81897846173321;1653749797000;40.242030040000;-111.681086740000;1366.0569;5.3300;187.1000;3.79009247;4.02125311;1.11139548;11.69189739;
81898836750404;1653749798000;40.241972220000;-111.681098700000;1366.6221;5.8500;187.7000;3.79009247;3.73284793;0.60216278;5.42891788;
81899844819779;1653749799000;40.241920560000;-111.681110910000;1366.5616;5.9500;187.9000;3.79009247;3.37113619;1.18460965;10.62052917;
81900847830612;1653749800000;40.241852020000;-111.681115100000;1367.1471;7.0200;183.2000;3.79009247;3.07603264;1.11646760;7.29238367;
81901845952643;1653749801000;40.241783240000;-111.681128490000;1367.2408;7.4200;183.2000;3.79009247;2.91703367;1.14389682;6.96581841;
81902837117642;1653749802000;40.241721470000;-111.681127420000;1367.3680;7.0700;178.0000;3.79009247;2.78432965;0.36878178;2.27178121;
81903846440506;1653749803000;40.241652740000;-111.681127840000;1368.3527;7.8800;179.1000;3.79009247;2.66206193;0.19849433;1.08381867;
81904833271183;1653749804000;40.241583580000;-111.681119760000;1368.3473;7.7300;176.9000;3.79009247;2.58510709;0.13416408;0.53627849;
81905843133318;1653749805000;40.241509700000;-111.681121390000;1369.1530;7.7300;180.7000;3.79009247;2.50000000;0.23259407;0.83166933;
81906842250505;1653749806000;40.241440740000;-111.681119590000;1368.4436;7.7800;181.6000;3.79009247;2.50000000;0.15231547;0.57036680;
81907837859776;1653749807000;40.241367160000;-111.681111960000;1367.9525;7.7200;175.8000;3.79009247;2.50000000;0.12083046;0.48249298;
81908844046911;1653749808000;40.241295340000;-111.681105670000;1367.9506;7.6200;171.6000;3.79009247;2.50000000;0.21023796;0.84113604;
81909843315504;1653749809000;40.241225950000;-111.681089580000;1367.7676;7.7600;168.2000;3.79009247;2.50000000;0.15652476;0.59036309;
81910842175452;1653749810000;40.241154310000;-111.681077410000;1368.2188;7.6500;168.9000;3.79009247;2.50000000;0.06708204;0.26728594;
81911847336701;1653749811000;40.241083450000;-111.681054720000;1367.2836;7.8100;166.4000;3.79009247;2.50000000;0.59405386;4.04723406;
81912863035243;1653749812000;40.241021400000;-111.681018270000;1366.5071;7.6700;157.7000;3.79009247;2.50000000;0.64815122;4.35764122;
81913855063159;1653749813000;40.240957850000;-111.680999190000;1366.4664;6.9100;167.5000;3.79009247;2.50000000;0.35227829;1.92299318;
81914856805190;1653749814000;40.240899220000;-111.680979810000;1365.2648;6.5400;172.1000;3.79009247;2.50000000;0.85041165;6.34013462;
81915860118887;1653749815000;40.240851110000;-111.680977630000;1365.5034;5.4300;181.7000;3.79009247;2.52590442;0.89196414;7.92723608;
81916858645033;1653749816000;40.240800160000;-111.680984210000;1365.9568;5.2000;182.1000;3.79009247;2.50000000;0.35227829;2.55125427;
81917856621126;1653749817000;40.240750760000;-111.680984170000;1365.7468;5.0900;178.4000;3.79009247;2.50000000;0.17204651;1.31331444;
81918857767480;1653749818000;40.240702740000;-111.680991250000;1365.4604;4.7300;186.0000;3.79009247;2.50000000;0.33015147;2.68011498;
81919856777063;1653749819000;40.240660650000;-111.680994880000;1365.4340;4.6200;182.4000;3.79009247;2.53732634;0.33837849;2.70914245;
81920848211594;1653749820000;40.240623580000;-111.681000710000;1365.5757;3.9500;184.9000;3.79009247;2.50000000;0.17492856;1.59476697;
81921858652583;1653749821000;40.240596560000;-111.681005000000;1365.3341;2.9500;184.6000;3.79009247;2.50000000;1.07703292;0.69787639;
81922858614614;1653749822000;40.240583890000;-111.681004540000;1365.3779;1.8200;183.0000;3.79009247;2.50000000;1.09416640;1.36684823;
81923857114561;1653749823000;40.240574440000;-111.681008300000;1365.0425;0.8900;184.7000;3.79009247;2.50000000;1.08756614;2.13223362;
81924858757478;1653749824000;40.240570580000;-111.681008160000;1365.0950;0.4600;168.6000;3.79009247;2.50000000;1.05999994;4.28352833;
