Sensor: bmi160 Gyroscope Non-wakeup
Vendor: BOSCH
TimestampGyro [ns]; GyroX [rad/s]; GyroY [rad/s]; GyroZ [rad/s]
914922182724404;0.0069;0.0007;-0.0017;
914922192836488;0.0005;0.0007;0.0004;
914922202940498;-0.0027;-0.0004;0.0004;
914922213046071;-0.0005;-0.0004;0.0004;
914922223148258;0.0005;-0.0004;0.0015;
914922233261800;-0.0005;0.0007;0.0025;
914922243372217;-0.0016;0.0007;0.0015;
914922253503154;0.0005;0.0007;0.0025;
914922263602790;-0.0005;0.0007;0.0057;
914922273695967;-0.0005;-0.0004;0.0047;
914922283793467;-0.0016;0.0017;0.0057;
914922293902529;-0.0016;0.0017;0.0068;
914922304154040;-0.0027;-0.0004;0.0079;
914922314139769;-0.0016;0.0017;0.0068;
914922324207946;-0.0027;0.0007;0.0089;
914922334330133;-0.0027;0.0007;0.0079;
914922344433102;-0.0016;0.0039;0.0068;
914922354541592;-0.0005;0.0017;0.0089;
914922364651800;-0.0016;0.0017;0.0100;
914922374745967;-0.0027;0.0017;0.0100;
914922384857686;-0.0037;0.0007;0.0068;
914922394956175;-0.0037;0.0007;0.0079;
914922405065915;-0.0048;0.0007;0.0068;
914922415166436;-0.0037;0.0017;0.0068;
914922425277113;-0.0016;0.0007;0.0068;
914922435382165;-0.0027;0.0007;0.0068;
914922445477998;-0.0027;0.0007;0.0068;
914922455607633;-0.0027;-0.0004;0.0057;
914922465755602;-0.0027;-0.0004;0.0068;
914922475812686;-0.0005;-0.0004;0.0047;
914922485917008;-0.0016;0.0017;0.0047;
914922496034925;-0.0005;0.0007;0.0025;
914922506182165;-0.0016;-0.0015;0.0025;
914922516257061;-0.0027;-0.0015;0.0025;
914922526342373;-0.0016;-0.0004;0.0015;
914922536455654;-0.0005;0.0007;-0.0017;
914922546577581;0.0005;0.0007;-0.0017;
914922556658936;-0.0005;-0.0004;-0.0007;
914922566785550;-0.0016;-0.0004;-0.0017;
914922576880342;0.0005;0.0007;-0.0039;
914922586998415;0.0005;-0.0004;-0.0039;
914922597115967;-0.0016;-0.0015;-0.0049;
914922607331540;0.0016;-0.0004;-0.0060;
914922617336748;0.0016;-0.0004;-0.0071;
914922627409925;-0.0005;0.0007;-0.0071;
914922637535290;0.0016;0.0007;-0.0092;
914922647653727;0.0027;0.0017;-0.0092;
914922657732633;0.0005;-0.0015;-0.0071;
914922667839092;0.0016;-0.0004;-0.0092;
914922677952842;0.0027;-0.0015;-0.0092;
914922688042113;0.0005;-0.0025;-0.0081;
914922698163779;0.0005;-0.0004;-0.0092;
914922708265342;0.0027;-0.0004;-0.0081;
914922718367946;0.0016;-0.0025;-0.0081;
914922728480446;0.0016;-0.0025;-0.0071;
914922738584196;0.0027;-0.0015;-0.0071;
914922748709352;0.0016;-0.0025;-0.0071;
914922758813779;-0.0005;-0.0025;-0.0039;
914922768914196;0.0005;-0.0015;-0.0039;
914922779011175;0.0005;-0.0004;-0.0017;
914922789121488;0.0005;-0.0004;-0.0007;
914922799218988;-0.0005;-0.0025;-0.0007;
914922809327113;-0.0005;-0.0015;0.0025;
914922819441800;-0.0005;0.0007;0.0025;
914922829549352;-0.0027;-0.0004;0.0036;
914922839664508;-0.0016;-0.0015;0.0079;
914922849769769;-0.0016;-0.0004;0.0111;
914922859862269;-0.0027;-0.0004;0.0132;
914922869977008;-0.0048;-0.0004;0.0142;
914922880077633;-0.0048;0.0007;0.0194;
914922890187738;-0.0048;0.0007;0.0216;
914922900301644;-0.0059;0.0017;0.0237;
914922910395758;-0.0059;0.0017;0.0258;
914922920504196;-0.0069;0.0017;0.0269;
914922930607217;-0.0069;0.0039;0.0290;
