Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
7710597701316;47.6682;26.1758;3.9240;
7710607701316;47.6682;26.1758;3.9240;
7710619112879;48.2443;26.0574;3.4642;
7710629112879;48.6574;26.5435;3.8051;
7710639112879;48.5595;26.4622;4.3897;
7710649112879;48.9473;26.4852;3.9121;
7710659112879;48.4469;26.2234;3.5464;
7710669112879;47.4857;26.3201;4.9650;
7710679112879;47.1939;26.3024;5.1548;
7710689112879;47.6769;26.2552;4.8786;
7710699112879;47.2794;26.0020;5.4764;
7710709112879;47.8513;25.7312;5.5138;
7710719112879;48.6481;26.3136;4.0216;
7710729112879;48.8452;26.4018;3.7267;
7710739112879;48.7399;26.1666;4.2309;
7710749112879;48.7289;26.0110;3.4768;
7710759112879;48.6526;26.3909;4.2061;
7710769112879;49.0351;26.2611;4.0332;
7710779112879;48.9272;26.0246;4.0562;
7710789112879;48.3490;26.1421;4.1310;
7710799112879;48.7360;26.0895;4.1427;
7710809112879;48.2411;25.9056;4.1539;
7710819112879;47.7582;25.8024;5.6974;
7710829112879;46.7015;26.0444;6.2329;
7710839112879;46.4981;25.8028;6.6400;
7710849112879;47.0850;25.9151;6.2526;
7710859112879;47.2723;25.7731;6.0778;
7710869112879;47.9547;25.8904;5.3063;
7710879112879;48.1388;25.5966;5.8213;
7710889112879;47.0900;25.9926;6.5334;
7710899112879;46.0022;25.4680;7.7261;
7710909112879;47.7508;25.4983;6.8844;
7710919112879;47.4630;25.5576;7.1625;
7710929112879;46.4947;25.5757;7.9153;
7710939112879;47.0845;25.7645;7.4236;
7710949112879;47.1718;25.5401;7.4484;
7710959112879;48.0517;25.7459;6.4783;
7710969112879;48.0449;25.5923;6.4942;
7710979112879;48.8127;25.4092;6.0442;
7710989112879;48.7273;25.7096;5.7227;
7710999112879;48.2446;25.6817;6.6806;
7711009112879;48.4332;25.6156;6.1129;
7711019112879;48.8162;25.4860;6.0363;
7711029112879;48.4208;25.3841;5.7517;
7711039112879;48.3353;25.5342;6.6975;
7711049112879;48.3411;25.6873;6.4890;
7711059112879;48.5150;25.1631;7.0280;
7711069112879;48.0336;25.2110;7.5929;
7711079112879;47.0578;25.0753;8.2654;
7711089112879;47.3599;25.3234;8.0518;
7711099112879;47.5268;24.6456;8.6066;
7711109112879;47.1349;24.6205;8.3141;
7711119112879;47.3617;25.2491;9.0223;
7711129112879;46.8510;24.7569;8.6805;
7711139112879;46.2755;24.8756;9.2365;
7711149112879;46.3831;25.0368;9.7991;
7711159112879;46.7516;24.6748;8.9763;
7711169112879;46.3797;24.9600;9.8071;
7711179112879;46.5640;24.7415;9.7365;
7711189112879;46.3673;24.7286;9.4459;
7711199112879;46.4670;24.7357;9.8319;
7711209112879;45.9669;24.3988;10.1479;
7711219112879;46.3694;24.7296;9.8309;
7711229112879;45.8801;24.6234;10.2193;
7711239112879;46.5464;24.3572;9.6801;
7711249112879;46.2620;24.4933;9.9502;
7711259112879;45.6751;24.3811;10.3376;
7711269112879;45.8814;24.6992;9.8263;
7711279112879;45.1017;24.5008;11.2787;
7711289112879;45.5854;24.5292;10.5133;
7711299112879;45.6875;24.6125;10.6988;
7711309112879;46.2718;24.7235;9.8300;
7711319112879;45.9711;24.5512;9.6507;
7711329112879;46.7556;24.7518;9.0646;
7711339112879;46.5659;24.8175;9.4398;
7711349112879;46.5717;24.9706;9.2313;
7711359112879;45.7767;24.4642;10.4268;
7711369112879;45.2122;24.8889;10.4697;
7711379112879;45.7941;24.9236;9.8015;
7711389112879;45.1283;25.1900;10.4369;
7711399112879;45.6118;25.1431;10.2570;
7711409112879;45.1175;24.9594;10.3646;
7711419112879;45.7118;25.2255;10.0574;
7711429112879;45.3219;25.2014;10.1500;
7711439112879;46.1932;25.1775;9.4925;
7711449112879;46.1117;25.5550;9.2592;
7711459112879;46.2116;25.6373;9.0597;
7711469112879;46.5933;25.5823;8.1087;
7711479112879;46.1193;25.7841;8.7540;
7711489112879;46.0201;25.7773;8.4643;
7711499112879;46.1122;25.7055;8.0882;
7711509112879;45.4335;25.5900;9.5335;
7711519112879;45.7326;25.7616;9.4241;
7711529112879;46.3166;25.9476;7.8736;
7711539112879;45.8423;26.0741;9.1044;
7711549112879;45.8402;26.0731;8.7193;
7711559112879;44.6714;25.9262;9.7750;
7711569112879;44.1940;26.0512;10.4283;
7711579112879;45.6545;26.2159;9.1829;
7711589112879;45.0660;26.1029;9.2815;
7711599112879;44.6730;25.9270;10.0638;
7711609112879;45.6495;26.1383;8.9020;
7711619112879;45.4451;25.8962;9.1166;
7711629112879;45.3710;26.4275;8.9637;
7711639112879;45.4691;26.4339;9.0608;
7711649112879;45.4670;26.4329;8.6758;
7711659112879;45.3789;26.5817;9.1402;
7711669112879;44.9840;26.4800;8.9520;
7711679112879;45.1731;26.2638;9.7478;
7711689112879;44.7004;26.5414;10.0001;
7711699112879;45.2689;26.3442;8.7782;
7711709112879;45.2805;26.5000;9.6286;
7711719112879;45.5714;26.5925;8.6608;
7711729112879;45.7550;26.2985;9.0796;
7711739112879;45.4804;26.6648;9.2294;
7711749112879;45.4844;26.7419;9.3177;
7711759112879;44.9850;26.4806;9.1445;
7711769112879;44.8067;26.7772;9.6883;
7711779112879;45.0660;26.1029;9.2815;
7711789112879;46.5329;26.4208;7.9239;
7711799112879;46.1570;26.6290;8.6664;
7711809112879;45.8489;26.3028;8.4067;
7711819112879;46.2456;26.4804;8.2982;
7711829112879;45.5514;26.1320;8.8049;
7711839112879;45.4612;26.2797;8.8842;
7711849112879;45.9592;26.6156;8.1832;
7711859112879;45.6537;26.2906;8.4048;
7711869112879;45.5730;26.5933;8.9496;
7711879112879;45.2689;26.3442;8.7782;
7711889112879;45.8618;26.5345;8.8641;
7711899112879;45.3499;25.9664;8.9152;
7711909112879;45.9230;25.7715;8.5596;
7711919112879;45.1795;26.4172;9.6356;
7711929112879;45.3704;26.4273;8.8674;
7711939112879;44.9653;25.9449;9.9703;
7711949112879;45.9589;26.5403;8.7687;
7711959112879;45.9550;26.4632;8.6804;
7711969112879;45.7489;26.2204;8.6062;
7711979112879;44.6949;26.4636;9.6230;
7711989112879;45.8629;26.5350;9.0566;
7711999112879;45.8526;26.3046;9.0805;
7712009112879;45.5524;26.1325;8.9974;
7712019112879;45.7579;26.3750;8.9753;
7712029112879;45.1531;25.8032;9.8919;
7712039112879;44.7714;25.8583;10.8428;
7712049112879;45.1694;26.1117;10.3413;
7712059112879;44.4770;25.8393;10.5512;
7712069112879;44.2040;26.2064;10.9899;
7712079112879;44.3981;26.2180;10.7992;
7712089112879;43.8991;25.8817;11.3078;
7712099112879;43.8065;25.9532;11.5877;
7712109112879;43.4251;26.0835;11.9530;
7712119112879;44.2903;25.9815;10.8222;
7712129112879;44.8745;26.0925;9.9535;
7712139112879;44.6825;26.0819;10.5292;
