TimestampGNSS [ns]; UTC time [ms]; Lat [deg]; Lon [deg]; Height [m]; Speed [m/s]; Heading [deg]; Hor Acc [m]; Vert Acc [m]; Speed Acc [m/s]; Heading Acc [deg]
2497554790259477;1632852924431;40.243877640000;-111.646429120000;1386.7595;0.0000;-3000.0000;7.37243319;12.33817577;0.09433981;-1.00000000;
2497555773579091;1632852926000;40.243878650000;-111.646466820000;1382.0121;0.0000;-3000.0000;5.70998144;9.19799900;0.08602326;-1.00000000;
2497556773579352;1632852927000;40.243907780000;-111.646479240000;1380.8990;0.0000;-3000.0000;4.67092466;7.34068632;0.08602326;-1.00000000;
2497557773579300;1632852928000;40.243915150000;-111.646467470000;1383.0599;0.0000;-3000.0000;4.67166901;7.35104084;0.08602326;-1.00000000;
2497558773579352;1632852929000;40.243916440000;-111.646472500000;1382.2511;0.0000;-3000.0000;3.93240047;5.73699141;0.08602326;-1.00000000;
2497559773579040;1632852930000;40.243920930000;-111.646473260000;1380.4581;0.0000;-3000.0000;3.84254837;5.63092375;0.08602326;-1.00000000;
2497560773578779;1632852931000;40.243926180000;-111.646475670000;1380.9526;0.0000;-3000.0000;3.79009247;5.07687092;0.08602326;-1.00000000;
2497561773578779;1632852932000;40.243926180000;-111.646480130000;1380.9617;0.0000;-3000.0000;3.79009247;4.68175745;0.21400934;-1.00000000;
2497562773578988;1632852933000;40.243912230000;-111.646484120000;1381.1572;1.9600;170.0000;3.79009247;4.05169964;0.25238860;4.82473564;
2497563773576957;1632852934000;40.243889920000;-111.646470510000;1381.1001;3.1500;155.0000;3.79009247;3.54992032;0.37443289;4.41973829;
2497564773578831;1632852935000;40.243872480000;-111.646425770000;1380.9540;4.4300;117.6000;3.79009247;3.28976321;0.41880783;3.49006963;
2497565773579301;1632852936000;40.243869770000;-111.646374280000;1380.9795;4.4700;91.1000;3.79009247;3.07467842;0.56222773;5.15056896;
2497566773579404;1632852937000;40.243864700000;-111.646308600000;1381.7832;5.5500;92.5000;3.79009247;2.79182243;0.44045430;3.35860753;
2497567773578988;1632852938000;40.243870850000;-111.646246010000;1382.2302;4.8500;83.4000;3.79009247;2.90454364;0.69339746;7.80112886;
2497568773579144;1632852939000;40.243873910000;-111.646173200000;1382.0148;5.6200;84.2000;3.79009247;2.95231819;1.16107714;11.51356792;
2497569773579405;1632852940000;40.243879710000;-111.646107290000;1383.1642;5.9100;86.0000;3.79009247;2.79542899;0.23021729;1.50895941;
2497570773578884;1632852941000;40.243880890000;-111.646037130000;1383.7828;5.7400;86.3000;3.79009247;2.94230580;0.70178342;6.75199556;
2497571773579197;1632852942000;40.243875050000;-111.645950460000;1383.4270;6.6800;95.1000;3.79009247;2.90126395;0.85000002;6.60928535;
2497572773578623;1632852943000;40.243873190000;-111.645878290000;1383.9890;6.4000;93.3000;3.79009247;2.67759013;1.17136669;8.27722359;
2497573773579196;1632852944000;40.243872270000;-111.645804350000;1384.0310;6.8200;91.9000;3.79009247;2.76944017;0.70724821;4.68940926;
2497574773578884;1632852945000;40.243873450000;-111.645718420000;1384.1376;7.3300;92.6000;3.79009247;2.91195178;0.79208583;4.89695215;
2497575773579040;1632852946000;40.243869380000;-111.645634540000;1384.3927;6.9300;94.1000;3.79009247;2.90705299;2.17506313;16.54912186;
2497576773578988;1632852947000;40.243854190000;-111.645526000000;1384.9722;8.3000;101.5000;3.79009247;2.66459227;0.71281135;4.61638546;
