TimestampAcc [ns];Metric
83482376052516.0;2.1334213697298847
83482386171370.0;2.137160455459233
83482396266318.0;2.1408988616063334
83482406372256.0;2.1446365846639517
83482416507881.0;2.14837362113539
83482426613818.0;2.1521099675344666
83482436691631.0;2.1558456203854974
83482446804443.0;2.159580576223281
83482456936006.0;2.163314831593081
83482467011526.0;2.167048383050606
83482477143349.0;2.170781227161998
83482487246110.0;2.1745133605038114
83482497343714.0;2.178244779662997
83482507423401.0;2.181975481236887
83482517558714.0;2.185705461833177
83482527650381.0;2.189434718069912
83482537757047.0;2.1931632465754665
83482547880901.0;2.1968910439885296
83482557972776.0;2.200618106958086
83482568081943.0;2.204344432143398
83482578167776.0;2.2080700162139917
83482588272568.0;2.2117948558496416
83482598392151.0;2.2155189477403536
83482608495172.0;2.219242288586346
83482618603714.0;2.2229648750980293
83482628711839.0;2.2266867039959863
83482638818714.0;2.230407772010953
83482648925068.0;2.234128075883801
83482659026943.0;2.237847612365519
83482669130224.0;2.241566378217192
83482679239235.0;2.245284370209982
83482689341943.0;2.249001585125113
83482699443922.0;2.2527180197538486
83482709558558.0;2.256433670897471
83482719661006.0;2.2601485353672595
83482729767151.0;2.26386260998447
83482739864235.0;2.267575891580313
83482749975485.0;2.2712883769959356
83482760097672.0;2.2750000630824023
83482770191006.0;2.278710946700676
83482780293401.0;2.2824210247215952
83482790400901.0;2.2861302940258583
83482800500328.0;2.289838751504002
83482810613297.0;2.29354639405638
83482820714026.0;2.2972532185931365
83482830822881.0;2.300959222034183
83482840934651.0;2.3046644013091724
83482851035797.0;2.3083687533574784
83482861144443.0;2.3120722751281724
83482871249547.0;2.315774963580002
83482881355797.0;2.3194768156813685
83482891454391.0;2.323177828410304
83482901566162.0;2.3268779987544486
83482911659443.0;2.3305773237110268
83482921785485.0;2.334275800286828
83482931872568.0;2.3379734254981814
83482941981943.0;2.341670196370935
83482952094547.0;2.3453661099404313
83482962196735.0;2.3490611632514815
83482972298818.0;2.3527553533583445
83482982411631.0;2.3564486773247024
83482992517256.0;2.360141132223638
83483002608662.0;2.3638327151376073
83483012727568.0;2.367523423158416
83483022836422.0;2.3712132533871975
83483032941006.0;2.3749022029343854
83483043047985.0;2.37859026891969
83483053148714.0;2.382277448472073
83483063256839.0;2.385963738729724
83483073361318.0;2.3896491368400374
83483083471631.0;2.393333639959592
83483093575381.0;2.397017245254127
83483103686735.0;2.400699949898514
83483113785485.0;2.4043817510767296
83483123894339.0;2.4080626459818335
83483133987151.0;2.411742631815943
83483144091839.0;2.415421705790206
83483154200797.0;2.4190998651247773
83483164311110.0;2.4227771070487885
83483174410172.0;2.4264534288003192
83483184519443.0;2.4301288276263664
83483194618089.0;2.4338033007828175
83483204742256.0;2.437476845534424
83483214832151.0;2.4411494591547767
83483224928922.0;2.4448211389262804
83483235030172.0;2.448491882140128
83483245144026.0;2.4521616860962707
83483255303610.0;2.45583054810339
83483265367985.0;2.4594984654788723
83483275461370.0;2.463165435548784
83483285565120.0;2.4668314556478435
83483295680589.0;2.4704965231193916
83483305793870.0;2.474160635315371
83483315903922.0;2.477823789596298
83483325991735.0;2.4814859833312375
83483336100172.0;2.4851472138977697
83483346189860.0;2.488807478681959
83483356323610.0;2.492466775078323
83483366409443.0;2.4961251004898073
83483376520797.0;2.499782452327755
83483386627151.0;2.50343882801188
83483396741943.0;2.5070942249702415
83483406843714.0;2.5107486406392154
83483416940485.0;2.5144020724634664
83483427045901.0;2.5180545178959153
83483437150172.0;2.5217059743977095
83483447256943.0;2.5253564394381924
83483457363818.0;2.529005910494877
83483467459287.0;2.532654385053419
83483477561214.0;2.536301860607588
83483487680797.0;2.5399483346592393
83483497789651.0;2.5435938047182804
83483507934339.0;2.547238268302642
83483518040693.0;2.550881722938248
83483528147047.0;2.5545241661589837
83483538211839.0;2.55816559550667
83483548327828.0;2.5618060085310357
83483558434183.0;2.565445402789688
83483568540537.0;2.5690837758480813
83483578619756.0;2.572721125279491
83483588726110.0;2.576357448664982
83483598832464.0;2.5799927435933827
83483608956474.0;2.583627007661256
83483619062828.0;2.58726023847287
83483629169183.0;2.590892433640167
83483639281891.0;2.5945235907827318
83483649388245.0;2.598153707527759
83483659494599.0;2.6017827815100247
83483669592360.0;2.6054108103718576
83483679698714.0;2.6090377917631074
83483689805068.0;2.6126637233411163
83483699913714.0;2.616288602770691
83483710020068.0;2.6199124277240724
83483720126422.0;2.623535195880905
83483730220381.0;2.6271569049282046
83483740326735.0;2.6307775525603283
83483750433089.0;2.6343971364789383
83483760558922.0;2.6380156543929694
83483770665276.0;2.6416331040185934
83483780771631.0;2.645249483079189
83483790867256.0;2.6488647893053088
83483800973610.0;2.652479020434651
83483811079964.0;2.656092174212027
83483821177724.0;2.659704248389332
83483831284078.0;2.663315240725513
83483841390433.0;2.6669251489865395
83483851498974.0;2.6705339709453657
83483861605328.0;2.674141704381901
83483871711683.0;2.677748347082975
83483881812047.0;2.6813538968423067
83483891918401.0;2.6849583514604713
83483902024756.0;2.6885617087448708
83483912126526.0;2.6921639665097032
83483922232881.0;2.6957651225759314
83483932339235.0;2.699365174771252
83483942436631.0;2.7029641209300657
83483952542985.0;2.706561958893442
83483962649339.0;2.710158686509081
83483972760172.0;2.7137543016312784
83483982866526.0;2.717348802120896
83483992972881.0;2.720942185845326
83484003056110.0;2.724534450678457
83484013162412.0;2.728125594500631
83484023268766.0;2.731715615198612
83484033394131.0;2.7353045106655505
83484043500485.0;2.7388922788009453
83484053606839.0;2.7424789175106086
83484063713818.0;2.74606442470663
