Sensor: OnePlus Fusion Light Sensor
Vendor: OnePlus
TimestampLight [ns]; Light [lux]
1792626472037811;318.0000;
1792626605372394;324.0000;
1792626672038957;335.0000;
1792626805368123;330.0000;
1792626872031144;319.0000;
1792627005364998;292.0000;
1792627072030207;259.0000;
1792627205364061;252.0000;
1792627272025311;271.0000;
1792627405356978;308.0000;
1792627538694478;340.0000;
1792627605362811;349.0000;
1792627738699686;350.0000;
1792627805354478;365.0000;
1792627938706457;398.0000;
1792628005354061;403.0000;
1792628138681144;391.0000;
1792628205353019;374.0000;
1792628338680311;351.0000;
1792628405352394;305.0000;
1792628538681457;272.0000;
1792628605349478;255.0000;
1792628738684269;241.0000;
1792628872009790;235.0000;
1792628938688853;251.0000;
1792629072007811;277.0000;
1792629138653853;304.0000;
1792629272005207;322.0000;
1792629338677446;346.0000;
1792629471979894;379.0000;
1792629538678019;381.0000;
1792629672004582;384.0000;
1792629738676248;393.0000;
1792629872001196;382.0000;
1792629938679113;352.0000;
1792630072007186;347.0000;
1792630205333228;373.0000;
1792630271997394;376.0000;
1792630405329686;356.0000;
1792630471971248;331.0000;
1792630605330519;289.0000;
1792630671994373;240.0000;
1792630805299478;228.0000;
1792630871996978;237.0000;
1792631005324530;248.0000;
1792631071993019;141.0000;
1792631205319686;145.0000;
1792631271986144;262.0000;
1792631405321248;281.0000;
1792631471961769;301.0000;
1792631605320623;317.0000;
1792631738652603;329.0000;
1792631805288957;333.0000;
1792631938659061;318.0000;
1792632005312394;306.0000;
1792632138615832;314.0000;
1792632205312394;339.0000;
1792632338643644;372.0000;
1792632405308540;395.0000;
1792632538645519;406.0000;
1792632605311665;846.0000;
1792632738643436;437.0000;
1792632805273436;431.0000;
1792632938649269;433.0000;
1792633071973644;440.0000;
1792633138609582;465.0000;
1792633271966873;510.0000;
1792633338631613;1067.0000;
1792633471955207;1090.0000;
1792633538632394;1093.0000;
1792633671981144;1112.0000;
1792633738626769;1125.0000;
1792633871964790;1124.0000;
1792633938638019;1112.0000;
1792634071962707;1105.0000;
1792634138601248;1105.0000;
1792634271963853;1110.0000;
1792634405295103;1120.0000;
1792634471928957;1131.0000;
1792634605287498;1105.0000;
1792634671949373;1097.0000;
1792634805259686;1118.0000;
1792634871949894;1103.0000;
1792635005281144;1091.0000;
1792635071949686;1086.0000;
1792635205281665;1082.0000;
1792635271947082;1077.0000;
1792635405285311;1073.0000;
1792635471916561;1070.0000;
1792635605277394;1071.0000;
1792635738612811;1073.0000;
1792635805247811;1073.0000;
1792635938613748;1071.0000;
1792636005276978;1070.0000;
1792636138576353;1075.0000;
1792636205268644;1079.0000;
1792636338605519;1078.0000;
1792636405269478;1078.0000;
1792636538600936;1078.0000;
1792636605265415;1076.0000;
1792636738598123;1073.0000;
1792636805236873;1071.0000;
1792636938605207;1073.0000;
1792637071933019;1075.0000;
1792637138567186;1076.0000;
1792637271922603;1076.0000;
1792637338589998;1074.0000;
1792637471897290;1069.0000;
1792637538589165;1063.0000;
1792637671925103;1063.0000;
1792637738587446;1060.0000;
1792637871916873;532.0000;
1792637938596353;529.0000;
1792638071919686;522.0000;
1792638138550311;499.0000;
1792638271915103;460.0000;
1792638405249946;423.0000;
1792638471889061;412.0000;
1792638605245311;430.0000;
1792638671911873;446.0000;
1792638805217186;442.0000;
1792638871904582;427.0000;
1792639005241978;392.0000;
1792639071908019;353.0000;
1792639205234269;339.0000;
1792639271903644;334.0000;
1792639405242082;341.0000;
1792639471877603;366.0000;
