Sensor: bosch_bmp380 Pressure Sensor Non-wakeup
Vendor: Bosch
TimestampPres [ns]; Pres [mBar]
3101274799101440;862.4437;
3101274839071857;862.4425;
3101274879078107;862.4362;
3101274919067586;862.4300;
3101274959071649;862.4312;
3101274999106909;862.4375;
3101275039096961;862.4425;
3101275079092586;862.4350;
3101275119095190;862.4250;
3101275159094878;862.4300;
3101275199096961;862.4275;
3101275239098003;862.4225;
3101275279095190;862.4300;
3101275319099565;862.4212;
3101275359097274;862.4250;
3101275399097274;862.4212;
3101275439098315;862.4187;
3101275479097274;862.4200;
3101275519097482;862.4187;
3101275559111545;862.4250;
3101275599096440;862.4212;
3101275639100399;862.4250;
3101275679094670;862.4200;
3101275719098315;862.4250;
3101275759071076;862.4237;
3101275799084878;862.4212;
3101275839078576;862.4212;
3101275879077690;862.4163;
3101275919069045;862.4250;
3101275959099565;862.4287;
3101275999099565;862.4237;
3101276039096232;862.4275;
3101276079100086;862.4225;
3101276119099357;862.4187;
3101276159098524;862.4212;
3101276199099357;862.4212;
3101276239099826;862.4138;
3101276279098003;862.4175;
3101276319099357;862.4225;
3101276359098003;862.4187;
3101276399099357;862.4187;
3101276439094149;862.4175;
3101276479099045;862.4175;
3101276519098315;862.4163;
3101276559116024;862.4187;
3101276599099045;862.4187;
3101276639099357;862.4200;
3101276679096961;862.4225;
3101276719090503;862.4163;
3101276759070711;862.4225;
3101276799068836;862.4175;
3101276839075815;862.4150;
3101276879110607;862.4150;
3101276919095190;862.4138;
3101276959093836;862.4200;
3101276999093107;862.4187;
3101277039094357;862.4150;
3101277079096961;862.4150;
3101277119088940;862.4150;
3101277159092586;862.4212;
3101277199096753;862.4200;
3101277239096440;862.4138;
3101277279096440;862.4163;
3101277319099565;862.4125;
3101277359097482;862.4088;
3101277399102482;862.4150;
3101277439095399;862.4187;
3101277479098836;862.4187;
3101277519064670;862.4187;
3101277559091753;862.4175;
3101277599088628;862.4113;
3101277639094149;862.4150;
3101277679069878;862.4175;
3101277719068836;862.4150;
3101277759068992;862.4175;
3101277799075607;862.4163;
3101277839095190;862.4187;
3101277879090190;862.4175;
3101277919096753;862.4187;
3101277959097482;862.4175;
3101277999095920;862.4100;
3101278039096232;862.4125;
3101278079100399;862.4100;
3101278119098003;862.4125;
3101278159096753;862.4138;
3101278199096961;862.4125;
3101278239096440;862.4150;
3101278279095920;862.4100;
3101278319106649;862.4100;
3101278359099045;862.4088;
3101278399093315;862.4037;
3101278439095399;862.4100;
3101278479094878;862.4088;
3101278519095190;862.4088;
3101278559099565;862.4075;
3101278599088940;862.4163;
3101278639087586;862.4175;
3101278679068315;862.4138;
3101278719069409;862.4225;
3101278759068940;862.4212;
3101278799089409;862.4163;
3101278839102690;862.4212;
3101278879097742;862.4200;
3101278919097742;862.4200;
3101278959095920;862.4187;
3101278999098524;862.4200;
3101279039100920;862.4212;
3101279079096961;862.4212;
3101279119095503;862.4187;
3101279159098836;862.4175;
3101279199099826;862.4163;
3101279239101128;862.4150;
3101279279098003;862.4138;
3101279319102482;862.4113;
3101279359100086;862.4100;
3101279399101649;862.4012;
3101279439094878;862.3975;
3101279479097742;862.3975;
3101279519099045;862.3962;
3101279559075607;862.4012;
3101279599076753;862.4050;
3101279639069045;862.4025;
3101279679069982;862.3950;
3101279719095190;862.3962;
3101279759094982;862.4012;
3101279799093836;862.3925;
3101279839094982;862.3962;
3101279879095399;862.4012;
3101279919095659;862.3950;
3101279959096753;862.3950;
3101279999100086;862.3975;
3101280039092586;862.3975;
3101280079097742;862.3937;
3101280119098524;862.3950;
3101280159097742;862.3875;
3101280199102482;862.3887;
3101280239096961;862.3837;
3101280279097274;862.3837;
3101280319096961;862.3775;
3101280359094357;862.3700;
3101280399100920;862.3725;
3101280439097742;862.3775;
3101280479099045;862.3762;
3101280519073940;862.3787;
3101280559076649;862.3775;
3101280599068576;862.3712;
3101280639068107;862.3737;
3101280679100086;862.3725;
3101280719116492;862.3675;
3101280759094149;862.3700;
3101280799097742;862.3700;
3101280839099565;862.3625;
3101280879099045;862.3762;
3101280919098003;862.3762;
3101280959100607;862.3662;
3101280999098003;862.3637;
3101281039102690;862.3625;
3101281079100607;862.3675;
3101281119097742;862.3625;
3101281159097274;862.3662;
3101281199099045;862.3687;
3101281239099357;862.3750;
3101281279099357;862.3687;
3101281319100920;862.3712;
3101281359070242;862.3725;
3101281399100399;862.3712;
3101281439109774;862.3762;
3101281479068576;862.3712;
3101281519069149;862.3737;
3101281559074670;862.3737;
3101281599092065;862.3725;
3101281639095190;862.3675;
3101281679098576;862.3725;
3101281719097482;862.3750;
3101281759090711;862.3712;
3101281799098836;862.3762;
3101281839101649;862.3837;
3101281879098003;862.3787;
3101281919097482;862.3800;
3101281959095190;862.3800;
3101281999098524;862.3800;
3101282039097666;862.3775;
3101282079099749;862.3737;
3101282119101833;862.3775;
3101282159098708;862.3687;
3101282199101937;862.3687;
3101282239100791;862.3662;
3101282279100270;862.3650;
3101282319096104;862.3625;
3101282359096104;862.3675;
3101282399070791;862.3675;
3101282439069437;862.3687;
3101282479068916;862.3750;
3101282519068187;862.3725;
3101282559101624;862.3725;
3101282599095583;862.3737;
3101282639095843;862.3637;
3101282679099541;862.3650;
3101282719096416;862.3662;
3101282759096624;862.3600;
3101282799087562;862.3675;
3101282839096937;862.3650;
3101282879096937;862.3662;
3101282919099541;862.3725;
3101282959100010;862.3612;
3101282999097666;862.3650;
3101283039095583;862.3637;
3101283079097458;862.3525;
3101283119099020;862.3600;
3101283159100270;862.3600;
3101283199092458;862.3737;
3101283239100791;862.3712;
3101283279070791;862.3762;
3101283319090687;862.3787;
3101283359070062;862.3812;
3101283399070374;862.3725;
3101283439068916;862.3650;
3101283479110687;862.3675;
3101283519095583;862.3662;
3101283559107874;862.3675;
3101283599096104;862.3675;
3101283639096937;862.3775;
3101283679096416;862.3725;
3101283719094541;862.3750;
3101283759095062;862.3762;
3101283799095583;862.3775;
3101283839096937;862.3737;
3101283879104437;862.3700;
3101283919102093;862.3737;
3101283959100270;862.3675;
3101283999093499;862.3650;
3101284039095583;862.3675;
3101284079100583;862.3587;
3101284119102354;862.3587;
3101284159096104;862.3562;
3101284199099541;862.3525;
3101284239072354;862.3562;
3101284279074958;862.3525;
3101284319074541;862.3438;
3101284359068343;862.3425;
3101284399069541;862.3475;
3101284439116416;862.3450;
3101284479100270;862.3438;
3101284519099020;862.3475;
3101284559107041;862.3425;
3101284599094541;862.3450;
3101284639099749;862.3362;
3101284679097666;862.3438;
3101284719099020;862.3425;
3101284759095843;862.3400;
3101284799105999;862.3375;
3101284839104749;862.3350;
3101284879096624;862.3375;
3101284919102093;862.3375;
3101284959100583;862.3337;
3101284999101312;862.3300;
3101285039100010;862.3262;
3101285079101624;862.3262;
3101285119095583;862.3362;
3101285159098708;862.3438;
3101285199096104;862.3375;
3101285239077666;862.3463;
3101285279070374;862.3425;
3101285319067354;862.3463;
3101285359109124;862.3525;
3101285399095062;862.3525;
3101285439098708;862.3525;
3101285479096624;862.3438;
3101285519096937;862.3450;
3101285559104958;862.3362;
3101285599100791;862.3387;
3101285639100010;862.3362;
3101285679100791;862.3425;
3101285719097926;862.3475;
3101285759097926;862.3488;
3101285799098291;862.3450;
3101285839096104;862.3488;
3101285879096624;862.3637;
3101285919103187;862.3612;
3101285959095843;862.3575;
3101285999100583;862.3538;
3101286039099229;862.3500;
3101286079100270;862.3488;
3101286119101624;862.3463;
3101286159070166;862.3425;
3101286199069541;862.3387;
3101286239076833;862.3438;
3101286279074645;862.3475;
3101286319097666;862.3400;
3101286359097666;862.3425;
3101286399096937;862.3425;
3101286439098187;862.3312;
3101286479097666;862.3412;
3101286519094020;862.3450;
3101286559106260;862.3463;
3101286599099020;862.3525;
3101286639097926;862.3575;
3101286679097666;862.3562;
3101286719095374;862.3538;
3101286759093760;862.3525;
3101286799097926;862.3525;
3101286839100583;862.3438;
3101286879096624;862.3425;
3101286919099020;862.3375;
3101286959101624;862.3438;
3101286999101312;862.3425;
3101287039071208;862.3438;
3101287079070270;862.3438;
3101287119070479;862.3500;
3101287159077562;862.3488;
3101287199070687;862.3463;
3101287239086520;862.3425;
3101287279093291;862.3375;
3101287319102666;862.3400;
3101287359097926;862.3362;
3101287399100791;862.3325;
3101287439099541;862.3400;
3101287479098499;862.3387;
3101287519101312;862.3325;
3101287559104749;862.3325;
3101287599100010;862.3237;
3101287639095166;862.3237;
3101287679095374;862.3175;
3101287719095843;862.3137;
3101287759099541;862.3187;
3101287799097145;862.3112;
3101287839102354;862.3162;
3101287879097145;862.3125;
3101287919098708;862.3112;
3101287959102874;862.3100;
3101287999089124;862.3137;
3101288039070166;862.3200;
3101288079069020;862.3175;
3101288119078187;862.3175;
3101288159072249;862.3075;
3101288199095062;862.3162;
3101288239092458;862.3162;
3101288279093291;862.3062;
3101288319094333;862.3200;
3101288359093760;862.3150;
3101288399093812;862.3162;
3101288439094541;862.3112;
3101288479096624;862.3150;
3101288519097458;862.3150;
3101288559115895;862.3250;
3101288599101624;862.3262;
3101288639101833;862.3237;
3101288679102874;862.3250;
3101288719095843;862.3237;
3101288759104176;862.3225;
3101288799100270;862.3250;
3101288839098187;862.3187;
3101288879099020;862.3162;
3101288919100270;862.3125;
3101288959102458;862.3150;
3101288999074593;862.3137;
3101289039063499;862.3100;
3101289079068499;862.3150;
3101289119069176;862.3175;
3101289159095583;862.3162;
3101289199096104;862.3162;
3101289239096416;862.3125;
3101289279100583;862.3125;
3101289319104176;862.3237;
3101289359097666;862.3187;
3101289399098499;862.3275;
3101289439099229;862.3287;
3101289479102354;862.3337;
3101289519099854;862.3325;
3101289559116208;862.3362;
3101289599105999;862.3275;
3101289639099749;862.3237;
3101289679100010;862.3275;
3101289719099541;862.3212;
3101289759099229;862.3175;
3101289799098187;862.3150;
3101289839099229;862.3162;
3101289879128916;862.3087;
3101289919117770;862.3125;
3101289959066937;862.3175;
3101289999069124;862.3125;
3101290039068916;862.3112;
3101290079096624;862.3112;
3101290119097926;862.3100;
3101290159097666;862.3100;
3101290199097926;862.3150;
3101290239100791;862.3150;
3101290279099229;862.3237;
3101290319096937;862.3300;
3101290359097666;862.3337;
3101290399092510;862.3325;
3101290439097666;862.3212;
3101290479101312;862.3187;
3101290519096416;862.3237;
3101290559120062;862.3162;
3101290599095062;862.3200;
3101290639095583;862.3125;
3101290679097666;862.3137;
3101290719096624;862.3125;
3101290759097926;862.3162;
3101290799095843;862.3087;
3101290839094541;862.3075;
3101290879081937;862.3025;
3101290919068291;862.2975;
3101290959068291;862.2962;
3101290999068083;862.2925;
3101291039095843;862.3000;
3101291079097926;862.2950;
3101291119097666;862.2987;
3101291159100791;862.2962;
3101291199101624;862.3037;
3101291239100010;862.2900;
3101291279099229;862.3012;
3101291319101833;862.2750;
3101291359094854;862.2962;
3101291399098499;862.2775;
3101291439095583;862.2950;
3101291479099229;862.2875;
3101291519093760;862.2950;
3101291559114854;862.2913;
3101291599097926;862.2937;
3101291639096416;862.2900;
3101291679102666;862.2913;
3101291719096937;862.2838;
3101291759098708;862.2787;
3101291799070895;862.2787;
3101291839069229;862.2838;
3101291879073708;862.2750;
3101291919068187;862.2725;
3101291959095374;862.2600;
3101291999099020;862.2550;
3101292039092770;862.2487;
3101292079105270;862.2475;
3101292119100270;862.2475;
3101292159097145;862.2412;
3101292199099229;862.2400;
3101292239102354;862.2425;
3101292279099749;862.2437;
3101292319097926;862.2412;
3101292359097458;862.2475;
3101292399101104;862.2562;
3101292439094020;862.2575;
3101292479094541;862.2562;
3101292519096416;862.2550;
3101292559115687;862.2500;
3101292599095843;862.2437;
3101292639094593;862.2375;
3101292679097666;862.2387;
3101292719097458;862.2312;
3101292759070583;862.2400;
3101292799069541;862.2300;
3101292839071520;862.2300;
3101292879068916;862.2250;
3101292919094333;862.2075;
3101292959096416;862.2150;
3101292999097145;862.2200;
3101293039100791;862.2325;
3101293079100270;862.2325;
3101293119097145;862.2400;
3101293159097458;862.2450;
3101293199096624;862.2512;
3101293239100010;862.2475;
3101293279098499;862.2587;
3101293319101312;862.2575;
3101293359102458;862.2600;
3101293399099020;862.2512;
3101293439097458;862.2412;
3101293479097145;862.2487;
3101293519094541;862.2400;
3101293559108343;862.2437;
3101293599097458;862.2512;
3101293639099541;862.2537;
3101293679069124;862.2500;
3101293719068343;862.2512;
3101293759068395;862.2487;
3101293799069854;862.2575;
3101293839094124;862.2475;
3101293879095843;862.2625;
3101293919092458;862.2525;
3101293959096937;862.2475;
3101293999095843;862.2662;
3101294039095583;862.2625;
3101294079098187;862.2700;
3101294119097718;862.2750;
3101294159096624;862.2750;
3101294199098499;862.2737;
3101294239099229;862.2863;
3101294279097666;862.2850;
3101294319105010;862.2925;
3101294359098708;862.2962;
3101294399098187;862.3087;
3101294439094854;862.3100;
3101294479097926;862.3112;
3101294519100270;862.3075;
3101294559109958;862.3050;
3101294599094854;862.3012;
3101294639068916;862.3025;
3101294679069593;862.3000;
3101294719069437;862.3000;
3101294759069176;862.2950;
3101294799095843;862.3075;
3101294839094541;862.3150;
3101294879099229;862.3137;
3101294919096416;862.3050;
3101294959094854;862.3212;
3101294999096937;862.3125;
3101295039096937;862.3225;
3101295079098708;862.3200;
3101295119094854;862.3137;
3101295159096416;862.3162;
3101295199097666;862.3200;
3101295239099020;862.3262;
3101295279099541;862.3225;
3101295319106833;862.3237;
3101295359096937;862.3212;
3101295399097145;862.3287;
3101295439099541;862.3225;
3101295479098499;862.3225;
3101295519093551;862.3187;
3101295559075687;862.3262;
3101295599070166;862.3187;
3101295639068708;862.3350;
3101295679069176;862.3250;
3101295719112041;862.3175;
3101295759095843;862.3125;
3101295799126104;862.3050;
3101295839096416;862.3025;
3101295879098187;862.3050;
3101295919106051;862.3125;
3101295959099020;862.3175;
3101295999097458;862.3112;
3101296039097666;862.3087;
3101296079100270;862.3125;
3101296119099020;862.3087;
3101296159098708;862.3250;
3101296199098187;862.3250;
3101296239099229;862.3300;
3101296279101312;862.3362;
3101296319099020;862.3350;
3101296359097145;862.3250;
3101296399098499;862.3225;
3101296439070426;862.3200;
3101296479093291;862.3125;
3101296519069281;862.3137;
3101296559081416;862.3225;
3101296599078604;862.3125;
3101296639069645;862.3162;
3101296679096104;862.3162;
3101296719094333;862.3062;
3101296759097926;862.3100;
3101296799089593;862.3112;
3101296839097458;862.3075;
3101296879097666;862.3112;
3101296919096208;862.3062;
3101296959097145;862.3162;
3101296999095062;862.3312;
3101297039103395;862.3262;
3101297079102093;862.3325;
3101297119098499;862.3513;
3101297159096416;862.3463;
3101297199099541;862.3375;
3101297239096104;862.3337;
3101297279098291;862.3300;
3101297319101312;862.3212;
3101297359095583;862.3250;
3101297399086260;862.3250;
3101297439070791;862.3250;
3101297479069333;862.3212;
3101297519068291;862.3112;
3101297559075843;862.3200;
3101297599104176;862.3075;
3101297639093291;862.3100;
3101297679097145;862.3112;
3101297719093760;862.3150;
3101297759096937;862.3150;
3101297799094020;862.3087;
3101297839092979;862.3200;
3101297879095374;862.3162;
3101297919095062;862.3237;
3101297959099541;862.3187;
3101297999098187;862.3212;
3101298039099229;862.3275;
