Sensor: mmc5603x Magnetometer Non-wakeup
Vendor: memsic
TimestampMag [ns]; MagX [uT]; MagY [uT]; MagZ [uT]
2026607788863;51.8866;-8.1862;8.4912;
2026617788863;51.7280;-8.1740;8.7230;
2026627788863;51.3986;-8.1496;9.1866;
2026637788863;51.1668;-8.0886;9.4672;
2026647788863;50.8618;-8.0520;9.8210;
2026657788863;50.5934;-8.0642;10.1504;
2026667788863;50.6056;-8.0398;10.0528;
2026677788863;50.6422;-8.0032;10.0162;
2026687788863;50.7398;-7.9422;9.9308;
2026697788863;50.7886;-7.8324;9.9186;
2026707788631;50.8618;-7.8080;9.9064;
2026717788631;50.8130;-7.8080;9.9430;
2026727788631;50.7154;-7.8568;10.1504;
2026737788631;50.6666;-7.9300;10.2114;
2026747788631;50.6666;-7.9666;10.3334;
2026757788631;50.5568;-7.9910;10.4676;
2026767788631;50.3982;-8.0276;10.6262;
2026777788631;50.2152;-8.1252;10.8092;
2026787788631;50.0566;-8.1740;10.9190;
2026797788631;50.1664;-8.1740;10.9312;
2026807788631;50.2640;-8.1862;10.8702;
2026817788631;50.3860;-8.1618;10.7726;
2026827788631;50.5568;-8.1862;10.6384;
2026837788631;50.7032;-8.2472;10.4798;
2026847788631;50.6544;-8.2960;10.6384;
2026857788631;50.8496;-8.3448;10.4188;
2026867788631;50.9106;-8.3692;10.3700;
2026877788631;50.8252;-8.4546;10.4676;
2026887788631;50.8740;-8.4790;10.3578;
2026897788631;50.8252;-8.5522;10.4554;
2026907788631;50.7520;-8.6010;10.5896;
2026917788631;50.7032;-8.6376;10.7482;
2026927788631;50.8008;-8.6620;10.6628;
2026937788631;50.7154;-8.7230;10.8458;
2026947788631;50.8008;-8.7718;10.7238;
2026957788631;50.9106;-8.8328;10.6140;
2026967788631;50.8862;-8.8938;10.6994;
2026977788631;50.9106;-8.9060;10.6994;
2026987788631;50.8496;-8.9548;10.7848;
2026997788631;50.7764;-8.9792;10.8336;
2027007788631;50.7154;-9.0158;10.8580;
2027017788631;50.6788;-8.9914;10.9434;
2027027788631;50.6422;-8.9670;11.0654;
2027037788631;50.5812;-8.9548;11.1996;
2027047788631;50.5568;-8.9182;11.2728;
2027057788631;50.4592;-8.9548;11.4314;
2027067788631;50.2152;-8.9182;11.7608;
2027077788631;49.9590;-8.9670;12.1268;
2027087788631;49.8736;-9.0036;12.3464;
2027097788631;49.7150;-8.9914;12.5904;
2027107788631;49.5686;-8.9792;12.8832;
2027117788631;49.4100;-8.9182;13.1760;
2027127788631;49.2514;-8.9060;13.2736;
2027137788631;49.1294;-8.8328;13.3956;
2027147788631;49.1904;-8.7840;13.2492;
2027157788631;49.1050;-8.7108;13.2980;
2027167788631;49.0196;-8.6742;13.3346;
2027177788631;48.9098;-8.6864;13.3956;
2027187788631;48.7512;-8.6620;13.4322;
2027197788631;48.6536;-8.5888;13.5420;
2027207788631;48.5438;-8.5278;13.7860;
2027217788631;48.4096;-8.4424;13.9812;
2027227788631;48.1778;-8.4058;14.2008;
2027237788631;48.2754;-8.2472;14.1154;
2027247788631;48.3242;-8.0642;14.1154;
2027257788631;48.3486;-7.8568;14.1520;
2027267788631;48.4340;-7.6982;14.1398;
2027277788631;48.3974;-7.6250;14.1154;
2027287788631;48.4950;-7.5152;14.0178;
2027297788631;48.3730;-7.5030;14.0178;
2027307788631;48.4340;-7.3810;13.9080;
2027317788631;48.5194;-7.2956;13.8470;
2027327788631;48.5316;-7.1614;13.8714;
2027337788631;48.5438;-7.0516;13.8836;
2027347788631;48.4706;-6.9052;13.9446;
2027357788631;48.4218;-6.7344;13.9324;
2027367788631;48.3242;-6.5270;13.9324;
2027377788631;48.4096;-6.2464;13.9202;
2027387788631;48.4950;-5.9048;13.7982;
2027397788631;48.3852;-5.5510;13.7982;
2027407788631;48.2388;-5.2216;13.6518;
2027417788631;48.0924;-4.8434;13.6030;
2027427788631;47.9948;-4.4530;13.5054;
2027437788631;47.9826;-3.9894;13.2858;
2027447788631;47.8118;-3.5624;13.2736;
2027457788631;47.7508;-3.1232;13.0662;
2027467788631;47.6166;-2.7816;12.9564;
2027477788631;47.5800;-2.4156;12.7490;
2027487788631;47.5922;-2.1472;12.5660;
2027497788631;47.7386;-1.9154;12.1512;
2027507788631;47.7630;-1.7812;11.9560;
2027517788631;47.8118;-1.7080;11.8462;
2027527788631;47.9704;-1.6470;11.5656;
2027537788631;48.0680;-1.6592;11.3582;
2027547788631;48.1778;-1.7080;11.3216;
2027557788631;48.1778;-1.8422;11.3948;
2027567788631;48.0924;-1.9398;11.6144;
2027577788631;47.9704;-2.0496;11.9072;
2027587788631;47.9094;-2.1228;12.0780;
2027597788631;47.8240;-2.1838;12.2488;
2027607788631;47.8118;-2.2692;12.3830;
2027617788631;47.8850;-2.2814;12.4562;
2027627788631;47.8972;-2.2814;12.4684;
2027637788631;47.9338;-2.2692;12.4806;
2027647788631;47.9948;-2.1960;12.4074;
2027657788631;48.1168;-2.0984;12.2610;
2027667788631;48.0558;-1.9886;12.2488;
2027677788631;48.0070;-1.8788;12.2244;
2027687788631;47.7264;-1.6958;12.3952;
2027697788631;47.4580;-1.5494;12.5538;
2027707788631;47.4702;-1.3786;12.5660;
2027717788631;47.4458;-1.1712;12.4318;
2027727788631;47.4214;-0.9638;12.2366;
2027737788631;47.3604;-0.7930;12.1268;
2027747788631;47.5922;-0.6588;11.7852;
2027757788631;47.2384;13.9324;14.7498;
2027767788631;47.5312;14.0178;14.3960;
2027777788631;47.6654;14.1032;14.1520;
2027787788631;47.6410;14.1642;14.0300;
2027797788631;47.6288;14.1276;13.9934;
2027807788631;47.6288;14.0544;14.1032;
2027817788631;47.5678;14.0178;14.2862;
2027827788631;47.4946;14.0422;14.4814;
2027837788631;47.3482;14.0178;14.7864;
2027847788631;47.0920;13.9812;15.1402;
2027857788631;47.0676;13.9812;15.2744;
2027867788631;47.0798;13.9690;15.3476;
2027877788631;47.0554;14.0178;15.4086;
2027887788631;46.9944;14.1398;15.3964;
2027897788631;46.9456;14.2008;15.3842;
2027907788631;46.9456;14.2252;15.2622;
